Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Медведевская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
1	"Число избирателей, включенных в списки избирателей"	46082	1570	1163	1162	1042	1242	1218	912	1624	972	410	1301	1801	1370	758	236	169	1084	299	1972	1207	590	212	1543	2191	1211	779	2386	765	585	854	221	877	1322	488	159	1235	915	1510	260	949	255	376	738	307	491	1195	274	314	492	1076					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45210	1500	1100	1100	1000	1190	1160	870	1600	870	390	1280	1640	1470	760	240	170	1150	330	1930	1180	560	210	1520	2140	1120	680	2540	770	610	820	200	860	1350	500	150	1230	890	1500	260	920	240	380	710	310	510	1100	250	310	450	1190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	36889	1286	1004	1014	874	1100	1103	817	1333	842	319	1033	1593	1205	507	138	142	995	238	1622	1081	507	203	1175	1504	855	522	1688	619	432	603	179	637	1076	380	101	1001	615	1391	237	781	235	306	520	235	384	904	191	191	307	864					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4620	49	60	15	39	19	32	12	241	21	18	168	35	160	177	80	20	50	55	171	76	53	5	284	136	92	105	116	81	124	192	21	159	246	68	47	111	203	50	13	83	0	55	125	47	85	173	59	109	132	148					
6	Число погашенных избирательных бюллетеней	3350	165	36	71	87	71	25	41	26	7	53	79	12	105	76	22	8	105	37	137	23	0	2	61	500	173	53	385	70	54	25	0	64	28	52	2	118	72	59	10	56	5	19	65	28	41	23	0	10	11	178					
