Ошибка генерации печатной версии отчета																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																												
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030	УИК №5031	УИК №5032	УИК №5033	УИК №5034	УИК №5035	УИК №5036	УИК №5037	УИК №5038	УИК №5039	УИК №5040	УИК №5041	УИК №5042	УИК №5043	УИК №5044	УИК №5045	УИК №5046	УИК №5047	УИК №5049	УИК №5050	УИК №5051	УИК №5052	УИК №5053	УИК №5054	УИК №5055	УИК №5056	УИК №5057	УИК №5058	УИК №5059	УИК №5060	УИК №5061	УИК №5062	УИК №5063	УИК №5064	УИК №5075	УИК №5076	УИК №5077	УИК №5078	УИК №5079	УИК №5080	УИК №5081	УИК №5082	УИК №5083	УИК №5084	УИК №5085	УИК №5086	УИК №5088	УИК №5089	УИК №5090	УИК №5091	УИК №5092	УИК №5093	УИК №5094	УИК №5095	УИК №5096	УИК №5097	УИК №5098	УИК №5099	УИК №5100	УИК №5101	УИК №5102	УИК №5104	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143	УИК №5144	УИК №5145	УИК №5146	УИК №5147	УИК №5148	УИК №5150	УИК №5151	УИК №5152	УИК №5153	УИК №5154	УИК №5155	УИК №5156	УИК №5157	УИК №5158	УИК №5159	УИК №5160	УИК №5162	УИК №5163	УИК №5164	УИК №5165	УИК №5166	УИК №5167	УИК №5168	УИК №5169	УИК №5170	УИК №5171	УИК №5172	УИК №5173	УИК №5174	УИК №5175	УИК №5176	УИК №5177	УИК №5178	УИК №5179	УИК №5180	УИК №5181	УИК №5182	УИК №5183	УИК №5184	УИК №5185	УИК №5186	УИК №5187	УИК №5188	УИК №5190	УИК №5191	УИК №5192	УИК №5193	УИК №5194	УИК №5195	УИК №5196	УИК №5197	УИК №5198	УИК №5199	УИК №5200	УИК №5201	УИК №5203	УИК №5204	УИК №5205	УИК №5206	УИК №5207	УИК №5208	УИК №5209	УИК №5210	УИК №5211	УИК №5212	УИК №5213	УИК №5214	УИК №5215	УИК №5217	УИК №5218	УИК №5219	УИК №5220	УИК №5221	УИК №5222	УИК №5223	УИК №5224	УИК №5225	УИК №5226	УИК №5227	УИК №5228	УИК №5229	УИК №5231	УИК №5233	УИК №5235	УИК №5238	УИК №5240	УИК №5242	УИК №5243	УИК №5244	УИК №5245	УИК №5246	УИК №5248	УИК №5249	УИК №5250	УИК №5252	УИК №5253	УИК №5254	УИК №5255	УИК №5256	УИК №5257	УИК №5260	УИК №5261	УИК №5262	УИК №5263	УИК №5264	УИК №5265	УИК №5266	УИК №5268	УИК №5269	УИК №5272	УИК №5273	УИК №5274	УИК №5275	УИК №5277	УИК №5279	УИК №5281	УИК №5282	УИК №5283	УИК №5285	УИК №5286	УИК №5288	УИК №5289	УИК №5290	УИК №5291	УИК №5292	УИК №5293	УИК №5294	УИК №5295	УИК №5296	УИК №5297	УИК №5299	УИК №5300	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330	УИК №5335	УИК №5336	УИК №5338	УИК №5339	УИК №5341	УИК №5342	УИК №5343	УИК №5344	УИК №5345	УИК №5346	УИК №5347	УИК №5356	УИК №5358	УИК №5359	УИК №5364	УИК №5365	УИК №5367	УИК №5369	УИК №5370	УИК №5376	УИК №5377	УИК №5378	УИК №5379	УИК №5380	УИК №5381	УИК №5382	УИК №5383	УИК №5384	УИК №5385	УИК №5386	УИК №5388	УИК №5389	УИК №5391	УИК №5394	УИК №5398	УИК №5402	УИК №5405	УИК №5408	УИК №5409	УИК №5411	УИК №5413	УИК №5414	УИК №5415	УИК №5416	УИК №5417	УИК №5418	УИК №5419	УИК №5420	УИК №5422	УИК №5423	УИК №5426	УИК №5427	УИК №5430	УИК №5431	УИК №5432	УИК №5433	УИК №5434	УИК №5435	УИК №5437	УИК №5438	УИК №5441	УИК №5442	УИК №5443	УИК №5446	УИК №5448	УИК №5450	УИК №5453	УИК №5454	УИК №5457	УИК №5460	УИК №5463	УИК №5466	УИК №5467	УИК №5468	УИК №5472	УИК №5473	УИК №5475	УИК №5478	УИК №5480	УИК №5481	УИК №5482	УИК №5484	УИК №5485	УИК №5486	УИК №5487	УИК №5488	УИК №5489	УИК №5493	УИК №5498	УИК №5499
11	Число полученных открепительных удостоверений	4995	10	10	10	10	10	6	14	5	5	5	5	5	5	5	10	20	25	25	25	10	20	20	20	25	3	2	5	10	10	5	40	20	30	20	20	20	40	40	30	30	5	5	5	5	5	5	3	10	10	10	10	5	5	5	5	5	5	5	5	10	3	5	30	5	3	15	10	5	5	40	20	20	20	40	20	25	20	20	20	20	10	10	10	10	5	5	4	5	5	5	5	5	4	10	10	5	5	5	5	20	20	20	20	20	20	20	20	30	30	10	10	3	5	5	3	5	5	10	35	10	5	5	7	7	7	7	5	5	5	10	5	5	5	5	10	10	70	40	5	5	20	5	20	5	5	5	5	5	5	5	0	5	5	5	0	5	30	20	20	15	15	15	50	30	15	15	15	15	15	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	3	5	5	5	5	25	25	25	25	10	5	5	5	5	5	5	5	10	10	5	5	5	40	40	40	40	10	15	5	5	5	3	3	3	5	11	20	10	5	5	10	5	15	10	10	15	15	15	15	15	15	15	15	15	15	15	15	5	5	10	10	10	5	10	10	50	75	80	75	75	5	3	5	10	10	5	10	10	5	5	5	3	3	25	15	15	15	15	15	15	15	5	10	5	10	5	3	5	5	12	5	5	10	15	15	15	10	10	65	65	5	65	75	65	5	20	10	15	10	15	20	20	10	10	5	3	20	5	20	5	5	10	10	20	15	15	20	15	5	20	10	3	10	15	15	15	15	15	15	15	15	7	3	5	10	5	5	15	15	15	15	10	3	10	3	10	10	10	5	5	10	10	5	5	20	5	3	5	3	10	20	10	5	6	50	80	5	30	10	10	5	3	20
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	681	0	0	0	3	0	0	10	0	0	0	0	0	0	0	3	0	5	0	9	0	0	0	0	0	0	0	3	0	0	0	3	0	17	1	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	6	16	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	67	18	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	6	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0	1	1	15	15	15	15	15	15	15	15	15	15	15	0	0	0	0	0	0	2	1	0	0	4	1	0	0	0	0	1	0	0	0	0	1	1	0	0	2	25	15	0	1	15	13	10	15	0	2	0	0	0	0	0	0	0	0	0	1	7	0	2	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	10	1	10	0	0	9	0	0	1	6	10	0	0	0
13	Число избирателей, проголосовавших по открепительным удостоверениям	10184	0	16	21	216	109	46	1	1	1	1	3	33	3	0	33	5	0	0	1	13	0	0	0	1	0	0	6	56	18	1	66	32	287	56	114	23	8	38	23	1	2	3	0	0	9	1	0	16	8	96	0	45	6	106	2	2	0	0	2	5	0	0	25	22	0	131	1	0	0	17	0	1	7	127	10	6	4	7	7	0	26	54	1	4	34	6	0	3	1	0	9	4	105	146	228	7	1	0	0	64	70	28	11	14	44	19	9	2	6	0	3	17	0	0	3	0	0	96	61	4	0	0	118	42	4	54	2	0	0	14	8	0	105	5	81	6	31	4	3	0	112	4	27	0	10	20	2	0	1	11	0	23	0	2	22	1	0	0	2	4	1	2	44	0	7	0	1	6	0	12	1	1	1	0	6	0	31	67	0	0	7	20	2	10	346	6	2	0	4	3	28	12	13	0	232	4	0	0	0	16	1	32	0	2	17	20	2	6	71	118	55	12	13	492	0	6	0	0	0	0	7	38	6	0	154	93	1	232	38	198	161	17	126	0	16	0	7	1	0	0	19	6	63	2	8	15	0	2	89	24	113	42	16	28	17	6	0	9	369	267	9	34	104	38	8	41	4	0	9	35	8	11	14	10	10	10	0	4	14	32	41	0	19	1	7	7	21	75	4	0	1	19	2	91	33	0	34	34	42	0	1	0	9	2	11	36	7	32	32	0	0	45	0	8	1	1	53	10	0	121	3	15	7	2	2	5	0	2	4	4	1	0	1	2	0	0	25	0	5	3	4	0	2	0	0	2	0	0	398	0	4	11	17	13	0	155	0	0	0	239	1	15	0	2	0	272	5	0	0	65	28	9	10	2	3	0	3	27
14	Число неиспользованных открепительных удостоверений	4314	10	10	10	7	10	6	4	5	5	5	5	5	5	5	7	20	20	25	16	10	20	20	20	25	3	2	2	10	10	5	37	20	13	19	20	20	12	40	30	30	5	5	5	5	5	5	3	10	10	7	10	5	5	5	5	5	5	5	5	7	3	4	30	4	3	15	10	5	5	38	20	20	20	40	20	25	20	20	20	20	10	10	10	10	5	5	4	5	5	5	5	5	4	10	10	5	5	5	5	20	16	20	20	20	20	19	20	24	14	10	10	3	5	5	3	5	5	10	31	10	5	5	7	7	7	7	5	5	5	10	5	5	5	5	3	0	3	22	5	5	15	5	13	5	5	5	5	5	5	5	0	5	5	4	0	5	30	20	20	15	15	15	47	30	15	15	15	15	15	4	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	3	5	3	5	5	24	24	25	25	10	5	5	5	5	5	5	5	10	10	5	5	5	27	40	39	40	10	9	5	5	5	3	3	3	5	5	7	10	5	5	10	5	15	10	9	14	0	0	0	0	0	0	0	0	0	0	0	5	5	10	10	10	5	8	9	50	75	76	74	75	5	3	5	9	10	5	10	10	4	4	5	3	1	0	0	15	14	0	2	5	0	5	8	5	10	5	3	5	5	12	5	5	9	8	15	13	10	10	65	63	5	65	71	65	5	20	10	15	10	15	20	20	10	0	5	3	20	5	20	5	5	10	10	20	5	15	20	0	5	20	0	3	10	15	15	15	15	15	15	15	15	7	3	5	10	5	4	15	15	15	15	10	3	10	3	10	10	9	5	5	10	10	5	5	10	5	3	5	3	0	19	0	5	6	41	80	5	29	4	0	5	3	20
15	Число открепительных удостоверений, выданных избирателям ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																																																																																																																																																																																																																																																																																																																												
19	Жириновский Владимир Вольфович	12006	4	13	16	74	7	30	24	2	12	5	18	14	9	0	115	53	13	11	10	53	18	29	12	4	2	0	5	52	14	3	50	29	180	45	51	39	31	50	46	3	5	9	1	9	5	2	1	11	15	47	1	47	11	27	1	34	0	2	12	13	0	13	49	20	56	51	3	5	6	39	10	11	11	72	16	24	18	12	11	4	24	29	8	11	30	12	8	13	0	49	23	6	37	67	55	10	10	4	3	20	75	38	21	15	28	34	10	26	167	11	27	7	1	1	7	1	5	78	127	16	9	35	61	27	7	12	9	3	1	16	25	1	24	11	49	16	63	33	5	3	49	14	50	3	13	4	3	1	3	16	7	15	7	8	14	7	25	119	108	75	54	66	79	24	112	66	66	78	65	32	15	3	8	10	2	1	36	18	3	9	38	28	10	12	58	0	16	0	6	8	25	14	1	1	41	12	0	5	2	1	1	14	23	14	7	14	32	27	77	105	51	9	69	76	9	12	1	9	0	21	66	288	12	2	28	26	26	89	14	57	45	119	138	90	45	159	39	53	57	67	51	48	62	4	3	35	0	1	31	30	76	55	49	27	26	4	1	25	164	29	6	23	51	56	17	6	4	1	60	47	68	25	127	109	123	109	8	20	7	20	13	1	28	12	18	4	53	24	10	6	2	41	23	35	26	8	39	42	23	7	19	8	19	6	28	39	26	438	122	8	0	13	1	50	6	6	66	192	19	102	27	13	51	4	17	48	10	47	78	25	92	13	27	45	28	50	31	0	12	16	14	1	30	66	41	68	7	1	141	5	11	29	177	12	6	36	5	2	8	86	7	8	5	0	18	109	36	1	2	73	71	2	43	12	113	2	6	16
		2.72%	4.12%	2.66%	1.89%	4.12%	3.55%	2.04%	3.23%	1.61%	2.73%	4.67%	5.01%	4.36%	3.83%	0.00%	3.20%	11.75%	3.40%	2.73%	4.90%	4.99%	1.80%	1.45%	1.20%	1.27%	1.94%	0.00%	3.57%	4.12%	3.10%	4.35%	3.44%	3.01%	3.40%	3.32%	3.05%	4.20%	3.88%	1.95%	2.64%	0.49%	3.62%	6.04%	2.13%	7.20%	3.50%	1.72%	3.45%	1.64%	4.30%	4.30%	0.95%	7.87%	3.07%	4.79%	3.23%	4.31%	0.00%	3.03%	7.69%	0.56%	0.00%	5.31%	1.88%	3.42%	10.41%	4.09%	3.75%	7.35%	6.38%	2.50%	1.56%	1.83%	1.40%	3.27%	2.12%	2.41%	1.78%	1.38%	2.39%	1.89%	4.23%	6.55%	11.11%	3.90%	4.76%	2.80%	10.67%	4.58%	0.00%	8.39%	4.61%	3.80%	4.05%	4.78%	3.14%	2.75%	5.52%	2.96%	4.69%	2.34%	2.81%	3.28%	3.75%	2.59%	4.44%	4.11%	6.33%	4.02%	11.46%	2.84%	4.43%	3.72%	2.56%	3.70%	8.75%	0.75%	5.26%	2.15%	1.56%	0.70%	8.74%	18.13%	4.16%	3.74%	6.31%	3.82%	5.11%	2.40%	0.56%	2.67%	7.65%	0.82%	2.61%	3.45%	1.47%	1.00%	1.43%	0.80%	0.76%	5.26%	2.47%	1.71%	3.62%	2.26%	2.56%	4.44%	3.90%	1.43%	1.45%	6.87%	6.42%	4.52%	2.73%	4.76%	2.88%	5.26%	1.27%	2.55%	3.47%	2.77%	3.54%	2.81%	1.64%	1.60%	2.88%	3.39%	2.80%	2.83%	2.41%	3.35%	3.76%	3.45%	7.69%	9.43%	3.03%	1.04%	4.10%	2.53%	3.41%	6.92%	6.65%	2.90%	9.35%	3.54%	2.97%	0.00%	11.68%	0.00%	3.92%	3.25%	3.25%	6.73%	0.56%	1.15%	3.45%	3.22%	0.00%	4.95%	2.90%	1.08%	1.33%	2.70%	4.29%	2.38%	2.08%	4.31%	12.21%	0.64%	3.29%	2.34%	2.03%	0.62%	2.08%	4.75%	12.00%	3.32%	0.93%	3.35%	0.00%	3.10%	2.21%	1.46%	2.28%	5.00%	3.27%	2.49%	9.45%	2.99%	2.04%	2.39%	2.39%	5.99%	4.87%	7.89%	9.09%	8.50%	5.94%	3.15%	10.33%	7.31%	4.99%	7.27%	2.67%	5.00%	2.83%	6.06%	0.00%	1.00%	4.41%	5.03%	2.37%	1.85%	2.21%	1.59%	1.74%	1.54%	3.23%	6.63%	4.59%	2.10%	3.26%	3.07%	2.61%	4.61%	5.11%	4.38%	3.39%	4.76%	2.40%	1.83%	1.88%	1.67%	4.25%	3.89%	2.83%	2.15%	3.98%	6.83%	5.51%	2.50%	3.02%	3.03%	4.06%	6.45%	6.82%	3.60%	2.93%	4.84%	2.08%	0.56%	0.21%	1.80%	3.35%	1.93%	1.69%	0.45%	2.41%	2.17%	2.18%	6.19%	4.16%	3.54%	2.91%	1.97%	2.39%	3.89%	4.40%	3.03%	0.90%	0.86%	0.00%	1.86%	3.85%	4.15%	6.25%	0.93%	1.57%	1.20%	3.42%	1.67%	3.96%	3.04%	5.17%	0.78%	3.36%	8.09%	2.73%	1.81%	3.08%	2.69%	3.32%	1.74%	3.10%	2.63%	2.94%	3.83%	6.37%	0.00%	2.58%	6.90%	0.62%	1.09%	2.61%	3.23%	1.99%	3.73%	11.86%	1.10%	3.69%	10.87%	5.37%	1.65%	7.57%	3.50%	4.84%	2.36%	2.70%	8.70%	1.68%	3.29%	0.51%	3.09%	0.64%	0.00%	0.60%	2.84%	1.67%	4.00%	3.33%	3.20%	2.41%	2.27%	1.56%	0.75%	11.31%	0.42%	5.31%	6.43%
20	Зюганов Геннадий Андреевич	31785	23	52	100	269	16	167	77	4	77	11	74	41	40	6	198	46	10	9	7	48	12	22	4	6	21	1	22	147	50	12	155	108	619	197	238	105	52	129	154	24	11	24	4	27	24	16	1	77	48	154	11	74	57	84	1	187	1	10	23	79	1	36	158	82	44	186	18	8	12	118	35	25	42	135	39	47	47	39	24	17	99	70	12	45	51	53	14	37	1	96	56	14	138	139	168	32	16	15	3	66	173	68	36	43	64	60	24	20	267	55	68	28	5	1	7	12	9	431	355	47	16	38	225	94	12	52	32	21	5	79	41	12	75	37	260	139	256	169	80	9	216	78	153	23	55	5	7	5	11	38	11	31	32	23	70	35	95	219	182	167	94	103	280	30	265	104	130	182	155	90	48	11	21	15	10	7	109	92	17	24	67	133	15	41	200	3	18	8	35	37	95	27	11	9	107	35	2	9	17	6	13	68	71	50	49	44	53	139	281	365	204	52	45	204	5	32	13	25	27	66	264	523	65	1	67	86	68	268	71	186	173	229	311	130	34	85	36	51	36	38	82	50	143	12	13	60	3	15	73	99	305	245	245	133	105	31	2	38	390	163	33	116	247	152	46	25	20	2	197	195	242	123	196	166	310	276	37	24	13	73	48	8	92	29	37	8	177	43	13	10	7	186	42	167	152	42	170	173	96	18	32	28	77	12	118	115	28	621	213	62	4	29	2	109	7	32	322	297	46	431	22	31	80	45	18	36	32	83	141	56	172	29	32	93	51	85	76	5	45	34	86	5	60	121	57	82	5	8	572	10	27	52	88	55	13	148	28	4	57	307	63	26	19	5	49	374	30	3	7	259	249	4	206	8	74	32	33	15
