Выборы Президента Российской Федерации																																																												
Дата голосования: 18.03.2018																																																												
																																																												
Наименование Избирательной комиссии:    Зубово-Полянская																																																												
																																																												
Сводная таблица итогов голосования																																																												
																																																												
	Число участковых избирательных комиссий	49																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																										
																																																												
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234									
15	Жириновский Владимир Вольфович	714	45	48	17	39	18	3	5	0	34	4	5	6	11	19	8	15	3	5	4	2	2	11	18	5	3	2	10	9	6	0	15	24	0	16	11	1	5	15	11	12	28	21	52	45	10	43	7	14	27									
		2.66%	3.34%	3.04%	1.50%	2.62%	1.84%	1.29%	1.54%	0.00%	8.23%	1.52%	1.58%	2.74%	2.76%	5.15%	2.41%	3.69%	2.36%	2.07%	2.01%	2.50%	0.88%	1.52%	2.97%	1.74%	0.50%	0.63%	1.98%	3.21%	1.55%	0.00%	2.24%	1.94%	0.00%	2.17%	3.43%	0.29%	7.25%	2.44%	3.21%	1.33%	2.85%	1.68%	6.73%	5.94%	1.22%	5.94%	2.79%	3.39%	5.29%									
16	Путин Владимир Владимирович	24963	1280	1487	1074	1401	923	219	301	290	368	253	298	208	379	343	313	392	120	226	188	77	216	672	558	275	590	305	481	264	369	393	631	1170	62	691	302	325	63	566	323	853	928	1178	605	630	768	582	227	381	415									
		92.89%	94.89%	94.11%	94.54%	93.96%	94.18%	93.99%	92.90%	95.39%	89.10%	96.20%	94.01%	94.98%	94.99%	92.95%	94.28%	96.31%	94.49%	93.78%	94.47%	96.25%	95.15%	92.82%	92.08%	95.49%	98.50%	96.83%	95.06%	94.29%	95.10%	99.24%	94.04%	94.66%	95.38%	93.76%	94.08%	95.59%	91.30%	92.03%	94.17%	94.57%	94.31%	94.16%	78.27%	83.22%	93.77%	80.39%	90.44%	92.25%	81.37%									
17	Собчак Ксения Анатольевна	80	2	2	6	7	8	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	3	0	0	1	0	0	1	0	4	4	0	1	0	0	0	1	1	2	3	2	9	3	4	4	0	0	4									
		0.30%	0.15%	0.13%	0.53%	0.47%	0.82%	0.86%	0.00%	0.33%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.44%	0.28%	0.50%	0.00%	0.00%	0.32%	0.00%	0.00%	0.26%	0.00%	0.60%	0.32%	0.00%	0.14%	0.00%	0.00%	0.00%	0.16%	0.29%	0.22%	0.30%	0.16%	1.16%	0.40%	0.49%	0.55%	0.00%	0.00%	0.78%									
18	Сурайкин Максим Александрович	102	1	0	4	0	7	1	1	1	0	1	2	0	0	2	0	0	0	3	0	0	1	3	2	0	1	2	0	0	1	0	2	5	0	4	3	2	0	1	2	2	5	4	11	9	11	7	0	0	1									
		0.38%	0.07%	0.00%	0.35%	0.00%	0.71%	0.43%	0.31%	0.33%	0.00%	0.38%	0.63%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	1.24%	0.00%	0.00%	0.44%	0.41%	0.33%	0.00%	0.17%	0.63%	0.00%	0.00%	0.26%	0.00%	0.30%	0.40%	0.00%	0.54%	0.93%	0.59%	0.00%	0.16%	0.58%	0.22%	0.51%	0.32%	1.42%	1.19%	1.34%	0.97%	0.00%	0.00%	0.20%									
19	Титов Борис Юрьевич	59	3	1	3	12	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	3	5	0	2	0	0	0	1	1	1	1	7	3	1	1	0	0	0	2									
		0.22%	0.22%	0.06%	0.26%	0.80%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.52%	0.00%	0.45%	0.40%	0.00%	0.27%	0.00%	0.00%	0.00%	0.16%	0.29%	0.11%	0.10%	0.56%	0.39%	0.13%	0.12%	0.00%	0.00%	0.00%	0.39%									
