Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Пионерская городская															
															
Итоги голосования 															
															
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408					
1	"Число избирателей, внесенных в список"	9678	1368	2361	1372	1324	602	332	2256	63					
2	Число полученных избирательных бюллетеней	9815	1380	2400	1400	1350	620	315	2250	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5407	675	1288	793	763	283	168	1408	29					
5	"Число избирательных бюллетеней, выданных вне помещения"	254	22	35	19	13	29	80	30	26					
6	Число погашенных избирательных бюллетеней	4154	683	1077	588	574	308	67	812	45					
7	Число избирательных бюллетеней в переносных ящиках	254	22	35	19	13	29	80	30	26					
8	Число бюллетеней в стационарных ящиках для голосования	5403	675	1285	793	763	283	168	1407	29					
9	Число недействительных избирательных бюллетеней	51	9	13	4	6	4	7	8	0					
10	Число действительных избирательных бюллетеней	5606	688	1307	808	770	308	241	1429	55					
11	Число полученных открепительных  удостоверений	145	25	25	25	25	10	10	25	0					
12	Число выданных открепительных удостоверений	46	4	10	2	7	2	1	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	4	11	2	3	3	1	11	1					
14	Число неиспользованных открепительных удостоверений	99	21	15	23	18	8	9	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	271	18	79	56	48	12	6	50	2					
		4.79%	2.58%	5.98%	6.90%	6.19%	3.85%	2.42%	3.48%	3.64%					
19	. Малышкин Олег Александрович	86	15	22	8	10	7	1	22	1					
		1.52%	2.15%	1.67%	0.99%	1.29%	2.24%	0.40%	1.53%	1.82%					
20	. Миронов Сергей Михайлович	74	12	15	13	12	3	2	16	1					
		1.31%	1.72%	1.14%	1.60%	1.55%	0.96%	0.81%	1.11%	1.82%					
21	. Путин Владимир Владимирович	3980	528	908	526	531	241	173	1028	45					
		70.36%	75.75%	68.79%	64.78%	68.43%	77.24%	69.76%	71.54%	81.82%					
22	. Хакамада Ирина Муцуовна	210	24	57	40	29	7	7	45	1					
		3.71%	3.44%	4.32%	4.93%	3.74%	2.24%	2.82%	3.13%	1.82%					
23	. Харитонов Николай Михайлович	707	69	165	129	92	26	47	175	4					
		12.50%	9.90%	12.50%	15.89%	11.86%	8.33%	18.95%	12.18%	7.27%					
															
24	Против всех	278	22	61	36	48	12	5	93	1					
		4.91%	3.16%	4.62%	4.43%	6.19%	3.85%	2.02%	6.47%	1.82%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
