Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Старицкая																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038					
1	"Число избирателей, внесенных в список"	19169	2165	2030	1543	1510	466	195	255	130	184	183	703	311	261	142	147	263	822	344	207	429	1005	370	121	127	855	157	221	227	306	224	276	105	303	169	492	1290	174	457					
2	Число полученных избирательных бюллетеней	18918	2150	2000	1500	1450	470	192	254	136	181	183	700	300	269	148	149	257	800	330	202	420	1000	360	116	131	860	153	218	229	300	226	280	106	300	171	470	1300	177	430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9609	1213	1111	832	813	288	96	157	68	113	54	327	163	99	54	65	148	407	106	101	203	459	196	68	56	359	58	130	85	159	97	117	69	151	103	203	592	103	186					
5	"Число избирательных бюллетеней, выданных вне помещения"	2624	23	35	33	49	68	56	40	27	38	53	120	73	89	43	30	54	140	114	45	91	207	81	24	30	161	54	29	81	50	59	85	16	62	34	118	133	36	143					
6	Число погашенных избирательных бюллетеней	6685	914	854	635	588	114	40	57	41	30	76	253	64	81	51	54	55	253	110	56	126	334	83	24	45	340	41	59	63	91	70	78	21	87	34	149	575	38	101					
7	Число избирательных бюллетеней в переносных ящиках	2624	23	35	33	49	68	56	40	27	38	53	120	73	89	43	30	54	140	114	45	91	207	81	24	30	161	54	29	81	50	59	85	16	62	34	118	133	36	143					
8	Число бюллетеней в стационарных ящиках для голосования	9609	1213	1111	832	813	288	96	157	68	113	54	327	163	99	54	65	148	407	106	101	203	459	196	68	56	359	58	130	85	159	97	117	69	151	103	203	592	103	186					
9	Число недействительных избирательных бюллетеней	52	4	5	4	11	3	1	0	0	0	0	1	0	0	0	0	1	5	0	0	3	5	0	0	2	0	0	0	0	2	0	0	0	0	0	2	3	0	0					
10	Число действительных избирательных бюллетеней	12181	1232	1141	861	851	353	151	197	95	151	107	446	236	188	97	95	201	542	220	146	291	661	277	92	84	520	112	159	166	207	156	202	85	213	137	319	722	139	329					
11	Число полученных открепительных  удостоверений	373	20	20	15	20	10	5	5	5	5	5	15	10	15	5	5	10	20	10	10	10	15	5	8	5	15	5	10	10	10	5	5	5	5	5	10	15	10	10					
12	Число выданных открепительных удостоверений	153	16	11	4	4	7	1	1	4	2	0	4	1	3	4	0	2	9	1	2	5	15	2	6	0	2	2	6	4	2	2	4	0	5	1	1	12	2	6					
