Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:     район Измайлово																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №3084	УИК №3085					
1	"Число избирателей, внесенных в список"	66066	1331	1531	1837	1826	1902	1785	1786	1516	1958	2303	1759	1362	2217	2538	2370	2400	1500	1950	2119	1612	1777	2477	2215	2114	2115	2629	2046	2685	2455	1545	1958	1898	2252	207	91					
2	Число полученных избирательных бюллетеней	66900	1300	1500	1900	1900	1900	1800	1800	1500	2000	2300	1800	1400	2200	2600	2400	2400	1500	2000	2200	1600	1800	2500	2200	2100	2100	2700	2100	2700	2500	1600	2000	1900	2300	300	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34648	653	793	885	947	983	924	929	732	1078	1197	857	795	1139	1383	1334	1255	785	1105	1023	903	869	1361	1122	1068	1042	1386	1182	1441	1338	815	1111	1030	1183	0	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	1188	4	16	28	13	19	23	7	12	30	19	40	26	30	75	32	38	24	20	23	28	38	47	16	16	21	54	15	13	31	29	35	31	37	207	91					
6	Число погашенных избирательных бюллетеней	31064	643	691	987	940	898	853	864	756	892	1084	903	579	1031	1142	1034	1107	691	875	1154	669	893	1092	1062	1016	1037	1260	903	1246	1131	756	854	839	1080	93	9					
7	Число избирательных бюллетеней в переносных ящиках	1184	4	16	28	13	19	23	7	12	30	19	39	26	30	75	31	38	24	20	23	27	38	47	16	16	21	54	14	13	31	29	35	31	37	207	91					
8	Число бюллетеней в стационарных ящиках для голосования	34541	653	791	885	940	983	924	924	731	1078	1187	857	795	1108	1383	1334	1246	785	1102	1023	896	867	1360	1121	1061	1037	1386	1182	1441	1338	813	1111	1016	1183	0	0					
9	Число недействительных избирательных бюллетеней	319	1	9	10	13	1	20	4	4	11	9	33	5	10	8	57	3	8	12	0	7	1	5	9	7	5	4	9	3	11	10	11	4	14	1	0					
10	Число действительных избирательных бюллетеней	35406	656	798	903	940	1001	927	927	739	1097	1197	863	816	1128	1450	1308	1281	801	1110	1046	916	904	1402	1128	1070	1053	1436	1187	1451	1358	832	1135	1043	1206	206	91					
11	Число полученных открепительных  удостоверений	1850	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	50	50	50	50	50	50	150	50	50	50	50	50	50	50	50	50	50	0	0					
12	Число выданных открепительных удостоверений	882	17	13	21	19	26	21	15	15	26	29	18	14	10	42	42	78	24	25	40	15	15	41	23	24	34	38	43	38	32	22	20	24	18	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	773	82	15	11	23	16	15	15	5	24	47	37	11	25	10	43	27	11	40	29	18	10	16	24	16	20	23	15	23	24	17	13	20	24	17	7					
14	Число неиспользованных открепительных удостоверений	968	83	37	29	31	24	29	35	35	24	21	32	36	40	8	8	22	26	25	10	35	35	9	127	26	16	12	7	12	18	28	30	26	32	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	2433	31	46	63	55	61	44	66	41	72	99	57	45	87	80	86	96	45	113	75	76	67	106	79	68	69	107	113	91	101	55	68	80	77	13	1					
		6.81%	4.72%	5.70%	6.90%	5.77%	6.09%	4.65%	7.09%	5.52%	6.50%	8.21%	6.36%	5.48%	7.64%	5.49%	6.30%	7.48%	5.56%	10.07%	7.17%	8.23%	7.40%	7.53%	6.95%	6.31%	6.52%	7.43%	9.45%	6.26%	7.38%	6.53%	5.93%	7.64%	6.31%	6.28%	1.10%					
19	. Малышкин Олег Александрович	414	11	11	10	13	15	10	5	10	11	7	15	6	14	13	17	19	12	12	5	14	15	17	17	17	13	15	11	14	13	11	11	10	15	3	2					
		1.16%	1.67%	1.36%	1.10%	1.36%	1.50%	1.06%	0.54%	1.35%	0.99%	0.58%	1.67%	0.73%	1.23%	0.89%	1.25%	1.48%	1.48%	1.07%	0.48%	1.52%	1.66%	1.21%	1.50%	1.58%	1.23%	1.04%	0.92%	0.96%	0.95%	1.31%	0.96%	0.96%	1.23%	1.45%	2.20%					
20	. Миронов Сергей Михайлович	198	6	6	6	7	8	8	2	4	4	7	3	9	9	7	2	5	4	4	4	7	5	8	8	9	2	10	4	10	6	4	11	2	4	3	0					
		0.55%	0.91%	0.74%	0.66%	0.73%	0.80%	0.84%	0.21%	0.54%	0.36%	0.58%	0.33%	1.10%	0.79%	0.48%	0.15%	0.39%	0.49%	0.36%	0.38%	0.76%	0.55%	0.57%	0.70%	0.84%	0.19%	0.69%	0.33%	0.69%	0.44%	0.48%	0.96%	0.19%	0.33%	1.45%	0.00%					
