Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Ртищевская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114					
1	"Число избирателей, внесенных в список"	49959	459	2276	1095	2107	1955	1970	1350	2243	1018	2029	2412	2372	2091	1130	1133	2190	2066	2098	2126	154	1618	609	439	154	139	547	188	827	357	355	310	406	223	249	851	449	355	275	449	946	232	420	218	360	596	532	759	385	455	330	364	979	309					
2	Число полученных избирательных бюллетеней	50750	464	2304	1070	2100	1965	1965	1425	2240	1020	2020	2430	2620	2210	1105	1100	2210	2040	2151	2284	200	1577	623	438	156	135	533	184	797	344	349	305	393	220	251	877	517	357	275	457	961	332	414	212	405	599	530	763	368	458	319	358	1006	314					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24336	158	1079	418	946	861	878	555	1074	526	837	1256	1116	1009	483	441	1015	952	822	971	154	973	251	267	122	101	250	105	366	159	218	168	253	147	110	394	245	177	184	296	521	150	238	183	188	307	326	449	259	317	171	207	541	142					
5	"Число избирательных бюллетеней, выданных вне помещения"	4104	85	116	61	92	61	94	89	89	38	97	55	121	88	100	72	98	62	26	61	0	6	158	49	12	14	204	77	128	89	67	97	39	54	92	211	141	114	34	78	61	82	100	21	56	146	90	31	33	58	70	64	54	69					
6	Число погашенных избирательных бюллетеней	22310	221	1109	591	1062	1043	993	781	1077	456	1086	1119	1383	1113	522	587	1097	1026	1303	1252	46	598	214	122	22	20	79	2	303	96	64	40	101	19	49	272	131	66	57	83	379	100	76	8	161	146	114	283	76	83	78	87	411	103					
7	Число избирательных бюллетеней в переносных ящиках	4104	85	116	61	92	61	94	89	89	38	97	55	121	88	100	72	98	62	26	61	0	6	158	49	12	14	204	77	128	89	67	97	39	54	92	211	141	114	34	78	61	82	100	21	56	146	90	31	33	58	70	64	54	69					
8	Число бюллетеней в стационарных ящиках для голосования	24336	158	1079	418	946	861	878	555	1074	526	837	1256	1116	1009	483	441	1015	952	822	971	154	973	251	267	122	101	250	105	366	159	218	168	253	147	110	394	245	177	184	296	521	150	238	183	188	307	326	449	259	317	171	207	541	142					
9	Число недействительных избирательных бюллетеней	283	7	8	3	7	4	15	4	0	4	0	25	14	14	7	4	9	11	5	11	1	6	4	2	0	1	4	0	5	0	13	3	0	0	1	9	4	8	1	7	1	6	4	2	6	6	4	4	3	16	2	2	4	2					
10	Число действительных избирательных бюллетеней	28157	236	1187	476	1031	918	957	640	1163	560	934	1286	1223	1083	576	509	1104	1003	843	1021	153	973	405	314	134	114	450	182	489	248	272	262	292	201	201	596	382	283	217	367	581	226	334	202	238	447	412	476	289	359	239	269	591	209					
11	Число полученных открепительных  удостоверений	973	9	40	20	34	40	25	22	20	30	35	50	55	44	20	20	30	41	30	30	0	45	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	18	10					
12	Число выданных открепительных удостоверений	715	5	40	20	32	40	23	14	20	25	30	45	51	44	14	12	30	37	29	30	0	42	4	9	0	4	5	2	7	0	4	2	2	0	4	7	7	2	0	6	4	1	5	2	8	2	0	3	2	12	1	1	18	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	656	5	10	8	9	9	26	12	39	12	12	34	22	20	21	13	46	12	15	12	154	27	2	6	1	5	2	2	6	3	3	7	4	1	5	7	1	3	2	10	5	3	4	5	5	2	1	6	6	9	9	5	6	2					
14	Число неиспользованных открепительных удостоверений	258	4	0	0	2	0	2	8	0	5	5	5	4	0	6	8	0	4	1	0	0	3	6	1	10	6	5	8	3	10	6	8	8	10	6	3	3	8	10	4	6	9	5	8	2	8	10	7	8	3	9	9	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	3	0	2	2	1	1	2	1	0	0	1	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	849	5	30	7	38	40	15	19	24	14	34	51	44	32	27	17	54	31	34	20	1	46	8	15	0	1	14	6	14	5	10	3	7	3	3	6	3	3	7	5	20	6	3	2	4	21	9	22	13	10	16	3	14	10					
		2.99%	2.06%	2.51%	1.46%	3.66%	4.34%	1.54%	2.95%	2.06%	2.48%	3.64%	3.89%	3.56%	2.92%	4.63%	3.31%	4.85%	3.06%	4.01%	1.94%	0.65%	4.70%	1.96%	4.75%	0.00%	0.87%	3.08%	3.30%	2.83%	2.02%	3.51%	1.13%	2.40%	1.49%	1.49%	0.99%	0.78%	1.03%	3.21%	1.34%	3.44%	2.59%	0.89%	0.98%	1.64%	4.64%	2.16%	4.58%	4.45%	2.67%	6.64%	1.11%	2.35%	4.74%					
19	. Малышкин Олег Александрович	704	2	26	11	19	24	20	23	19	18	38	26	30	20	20	12	28	21	22	27	4	29	10	9	5	0	13	5	20	1	6	9	8	7	6	7	11	4	6	12	12	9	5	6	9	14	9	9	9	7	3	9	22	3					
		2.48%	0.82%	2.18%	2.30%	1.83%	2.60%	2.06%	3.57%	1.63%	3.19%	4.07%	1.98%	2.43%	1.82%	3.43%	2.34%	2.52%	2.07%	2.59%	2.62%	2.60%	2.96%	2.44%	2.85%	3.73%	0.00%	2.86%	2.75%	4.05%	0.40%	2.11%	3.40%	2.74%	3.48%	2.97%	1.16%	2.85%	1.37%	2.75%	3.21%	2.06%	3.88%	1.48%	2.94%	3.69%	3.09%	2.16%	1.88%	3.08%	1.87%	1.24%	3.32%	3.70%	1.42%					
20	. Миронов Сергей Михайлович	185	0	7	1	5	4	1	6	2	4	4	8	11	10	8	4	3	8	5	9	0	11	1	2	2	0	5	7	4	3	1	3	3	1	3	3	3	3	3	1	0	3	2	0	0	3	5	2	4	4	0	0	0	3					
		0.65%	0.00%	0.59%	0.21%	0.48%	0.43%	0.10%	0.93%	0.17%	0.71%	0.43%	0.61%	0.89%	0.91%	1.37%	0.78%	0.27%	0.79%	0.59%	0.87%	0.00%	1.12%	0.24%	0.63%	1.49%	0.00%	1.10%	3.85%	0.81%	1.21%	0.35%	1.13%	1.03%	0.50%	1.49%	0.50%	0.78%	1.03%	1.38%	0.27%	0.00%	1.29%	0.59%	0.00%	0.00%	0.66%	1.20%	0.42%	1.37%	1.07%	0.00%	0.00%	0.00%	1.42%					
21	. Путин Владимир Владимирович	19295	169	908	316	717	581	666	455	830	388	615	815	756	688	393	348	766	708	524	636	128	665	295	192	113	106	283	137	360	171	214	175	207	149	98	428	264	210	170	273	374	156	249	153	180	278	289	338	189	223	181	214	425	129					
		67.84%	69.55%	75.98%	65.97%	69.08%	63.02%	68.52%	70.65%	71.37%	68.79%	65.85%	62.17%	61.12%	62.72%	67.41%	67.84%	68.82%	69.82%	61.79%	61.63%	83.12%	67.93%	72.13%	60.76%	84.33%	92.17%	62.33%	75.27%	72.87%	68.95%	75.09%	66.04%	70.89%	74.13%	48.51%	70.74%	68.39%	72.16%	77.98%	72.99%	64.26%	67.24%	73.67%	75.00%	73.77%	61.37%	69.47%	70.42%	64.73%	59.47%	75.10%	78.97%	71.43%	61.14%					
22	. Хакамада Ирина Муцуовна	422	2	14	7	19	18	11	7	6	9	12	24	29	13	7	9	17	23	7	18	2	24	7	9	0	3	1	1	9	1	3	0	3	0	2	13	8	2	1	3	12	2	12	5	5	3	2	7	4	7	4	2	11	2					
		1.48%	0.82%	1.17%	1.46%	1.83%	1.95%	1.13%	1.09%	0.52%	1.60%	1.28%	1.83%	2.34%	1.19%	1.20%	1.75%	1.53%	2.27%	0.83%	1.74%	1.30%	2.45%	1.71%	2.85%	0.00%	2.61%	0.22%	0.55%	1.82%	0.40%	1.05%	0.00%	1.03%	0.00%	0.99%	2.15%	2.07%	0.69%	0.46%	0.80%	2.06%	0.86%	3.55%	2.45%	2.05%	0.66%	0.48%	1.46%	1.37%	1.87%	1.66%	0.74%	1.85%	0.95%					
23	. Харитонов Николай Михайлович	6048	54	182	122	206	216	224	108	267	113	227	320	310	285	109	109	208	187	226	285	13	144	79	83	12	3	128	26	77	64	33	65	56	38	83	131	82	56	30	70	154	49	53	33	34	128	92	85	58	88	34	39	109	61					
		21.27%	22.22%	15.23%	25.47%	19.85%	23.43%	23.05%	16.77%	22.96%	20.04%	24.30%	24.41%	25.06%	25.98%	18.70%	21.25%	18.69%	18.44%	26.65%	27.62%	8.44%	14.71%	19.32%	26.27%	8.96%	2.61%	28.19%	14.29%	15.59%	25.81%	11.58%	24.53%	19.18%	18.91%	41.09%	21.65%	21.24%	19.24%	13.76%	18.72%	26.46%	21.12%	15.68%	16.18%	13.93%	28.26%	22.12%	17.71%	19.86%	23.47%	14.11%	14.39%	18.32%	28.91%					
																																																												
24	Против всех	654	4	20	12	27	35	20	22	15	14	4	42	43	35	12	10	28	25	25	26	5	54	5	4	2	1	6	0	5	3	5	7	8	3	6	8	11	5	0	3	9	1	10	3	6	0	6	13	12	20	1	2	10	1					
		2.30%	1.65%	1.67%	2.51%	2.60%	3.80%	2.06%	3.42%	1.29%	2.48%	0.43%	3.20%	3.48%	3.19%	2.06%	1.95%	2.52%	2.47%	2.95%	2.52%	3.25%	5.52%	1.22%	1.27%	1.49%	0.87%	1.32%	0.00%	1.01%	1.21%	1.75%	2.64%	2.74%	1.49%	2.97%	1.32%	2.85%	1.72%	0.00%	0.80%	1.55%	0.43%	2.96%	1.47%	2.46%	0.00%	1.44%	2.71%	4.11%	5.33%	0.41%	0.74%	1.68%	0.47%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
