Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Киясовская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314	УИК  2315	УИК  2316	УИК  2317	УИК  2318	УИК  2319	УИК  2320	УИК  2321	УИК  2322					
1	"Число избирателей, внесенных в список"	8188	2446	1173	381	515	120	94	105	184	253	157	349	134	548	133	205	171	249	141	166	165	66	433					
2	Число полученных избирательных бюллетеней	7680	2200	1100	350	480	120	95	110	185	240	160	310	130	500	130	200	180	240	140	180	160	70	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6115	1773	823	292	382	89	78	96	108	186	124	242	106	397	111	176	145	190	120	129	134	60	354					
5	"Число избирательных бюллетеней, выданных вне помещения"	745	210	72	26	54	14	8	9	54	27	19	56	6	41	15	16	19	32	14	17	15	2	19					
6	Число погашенных избирательных бюллетеней	820	217	205	32	44	17	9	5	23	27	17	12	18	62	4	8	16	18	6	34	11	8	27					
7	Число избирательных бюллетеней в переносных ящиках	745	210	72	26	54	14	8	9	54	27	19	56	6	41	15	16	19	32	14	17	15	2	19					
8	Число бюллетеней в стационарных ящиках для голосования	6113	1772	823	291	382	89	78	96	108	186	124	242	106	397	111	176	145	190	120	129	134	60	354					
9	Число недействительных избирательных бюллетеней	99	28	18	5	0	1	1	2	2	0	1	4	4	8	4	5	0	2	1	0	4	2	7					
10	Число действительных избирательных бюллетеней	6759	1954	877	312	436	102	85	103	160	213	142	294	108	430	122	187	164	220	133	146	145	60	366					
11	Число полученных открепительных  удостоверений	230	54	28	7	13	2	6	5	5	5	7	20	5	17	8	10	5	3	5	8	5	2	10					
12	Число выданных открепительных удостоверений	184	48	24	3	12	1	3	2	3	5	5	20	5	15	6	10	5	2	0	8	1	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	35	5	3	4	1	1	1	2	3	3	5	4	4	2	1	1	2	1	1	2	2	9					
14	Число неиспользованных открепительных удостоверений	46	6	4	4	1	1	3	3	2	0	2	0	0	2	2	0	0	1	5	0	4	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	7	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	108	27	17	8	8	0	1	0	2	4	1	6	3	8	1	3	2	3	1	6	2	1	4					
		1.57%	1.36%	1.90%	2.52%	1.83%	0.00%	1.16%	0.00%	1.23%	1.88%	0.70%	2.01%	2.68%	1.83%	0.79%	1.56%	1.22%	1.35%	0.75%	4.11%	1.34%	1.61%	1.07%					
19	. Малышкин Олег Александрович	161	46	18	12	14	3	6	4	2	1	5	9	3	9	2	4	0	0	4	6	6	2	5					
		2.35%	2.32%	2.01%	3.79%	3.21%	2.91%	6.98%	3.81%	1.23%	0.47%	3.50%	3.02%	2.68%	2.05%	1.59%	2.08%	0.00%	0.00%	2.99%	4.11%	4.03%	3.23%	1.34%					
20	. Миронов Сергей Михайлович	47	10	6	2	2	0	1	1	1	1	1	2	0	5	1	0	1	2	1	0	1	0	9					
		0.69%	0.50%	0.67%	0.63%	0.46%	0.00%	1.16%	0.95%	0.62%	0.47%	0.70%	0.67%	0.00%	1.14%	0.79%	0.00%	0.61%	0.90%	0.75%	0.00%	0.67%	0.00%	2.41%					
21	. Путин Владимир Владимирович	5418	1609	700	241	347	77	70	83	127	151	119	245	89	300	103	165	143	186	113	102	103	56	289					
		79.00%	81.18%	78.21%	76.03%	79.59%	74.76%	81.40%	79.05%	78.40%	70.89%	83.22%	82.21%	79.46%	68.49%	81.75%	85.94%	87.20%	83.78%	84.33%	69.86%	69.13%	90.32%	77.48%					
22	. Хакамада Ирина Муцуовна	119	55	14	7	11	1	0	1	2	3	1	1	4	5	0	1	2	4	1	2	0	0	4					
		1.74%	2.77%	1.56%	2.21%	2.52%	0.97%	0.00%	0.95%	1.23%	1.41%	0.70%	0.34%	3.57%	1.14%	0.00%	0.52%	1.22%	1.80%	0.75%	1.37%	0.00%	0.00%	1.07%					
23	. Харитонов Николай Михайлович	807	186	108	31	48	18	5	13	26	49	13	22	9	95	11	11	15	24	10	29	31	1	52					
		11.77%	9.38%	12.07%	9.78%	11.01%	17.48%	5.81%	12.38%	16.05%	23.00%	9.09%	7.38%	8.04%	21.69%	8.73%	5.73%	9.15%	10.81%	7.46%	19.86%	20.81%	1.61%	13.94%					
																													
24	Против всех	99	21	14	11	6	3	2	1	0	4	2	9	0	8	4	3	1	1	3	1	2	0	3					
		1.44%	1.06%	1.56%	3.47%	1.38%	2.91%	2.33%	0.95%	0.00%	1.88%	1.40%	3.02%	0.00%	1.83%	3.17%	1.56%	0.61%	0.45%	2.24%	0.68%	1.34%	0.00%	0.80%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
