Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Унцукульская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  1344	УИК  1345	УИК  1346	УИК  1347	УИК  1348	УИК  1349	УИК  1350	УИК  1351	УИК  1352	УИК  1353	УИК  1354	УИК  1355	УИК  1356	УИК  1357	УИК  1358	УИК  1359	УИК  1360	УИК  1361	УИК  1362	УИК  1363					
1	"Число избирателей, внесенных в список"	13538	1773	67	1600	1432	240	107	1034	71	952	1198	592	446	2047	828	409	120	111	95	256	160					
2	Число полученных избирательных бюллетеней	13590	1700	100	1600	1420	240	120	1045	75	940	1200	620	450	2000	900	430	120	120	100	250	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12746	1551	61	1537	1387	238	107	1012	71	920	1174	580	422	1839	756	392	118	101	92	228	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	194	61	0	28	13	0	0	0	0	0	0	12	4	17	34	10	0	0	0	15	0					
6	Число погашенных избирательных бюллетеней	650	88	39	35	20	2	13	33	4	20	26	28	24	144	110	28	2	19	8	7	0					
7	Число избирательных бюллетеней в переносных ящиках	194	61	0	28	13	0	0	0	0	0	0	12	4	17	34	10	0	0	0	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	12746	1551	61	1537	1387	238	107	1012	71	920	1174	580	422	1839	756	392	118	101	92	228	160					
9	Число недействительных избирательных бюллетеней	44	7	2	0	12	2	0	5	0	0	0	0	1	0	3	10	1	0	0	0	1					
10	Число действительных избирательных бюллетеней	12896	1605	59	1565	1388	236	107	1007	71	920	1174	592	425	1856	787	392	117	101	92	243	159					
11	Число полученных открепительных  удостоверений	215	30	10	15	15	5	4	10	4	12	12	10	10	18	12	10	10	6	6	6	10					
12	Число выданных открепительных удостоверений	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	213	28	10	15	15	5	4	10	4	12	12	10	10	18	12	10	10	6	6	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	54	11	0	0	3	0	0	6	1	5	2	3	0	4	6	8	0	1	2	0	2					
		0.42%	0.68%	0.00%	0.00%	0.21%	0.00%	0.00%	0.59%	1.41%	0.54%	0.17%	0.51%	0.00%	0.22%	0.76%	1.99%	0.00%	0.99%	2.17%	0.00%	1.25%					
19	. Малышкин Олег Александрович	10	0	1	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0					
		0.08%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.89%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	245	101	0	63	15	0	3	1	0	0	2	0	18	2	18	4	10	4	4	0	0					
		1.89%	6.27%	0.00%	4.03%	1.07%	0.00%	2.80%	0.10%	0.00%	0.00%	0.17%	0.00%	4.23%	0.11%	2.28%	1.00%	8.47%	3.96%	4.35%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11936	1358	51	1479	1348	236	99	882	61	842	1147	574	395	1774	685	359	93	95	84	221	153					
		92.24%	84.24%	83.61%	94.50%	96.29%	99.16%	92.52%	87.15%	85.92%	91.52%	97.70%	96.96%	92.72%	95.58%	86.71%	89.30%	78.81%	94.06%	91.30%	90.95%	95.62%					
22	. Хакамада Ирина Муцуовна	50	16	3	0	0	0	0	6	1	1	3	5	4	3	2	1	1	1	0	2	1					
		0.39%	0.99%	4.92%	0.00%	0.00%	0.00%	0.00%	0.59%	1.41%	0.11%	0.26%	0.84%	0.94%	0.16%	0.25%	0.25%	0.85%	0.99%	0.00%	0.82%	0.62%					
23	. Харитонов Николай Михайлович	539	116	3	23	22	0	5	91	8	59	20	8	7	66	64	17	5	0	2	20	3					
		4.17%	7.20%	4.92%	1.47%	1.57%	0.00%	4.67%	8.99%	11.27%	6.41%	1.70%	1.35%	1.64%	3.56%	8.10%	4.23%	4.24%	0.00%	2.17%	8.23%	1.88%					
																											
24	Против всех	62	3	1	0	0	0	0	21	0	13	0	2	0	7	5	2	8	0	0	0	0					
		0.48%	0.19%	1.64%	0.00%	0.00%	0.00%	0.00%	2.08%	0.00%	1.41%	0.00%	0.34%	0.00%	0.38%	0.63%	0.50%	6.78%	0.00%	0.00%	0.00%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
