Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Ипатовская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517					
1	"Число избирателей, внесенных в список"	48607	2112	2645	2362	2600	2520	2527	2574	2742	2133	109	1508	234	330	1716	790	1643	1004	86	804	149	482	1041	452	375	2162	183	1386	186	246	176	424	430	1062	428	245	727	241	209	94	2451	1281	1640	2008	90					
2	Число полученных избирательных бюллетеней	49093	2163	2621	2359	2650	2521	2564	2643	2636	2144	109	1493	230	377	1698	787	1653	1033	102	789	146	481	1044	439	361	2140	216	1379	190	245	162	492	478	1115	465	282	837	217	236	98	2422	1260	1743	1946	127					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25235	1001	1214	1149	1227	1217	1247	1095	1375	842	88	740	156	180	912	420	1034	613	71	479	112	199	535	265	251	1130	106	792	141	145	96	329	355	584	250	143	419	197	130	77	1124	672	937	1106	80					
5	"Число избирательных бюллетеней, выданных вне помещения"	3535	50	53	94	109	65	113	214	194	273	8	100	0	24	132	90	84	134	3	73	0	107	93	73	28	176	33	97	8	40	21	24	23	86	57	49	63	20	20	12	161	171	164	186	10					
6	Число погашенных избирательных бюллетеней	20323	1112	1354	1116	1314	1239	1204	1334	1067	1029	13	653	74	173	654	277	535	286	28	237	34	175	416	101	82	834	77	490	41	60	45	139	100	445	158	90	355	0	86	9	1137	417	642	654	37					
7	Число избирательных бюллетеней в переносных ящиках	3535	50	53	94	109	65	113	214	194	273	8	100	0	24	132	90	84	134	3	73	0	107	93	73	28	176	33	97	8	40	21	24	23	86	57	49	63	20	20	12	161	171	164	186	10					
8	Число бюллетеней в стационарных ящиках для голосования	25234	1001	1214	1149	1227	1217	1247	1095	1375	842	88	740	156	180	912	420	1034	613	71	479	112	199	535	265	251	1130	106	792	141	145	96	329	355	584	250	143	419	197	130	77	1123	672	937	1106	80					
9	Число недействительных избирательных бюллетеней	221	6	4	7	5	5	11	8	22	13	2	14	2	2	7	5	8	4	0	13	1	3	5	4	2	6	1	5	3	1	3	2	2	3	3	2	8	4	2	3	11	0	1	8	0					
10	Число действительных избирательных бюллетеней	28548	1045	1263	1236	1331	1277	1349	1301	1547	1102	94	826	154	202	1037	505	1110	743	74	539	111	303	623	334	277	1300	138	884	146	184	114	351	376	667	304	190	474	213	148	86	1273	843	1100	1284	90					
11	Число полученных открепительных  удостоверений	288	12	12	12	12	12	12	12	12	12	5	6	5	5	6	5	6	6	4	6	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	195	12	11	10	10	12	12	7	12	9	4	6	0	0	4	3	6	6	2	6	0	0	6	1	0	5	0	5	5	0	1	2	3	5	0	1	5	2	1	0	5	5	5	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	2	1	1	3	9	6	0	3	3	3	0	0	0	4	0	0	2	0	2	1	2	0	0	0	3	0	1	0	0	1	0	3	0	0	0	0	1	0	0	3	1	1	5	1					
14	Число неиспользованных открепительных удостоверений	93	0	1	2	2	0	0	5	0	3	1	0	5	5	2	2	0	0	2	0	5	5	0	4	5	0	5	0	0	5	4	3	2	0	5	4	0	3	4	5	0	0	0	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	2	1	1	0	1	1	2	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
