Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Тверь, Заволжская"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК  1039	УИК  1040	УИК  1041	УИК  1042	УИК  1043	УИК  1044	УИК  1045	УИК  1046	УИК  1047	УИК  1048	УИК  1049	УИК  1050	УИК  1051	УИК  1052	УИК  1053	УИК  1054	УИК  1055	УИК  1056	УИК  1057	УИК  1058	УИК  1059	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091					
1	"Число избирателей, внесенных в список"	118058	2942	2917	2920	2206	2561	2749	2697	2507	2381	1431	2315	2915	2886	2775	2244	2002	2621	2308	2704	2549	2767	2609	2440	2791	2279	2178	1557	2269	2106	2462	2840	1459	1832	1857	2791	2124	2138	1920	2250	2420	2813	2903	2500	1249	1698	2473	2703	2485	2949	373	47	91	55					
2	Число полученных избирательных бюллетеней	114334	2900	2900	2900	2100	2500	2700	2600	2500	2300	1300	2300	2900	2800	2700	2100	1900	2600	2200	2300	2500	2700	2600	2300	2700	2200	2100	1500	2200	2000	2400	2700	1400	1800	1800	2800	2100	2100	1900	2200	2400	2700	2800	2300	1200	1600	2400	2700	2400	2800	346	41	92	55					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56740	1316	1344	1311	1089	1271	1357	1326	1164	1184	810	1112	1431	1412	1308	1178	1034	1241	1098	1315	1386	1426	1274	1374	1509	1099	980	691	1026	721	1211	1309	619	907	736	1284	1095	1166	1009	1164	1206	1485	1435	994	541	702	1130	1079	1086	1410	239	18	91	37					
5	"Число избирательных бюллетеней, выданных вне помещения"	1474	23	25	6	14	30	24	13	19	32	7	42	14	27	20	23	13	23	16	141	22	32	13	30	31	24	51	23	30	38	19	11	20	19	37	52	49	42	48	16	18	12	32	33	17	15	14	19	20	39	96	23	0	17					
6	Число погашенных избирательных бюллетеней	56120	1561	1531	1583	997	1199	1319	1261	1317	1084	483	1146	1455	1361	1372	899	853	1336	1086	844	1092	1242	1313	896	1160	1077	1069	786	1144	1241	1170	1380	761	874	1027	1464	956	892	843	1020	1176	1203	1333	1273	642	883	1256	1602	1294	1351	11	0	1	1					
7	Число избирательных бюллетеней в переносных ящиках	1474	23	25	6	14	30	24	13	19	32	7	42	14	27	20	23	13	23	16	141	22	32	13	30	31	24	51	23	30	38	19	11	20	19	37	52	49	42	48	16	18	12	32	33	17	15	14	19	20	39	96	23	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	56703	1314	1344	1311	1089	1269	1357	1313	1163	1184	810	1112	1431	1412	1304	1178	1034	1240	1097	1310	1386	1426	1274	1374	1509	1099	979	691	1025	721	1211	1309	619	907	736	1284	1093	1164	1009	1163	1205	1485	1435	994	541	702	1130	1079	1086	1410	239	18	91	37					
9	Число недействительных избирательных бюллетеней	225	5	10	1	0	3	10	2	6	2	1	4	25	3	2	4	8	0	4	9	2	7	2	4	10	3	0	0	3	7	5	3	3	4	5	3	2	5	6	1	4	2	6	8	3	5	2	7	4	8	0	0	2	0					
10	Число действительных избирательных бюллетеней	57952	1332	1359	1316	1103	1296	1371	1324	1176	1214	816	1150	1420	1436	1322	1197	1039	1263	1109	1442	1406	1451	1285	1400	1530	1120	1030	714	1052	752	1225	1317	636	922	768	1333	1140	1201	1051	1178	1219	1495	1461	1019	555	712	1142	1091	1102	1441	335	41	89	54					
11	Число полученных открепительных  удостоверений	2450	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0					
12	Число выданных открепительных удостоверений	740	14	23	20	10	23	12	21	16	14	1	18	25	10	15	8	21	17	8	12	25	16	9	22	35	24	19	16	18	9	24	20	11	7	5	7	10	21	22	16	13	18	18	7	1	3	8	7	16	25	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	721	18	8	8	9	7	7	16	5	12	39	7	8	15	10	12	30	6	10	44	14	13	9	13	11	2	6	16	25	11	8	15	3	3	5	3	4	13	8	12	8	18	18	9	12	8	9	7	7	45	50	16	39	10					
14	Число неиспользованных открепительных удостоверений	1710	36	27	30	40	27	38	29	34	36	49	32	25	40	35	42	29	33	42	38	25	34	41	28	15	26	31	34	32	41	26	30	39	43	45	43	40	29	28	34	37	32	32	43	49	47	42	43	34	25	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	92	3	5	2	1	4	1	3	2	1	0	2	2	2	0	1	1	4	1	1	3	0	6	0	0	3	2	1	0	4	2	2	2	3	3	2	2	0	1	0	0	2	3	0	0	2	2	5	1	5	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	3400	16	89	96	73	71	74	77	51	58	37	58	72	77	82	77	70	92	69	66	139	88	98	123	99	93	49	24	55	40	75	61	23	24	21	77	85	92	67	99	92	111	109	59	28	41	47	45	42	56	19	7	4	3					
