Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Еравнинская 																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
1	"Число избирателей, внесенных в список"	11524	794	340	600	57	238	186	589	35	493	338	69	132	786	784	738	781	779	119	342	329	897	102	204	538	957	297					
2	Число полученных избирательных бюллетеней	11200	790	345	570	55	230	180	590	35	500	325	65	130	800	700	730	730	780	120	320	320	900	100	210	540	850	285					
3	"Число избирательных бюллетеней, выданных  досрочно"	251	59	0	37	0	0	20	18	3	15	52	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8144	536	238	431	52	210	130	463	31	318	195	58	113	566	516	495	486	511	93	250	272	614	82	177	354	720	233					
5	"Число избирательных бюллетеней, выданных вне помещения"	698	44	20	28	0	9	14	29	1	49	22	7	3	37	33	29	71	51	9	29	11	64	9	4	37	53	35					
6	Число погашенных избирательных бюллетеней	2107	151	87	74	3	11	16	80	0	118	56	0	14	197	151	206	173	218	18	41	37	222	9	29	102	77	17					
7	Число избирательных бюллетеней в переносных ящиках	949	103	20	65	0	9	34	47	4	64	74	7	3	37	33	29	71	51	9	29	11	64	9	4	84	53	35					
8	Число бюллетеней в стационарных ящиках для голосования	8142	536	237	431	52	210	130	462	31	318	195	58	113	566	516	495	486	511	93	250	272	614	82	177	354	720	233					
9	Число недействительных избирательных бюллетеней	124	2	2	7	0	3	2	8	0	8	5	3	1	6	7	1	8	8	2	12	9	9	4	0	4	6	7					
10	Число действительных избирательных бюллетеней	8967	637	255	489	52	216	162	501	35	374	264	62	115	597	542	523	549	554	100	267	274	669	87	181	434	767	261					
