Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Баксанская городская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42					
1	"Число избирателей, внесенных в список избирателей"	28103	2166	2002	2342	2260	1546	1905	1315	1517	2521	2287	1599	1799	1281	1314	1141	1108					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28051	2158	1996	2332	2248	1545	1900	1320	1511	2529	2287	1595	1794	1275	1316	1137	1108					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27791	2148	1987	2329	2244	1528	1897	1308	1506	2392	2272	1591	1771	1273	1309	1134	1102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	153	0	0	0	0	13	2	1	0	106	8	0	21	0	0	2	0					
6	Число погашенных избирательных бюллетеней	107	10	9	3	4	4	1	11	5	31	7	4	2	2	7	1	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	153	0	0	0	0	13	2	1	0	106	8	0	21	0	0	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27777	2148	1987	2329	2244	1528	1897	1294	1506	2392	2272	1591	1771	1273	1309	1134	1102					
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	27920	2148	1987	2329	2244	1541	1899	1285	1506	2498	2280	1591	1792	1273	1309	1136	1102					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	149	12	9	13	12	8	7	7	9	13	13	6	9	6	9	8	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	136	12	7	13	12	8	7	7	9	13	13	3	6	2	9	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	2	5	3	1	2	1	1	2	2	2	1	2	1	3	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	13	0	2	0	0	0	0	0	0	0	0	3	3	4	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	21	2	1	1	2	1	1	2	1	2	1	1	1	2	1	1	1					
		0.08%	0.09%	0.05%	0.04%	0.09%	0.06%	0.05%	0.15%	0.07%	0.08%	0.04%	0.06%	0.06%	0.16%	0.08%	0.09%	0.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13	0	1	0	1	1	2	0	0	1	1	1	1	1	1	1	1					
		0.05%	0.00%	0.05%	0.00%	0.04%	0.06%	0.11%	0.00%	0.00%	0.04%	0.04%	0.06%	0.06%	0.08%	0.08%	0.09%	0.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	1	1	2	1	1	0	2	1	1	2	1	1	1	2	1	1					
		0.07%	0.05%	0.05%	0.09%	0.04%	0.06%	0.00%	0.15%	0.07%	0.04%	0.09%	0.06%	0.06%	0.08%	0.15%	0.09%	0.09%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9157	733	653	728	761	540	471	868	523	783	643	543	503	327	388	346	347					
		32.79%	34.12%	32.86%	31.26%	33.91%	35.04%	24.80%	67.03%	34.73%	31.35%	28.20%	34.13%	28.07%	25.69%	29.64%	30.46%	31.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	1	0	0	1	2	1	5	1	1	1	1	1	1	1	1	2					
		0.07%	0.05%	0.00%	0.00%	0.04%	0.13%	0.05%	0.39%	0.07%	0.04%	0.04%	0.06%	0.06%	0.08%	0.08%	0.09%	0.18%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18667	1410	1330	1597	1476	995	1423	402	979	1709	1631	1043	1283	940	915	785	749					
		66.83%	65.64%	66.94%	68.57%	65.78%	64.57%	74.93%	31.04%	65.01%	68.41%	71.54%	65.56%	71.60%	73.84%	69.90%	69.10%	67.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	1	1	1	2	1	1	6	1	1	1	1	2	1	1	1	1					
		0.08%	0.05%	0.05%	0.04%	0.09%	0.06%	0.05%	0.46%	0.07%	0.04%	0.04%	0.06%	0.11%	0.08%	0.08%	0.09%	0.09%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
