Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Весьегонская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158					
1	"Число избирателей, внесенных в список"	13179	313	273	166	311	248	202	328	259	432	404	155	242	271	238	721	149	251	209	538	112	2145	2599	2613					
2	Число полученных избирательных бюллетеней	13267	313	276	170	317	255	201	321	261	424	402	154	243	274	245	731	145	250	211	544	117	2155	2618	2640					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5217	151	63	70	92	115	33	89	79	163	68	65	48	115	79	265	60	116	62	191	48	905	1251	1089					
5	"Число избирательных бюллетеней, выданных вне помещения"	2383	102	141	61	166	74	105	153	80	111	231	42	116	106	87	114	55	84	93	217	30	72	73	70					
6	Число погашенных избирательных бюллетеней	5667	60	72	39	59	66	63	79	102	150	103	47	79	53	79	352	30	50	56	136	39	1178	1294	1481					
7	Число избирательных бюллетеней в переносных ящиках	2383	102	141	61	166	74	105	153	80	111	231	42	116	106	87	114	55	84	93	217	30	72	73	70					
8	Число бюллетеней в стационарных ящиках для голосования	5217	151	63	70	92	115	33	89	79	163	68	65	48	115	79	265	60	116	62	191	48	905	1251	1089					
9	Число недействительных избирательных бюллетеней	42	6	0	0	1	0	1	2	0	0	0	0	1	0	1	2	1	0	0	4	0	7	10	6					
10	Число действительных избирательных бюллетеней	7558	247	204	131	257	189	137	240	159	274	299	107	163	221	165	377	114	200	155	404	78	970	1314	1153					
11	Число полученных открепительных  удостоверений	218	8	8	5	8	8	8	8	8	8	10	5	7	7	7	15	7	8	8	10	5	20	20	20					
12	Число выданных открепительных удостоверений	58	0	2	3	2	0	0	2	2	0	1	0	0	2	1	1	0	2	0	1	0	8	14	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	1	1	2	0	3	5	5	1	2	1	3	2	0	1	1	2	1	0	1	0	5	6	7					
14	Число неиспользованных открепительных удостоверений	160	8	6	2	6	8	8	6	6	8	9	5	7	5	6	14	7	6	8	9	5	12	6	3					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	1	0	0	0	1	0	1	1	0	0	3	0	1	2	0	2	0	0	0	3	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	158	2	5	7	3	5	8	0	1	4	9	4	0	2	2	5	2	4	9	3	0	33	28	22					
		2.08%	0.79%	2.45%	5.34%	1.16%	2.65%	5.80%	0.00%	0.63%	1.46%	3.01%	3.74%	0.00%	0.90%	1.20%	1.32%	1.74%	2.00%	5.81%	0.74%	0.00%	3.38%	2.11%	1.90%					
19	. Малышкин Олег Александрович	122	2	4	1	1	3	3	7	7	7	3	0	3	2	4	7	5	3	4	7	2	8	25	14					
		1.61%	0.79%	1.96%	0.76%	0.39%	1.59%	2.17%	2.89%	4.40%	2.55%	1.00%	0.00%	1.83%	0.90%	2.41%	1.85%	4.35%	1.50%	2.58%	1.72%	2.56%	0.82%	1.89%	1.21%					
20	. Миронов Сергей Михайлович	54	2	0	0	5	2	2	1	0	5	3	1	6	2	1	2	0	0	2	1	2	7	5	5					
		0.71%	0.79%	0.00%	0.00%	1.94%	1.06%	1.45%	0.41%	0.00%	1.82%	1.00%	0.93%	3.66%	0.90%	0.60%	0.53%	0.00%	0.00%	1.29%	0.25%	2.56%	0.72%	0.38%	0.43%					
21	. Путин Владимир Владимирович	5570	155	125	92	178	132	94	189	110	201	224	38	134	154	126	262	65	136	87	314	68	758	1024	904					
		73.29%	61.26%	61.27%	70.23%	68.99%	69.84%	68.12%	78.10%	69.18%	73.36%	74.92%	35.51%	81.71%	69.68%	75.90%	69.13%	56.52%	68.00%	56.13%	76.96%	87.18%	77.58%	77.34%	78.00%					
22	. Хакамада Ирина Муцуовна	122	6	4	0	3	2	4	6	4	1	7	1	0	2	1	6	4	3	2	7	1	17	17	24					
		1.61%	2.37%	1.96%	0.00%	1.16%	1.06%	2.90%	2.48%	2.52%	0.36%	2.34%	0.93%	0.00%	0.90%	0.60%	1.58%	3.48%	1.50%	1.29%	1.72%	1.28%	1.74%	1.28%	2.07%					
23	. Харитонов Николай Михайлович	1431	78	64	30	64	45	24	33	35	53	52	61	18	55	30	92	35	51	50	67	5	137	189	163					
		18.83%	30.83%	31.37%	22.90%	24.81%	23.81%	17.39%	13.64%	22.01%	19.34%	17.39%	57.01%	10.98%	24.89%	18.07%	24.27%	30.43%	25.50%	32.26%	16.42%	6.41%	14.02%	14.27%	14.06%					
																														
24	Против всех	101	2	2	1	3	0	2	4	2	3	1	2	2	4	1	3	3	3	1	5	0	10	26	21					
		1.33%	0.79%	0.98%	0.76%	1.16%	0.00%	1.45%	1.65%	1.26%	1.09%	0.33%	1.87%	1.22%	1.81%	0.60%	0.79%	2.61%	1.50%	0.65%	1.23%	0.00%	1.02%	1.96%	1.81%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
