Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Репьевская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319					
1	"Число избирателей, внесенных в список"	14103	2711	2147	956	222	794	331	283	208	611	682	1257	724	902	477	173	204	486	585	350					
2	Число полученных избирательных бюллетеней	13600	2440	1960	945	225	790	333	280	207	615	670	1245	730	890	480	173	203	480	585	349					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8120	1449	1107	509	59	440	198	182	139	412	423	751	486	710	207	93	135	278	368	174					
5	"Число избирательных бюллетеней, выданных вне помещения"	2418	157	162	220	141	199	81	66	51	119	89	242	141	74	184	51	49	127	150	115					
6	Число погашенных избирательных бюллетеней	3062	834	691	216	25	151	54	32	17	84	158	252	103	106	89	29	19	75	67	60					
7	Число избирательных бюллетеней в переносных ящиках	2418	157	162	220	141	199	81	66	51	119	89	242	141	74	184	51	49	127	150	115					
8	Число бюллетеней в стационарных ящиках для голосования	8116	1449	1105	509	59	440	198	182	139	412	423	749	486	710	207	93	135	278	368	174					
9	Число недействительных избирательных бюллетеней	103	10	14	2	0	2	4	2	3	9	1	16	8	2	4	2	4	3	13	4					
10	Число действительных избирательных бюллетеней	10431	1596	1253	727	200	637	275	246	187	522	511	975	619	782	387	142	180	402	505	285					
11	Число полученных открепительных  удостоверений	128	38	27	4	2	5	4	6	2	3	3	7	4	5	5	2	2	3	4	2					
12	Число выданных открепительных удостоверений	76	31	24	2	0	2	2	3	0	0	0	3	4	2	3	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	4	8	2	1	2	3	2	0	3	3	5	3	3	2	0	1	0	3	1					
14	Число неиспользованных открепительных удостоверений	52	7	3	2	2	3	2	3	2	3	3	4	0	3	2	2	2	3	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	158	33	40	6	1	7	3	1	3	0	5	13	7	6	10	9	1	4	8	1					
		1.50%	2.05%	3.16%	0.82%	0.50%	1.10%	1.08%	0.40%	1.58%	0.00%	0.98%	1.31%	1.12%	0.77%	2.56%	6.25%	0.54%	0.99%	1.54%	0.35%					
19	. Малышкин Олег Александрович	204	32	37	17	4	7	2	5	6	8	10	12	13	11	11	3	5	9	11	1					
		1.94%	1.99%	2.92%	2.33%	2.00%	1.10%	0.72%	2.02%	3.16%	1.51%	1.95%	1.21%	2.07%	1.40%	2.81%	2.08%	2.72%	2.22%	2.12%	0.35%					
20	. Миронов Сергей Михайлович	84	20	13	5	1	5	4	3	1	3	5	9	2	1	2	0	3	5	2	0					
		0.80%	1.25%	1.03%	0.69%	0.50%	0.78%	1.43%	1.21%	0.53%	0.56%	0.98%	0.91%	0.32%	0.13%	0.51%	0.00%	1.63%	1.23%	0.39%	0.00%					
21	. Путин Владимир Владимирович	6859	954	737	480	145	469	165	173	115	404	291	662	436	599	278	70	131	298	272	180					
		65.11%	59.40%	58.17%	65.84%	72.50%	73.40%	59.14%	69.76%	60.53%	76.08%	56.84%	66.80%	69.54%	76.40%	71.10%	48.61%	71.20%	73.58%	52.51%	62.28%					
22	. Хакамада Ирина Муцуовна	162	31	22	6	0	3	7	7	2	2	13	18	15	4	6	4	5	2	11	4					
		1.54%	1.93%	1.74%	0.82%	0.00%	0.47%	2.51%	2.82%	1.05%	0.38%	2.54%	1.82%	2.39%	0.51%	1.53%	2.78%	2.72%	0.49%	2.12%	1.38%					
23	. Харитонов Николай Михайлович	2813	481	374	207	45	133	91	56	52	103	181	254	140	156	79	56	33	84	196	92					
		26.70%	29.95%	29.52%	28.40%	22.50%	20.81%	32.62%	22.58%	27.37%	19.40%	35.35%	25.63%	22.33%	19.90%	20.20%	38.89%	17.93%	20.74%	37.84%	31.83%					
																										
24	Против всех	151	45	30	6	4	13	3	1	8	2	6	7	6	5	1	0	2	0	5	7					
		1.43%	2.80%	2.37%	0.82%	2.00%	2.03%	1.08%	0.40%	4.21%	0.38%	1.17%	0.71%	0.96%	0.64%	0.26%	0.00%	1.09%	0.00%	0.97%	2.42%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
