Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Борисовская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296					
1	"Число избирателей, внесенных в список"	19705	778	986	1348	54	855	1432	1259	1395	1322	1023	651	189	205	443	401	1040	139	344	834	545	451	477	1135	125	419	387	323	129	1016					
2	Число полученных избирательных бюллетеней	18729	720	900	1230	54	780	1330	1160	1270	1210	930	600	200	205	400	390	1000	140	350	840	560	460	450	1140	125	440	400	320	125	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14043	542	705	906	54	586	988	873	967	900	618	442	163	177	274	219	745	99	232	647	371	342	376	1042	98	324	259	235	99	760					
5	"Число избирательных бюллетеней, выданных вне помещения"	1819	28	55	25	0	32	54	41	59	23	48	71	22	24	98	111	114	30	74	89	142	72	55	92	14	65	110	61	25	185					
6	Число погашенных избирательных бюллетеней	2867	150	140	299	0	162	288	246	244	287	264	87	15	4	28	60	141	11	44	104	47	46	19	6	13	51	31	24	1	55					
7	Число избирательных бюллетеней в переносных ящиках	1819	28	55	25	0	32	54	41	59	23	48	71	22	24	98	111	114	30	74	89	142	72	55	92	14	65	110	61	25	185					
8	Число бюллетеней в стационарных ящиках для голосования	14043	542	705	906	54	586	988	873	967	900	618	442	163	177	274	219	745	99	232	647	371	342	376	1042	98	324	259	235	99	760					
9	Число недействительных избирательных бюллетеней	220	7	15	19	0	9	18	9	10	8	7	0	0	0	4	6	2	2	11	12	7	3	6	3	2	11	2	9	0	38					
10	Число действительных избирательных бюллетеней	15642	563	745	912	54	609	1024	905	1016	915	659	513	185	201	368	324	857	127	295	724	506	411	425	1131	110	378	367	287	124	907					
11	Число полученных открепительных  удостоверений	205	7	7	7	0	7	8	8	8	8	7	12	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7					
12	Число выданных открепительных удостоверений	89	0	1	4	0	2	6	5	6	7	1	11	4	0	3	0	4	0	5	5	7	4	2	1	1	7	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	0	4	5	2	2	2	0	5	15	3	2	3	0	7	5	5	0	0	1	2	1	0	0	0	1	1	1	0	78					
14	Число неиспользованных открепительных удостоверений	116	7	6	3	0	5	2	3	2	1	6	1	3	7	4	7	3	7	2	2	0	3	5	6	6	0	4	7	7	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	793	31	46	68	3	38	81	66	68	67	54	21	1	9	22	5	29	0	17	19	28	8	22	45	2	12	7	9	0	15					
		5.00%	5.44%	6.05%	7.30%	5.56%	6.15%	7.77%	7.22%	6.63%	7.26%	8.11%	4.09%	0.54%	4.48%	5.91%	1.52%	3.38%	0.00%	5.56%	2.58%	5.46%	1.93%	5.10%	3.97%	1.79%	3.08%	1.90%	3.04%	0.00%	1.59%					
19	. Малышкин Олег Александрович	346	15	13	20	1	12	32	13	22	17	10	12	15	1	10	4	15	1	7	34	9	12	12	22	0	5	5	13	0	14					
		2.18%	2.63%	1.71%	2.15%	1.85%	1.94%	3.07%	1.42%	2.14%	1.84%	1.50%	2.34%	8.11%	0.50%	2.69%	1.21%	1.75%	0.78%	2.29%	4.62%	1.75%	2.90%	2.78%	1.94%	0.00%	1.29%	1.36%	4.39%	0.00%	1.48%					
20	. Миронов Сергей Михайлович	103	1	6	1	1	6	7	4	4	4	2	4	1	0	0	2	10	2	2	9	9	2	6	10	0	8	1	0	0	1					
		0.65%	0.18%	0.79%	0.11%	1.85%	0.97%	0.67%	0.44%	0.39%	0.43%	0.30%	0.78%	0.54%	0.00%	0.00%	0.61%	1.16%	1.55%	0.65%	1.22%	1.75%	0.48%	1.39%	0.88%	0.00%	2.06%	0.27%	0.00%	0.00%	0.11%					
21	. Путин Владимир Владимирович	9837	354	476	524	40	363	562	519	619	507	445	335	139	155	206	237	550	97	178	312	229	251	297	815	59	301	299	224	97	647					
		62.02%	62.11%	62.63%	56.28%	74.07%	58.74%	53.93%	56.78%	60.33%	54.93%	66.82%	65.30%	75.14%	77.11%	55.38%	71.82%	64.03%	75.19%	58.17%	42.39%	44.64%	60.63%	68.91%	71.87%	52.68%	77.38%	81.03%	75.68%	78.23%	68.47%					
22	. Хакамада Ирина Муцуовна	336	18	28	19	1	13	24	35	28	40	11	2	3	1	6	6	7	1	0	19	11	8	8	18	10	4	4	1	0	10					
		2.12%	3.16%	3.68%	2.04%	1.85%	2.10%	2.30%	3.83%	2.73%	4.33%	1.65%	0.39%	1.62%	0.50%	1.61%	1.82%	0.81%	0.78%	0.00%	2.58%	2.14%	1.93%	1.86%	1.59%	8.93%	1.03%	1.08%	0.34%	0.00%	1.06%					
23	. Харитонов Николай Михайлович	3555	115	119	216	7	148	261	203	215	215	111	127	24	35	111	62	199	24	80	301	214	121	71	198	35	37	48	37	22	199					
		22.41%	20.18%	15.66%	23.20%	12.96%	23.95%	25.05%	22.21%	20.96%	23.29%	16.67%	24.76%	12.97%	17.41%	29.84%	18.79%	23.17%	18.60%	26.14%	40.90%	41.72%	29.23%	16.47%	17.46%	31.25%	9.51%	13.01%	12.50%	17.74%	21.06%					
																																				
24	Против всех	672	29	57	64	1	29	57	65	60	65	26	12	2	0	13	8	47	2	11	30	6	9	9	23	4	11	3	3	5	21					
		4.24%	5.09%	7.50%	6.87%	1.85%	4.69%	5.47%	7.11%	5.85%	7.04%	3.90%	2.34%	1.08%	0.00%	3.49%	2.42%	5.47%	1.55%	3.59%	4.08%	1.17%	2.17%	2.09%	2.03%	3.57%	2.83%	0.81%	1.01%	4.03%	2.22%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
