Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Илимпийская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245					
1	"Число избирателей, внесенных в список избирателей"	5895	1133	673	897	1351	368	410	166	191	127	81	192	84	222					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5777	1080	615	865	1360	370	420	165	195	133	92	172	85	225					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3056	557	342	464	596	192	224	98	151	71	46	134	53	128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	89	17	13	15	14	7	3	4	3	0	0	1	1	11					
6	Число погашенных избирательных бюллетеней	2632	506	260	386	750	171	193	63	41	62	46	37	31	86					
7	Число избирательных бюллетеней в переносных ящиках для голосования	89	17	13	15	14	7	3	4	3	0	0	1	1	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3056	557	342	464	596	192	224	98	151	71	46	134	53	128					
9	Число недействительных избирательных бюллетеней	56	6	8	5	16	5	5	1	2	1	1	3	0	3					
10	Число действительных избирательных бюллетеней	3089	568	347	474	594	194	222	101	152	70	45	132	54	136					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	353	43	30	40	60	30	30	20	20	10	15	15	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	46	6	3	8	8	5	2	4	0	2	1	2	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	18	18	8	5	3	1	1	1	1	1	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	307	37	27	32	52	25	28	16	20	8	14	13	20	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	3	1	1	0	0	16	7	3	0	8	0	3	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	675	131	83	100	138	47	53	28	12	9	4	31	2	37					
		21.46%	22.82%	23.38%	20.88%	22.62%	23.62%	23.35%	27.45%	7.79%	12.68%	8.70%	22.96%	3.70%	26.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	325	60	39	70	83	32	4	5	6	5	6	7	0	8					
		10.33%	10.45%	10.99%	14.61%	13.61%	16.08%	1.76%	4.90%	3.90%	7.04%	13.04%	5.19%	0.00%	5.76%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	7	4	6	6	2	0	1	1	0	0	1	0	0					
		0.89%	1.22%	1.13%	1.25%	0.98%	1.01%	0.00%	0.98%	0.65%	0.00%	0.00%	0.74%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	346	75	51	51	82	40	20	4	5	3	2	5	1	7					
		11.00%	13.07%	14.37%	10.65%	13.44%	20.10%	8.81%	3.92%	3.25%	4.23%	4.35%	3.70%	1.85%	5.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	14	5	8	18	1	0	1	2	5	0	0	0	0					
		1.72%	2.44%	1.41%	1.67%	2.95%	0.50%	0.00%	0.98%	1.30%	7.04%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1635	272	163	236	259	71	145	62	125	48	33	88	51	82					
		51.99%	47.39%	45.92%	49.27%	42.46%	35.68%	63.88%	60.78%	81.17%	67.61%	71.74%	65.19%	94.44%	58.99%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	26	9	2	3	8	1	0	0	1	0	0	0	0	2					
		0.83%	1.57%	0.56%	0.63%	1.31%	0.50%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	1.44%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
