Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Ногликская															
															
Итоги голосования 															
															
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115					
1	"Число избирателей, внесенных в список"	10624	937	942	1104	3075	1436	1708	679	743					
2	Число полученных избирательных бюллетеней	10300	1100	900	1000	2700	1200	1500	700	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	582	62	0	0	199	0	0	82	239					
4	"Число избирательных бюллетеней, выданных в день голосования"	5071	592	483	424	1481	708	770	310	303					
5	"Число избирательных бюллетеней, выданных вне помещения"	466	18	42	161	41	47	87	45	25					
6	Число погашенных избирательных бюллетеней	4181	428	375	415	979	445	643	263	633					
7	Число избирательных бюллетеней в переносных ящиках	1048	80	42	161	240	47	87	127	264					
8	Число бюллетеней в стационарных ящиках для голосования	5068	592	483	424	1480	706	770	310	303					
9	Число недействительных избирательных бюллетеней	61	12	0	8	14	6	11	6	4					
10	Число действительных избирательных бюллетеней	6055	660	525	577	1706	747	846	431	563					
11	Число полученных открепительных  удостоверений	144	10	15	15	34	20	20	20	10					
12	Число выданных открепительных удостоверений	100	10	8	7	34	12	15	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	232	43	7	16	101	9	6	43	7					
14	Число неиспользованных открепительных удостоверений	44	0	7	8	0	8	5	16	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	2	0	1	8	2	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	301	26	27	29	101	50	37	17	14					
		4.92%	3.87%	5.14%	4.96%	5.87%	6.64%	4.32%	3.89%	2.47%					
19	. Малышкин Олег Александрович	140	19	14	12	39	17	13	7	19					
		2.29%	2.83%	2.67%	2.05%	2.27%	2.26%	1.52%	1.60%	3.35%					
20	. Миронов Сергей Михайлович	47	6	3	3	16	4	5	4	6					
		0.77%	0.89%	0.57%	0.51%	0.93%	0.53%	0.58%	0.92%	1.06%					
21	. Путин Владимир Владимирович	4535	524	391	453	1247	506	638	338	438					
		74.15%	77.98%	74.48%	77.44%	72.50%	67.20%	74.45%	77.35%	77.25%					
22	. Хакамада Ирина Муцуовна	238	27	31	19	72	37	32	4	16					
		3.89%	4.02%	5.90%	3.25%	4.19%	4.91%	3.73%	0.92%	2.82%					
23	. Харитонов Николай Михайлович	576	46	38	42	159	106	95	48	42					
		9.42%	6.85%	7.24%	7.18%	9.24%	14.08%	11.09%	10.98%	7.41%					
															
24	Против всех	218	12	21	19	72	27	26	13	28					
		3.56%	1.79%	4.00%	3.25%	4.19%	3.59%	3.03%	2.97%	4.94%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
