Выборы Президента Российской Федерации																																																	
																																																	
"Наименование Избирательной комиссии:    Оренбург, Центральная"																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124					
1	"Число избирателей, внесенных в список"	76684	1351	1745	2440	363	1720	2275	2435	1933	2066	1888	2007	2912	2606	1942	2139	2421	2675	1953	1260	1934	2239	2612	2056	2916	2210	2608	2448	1560	1966	2041	1869	2360	2802	2522	2359	1280	75	312	36	120	117	111					
2	Число полученных избирательных бюллетеней	70544	1200	1800	2400	330	1700	2000	2200	1700	1900	1600	1800	2700	2500	1800	1500	2150	2400	1800	2000	1800	2000	2500	1800	2700	2100	2400	2300	1500	1700	1800	1700	2100	2400	2300	2100	1100	83	296	36	120	120	109					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42002	726	885	1075	183	840	1153	1179	1103	1069	1141	1046	1641	1166	1109	1360	1222	1302	884	1162	901	1225	1286	1183	1685	1095	1265	1556	916	1098	1219	1056	1283	1714	1473	1321	832	75	233	25	120	87	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	2428	43	75	148	29	108	59	56	62	100	56	70	176	89	67	10	29	48	119	98	70	28	57	54	57	101	49	68	72	61	35	30	35	64	42	55	40	0	33	11	0	24	0					
6	Число погашенных избирательных бюллетеней	26114	431	840	1177	118	752	788	965	535	731	403	684	883	1245	624	130	899	1050	797	740	829	747	1157	563	958	904	1086	676	512	541	546	614	782	622	785	724	228	8	30	0	0	9	1					
7	Число избирательных бюллетеней в переносных ящиках	2428	43	75	148	29	108	59	56	62	100	56	70	176	89	67	10	29	48	119	98	70	28	57	54	57	101	49	68	72	61	35	30	35	64	42	55	40	0	33	11	0	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	41953	726	885	1075	183	840	1153	1179	1103	1069	1141	1044	1641	1166	1109	1360	1222	1302	884	1162	897	1225	1286	1183	1685	1095	1265	1556	916	1098	1219	1056	1283	1712	1473	1321	792	75	232	25	120	87	108					
9	Число недействительных избирательных бюллетеней	402	9	24	20	4	9	16	9	7	7	8	3	11	6	10	9	12	17	17	19	15	8	21	9	10	4	7	17	8	8	9	0	10	17	16	10	9	0	4	2	0	1	0					
10	Число действительных избирательных бюллетеней	43979	760	936	1203	208	939	1196	1226	1158	1162	1189	1111	1806	1249	1166	1361	1239	1333	986	1241	952	1245	1322	1228	1732	1192	1307	1607	980	1151	1245	1086	1308	1759	1499	1366	823	75	261	34	120	110	108					
11	Число полученных открепительных  удостоверений	1480	40	40	40	20	40	40	40	40	50	40	40	40	40	40	80	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	40	40	40	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	513	6	7	16	2	7	6	18	20	10	13	9	21	11	10	45	15	15	10	10	8	14	18	14	22	13	20	20	9	10	19	9	18	22	13	17	16	0	0	0	0	0	0					
