Выборы Президента Российской Федерации																																																																										
Дата голосования: 02.03.2008																																																																										
																																																																										
Наименование Избирательной комиссии:    Тогучинская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
	Число участковых избирательных комиссий	67																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	67																																																																								
																																																																										
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	429	2	9	14	93	8	6	8	5	6	4	9	1	1	21	13	10	13	8	0	6	2	3	1	5	3	4	1	2	4	4	4	2	1	11	2	3	1	3	2	5	6	4	5	2	6	1	3	0	2	6	9	6	6	1	1	3	6	5	3	3	22	5	3	3	1	12	5					
14	Число неиспользованных открепительных удостоверений	106	0	0	2	4	0	0	0	0	2	0	3	0	5	5	3	5	4	0	5	0	0	5	4	3	3	1	0	0	1	0	1	0	3	3	1	0	3	0	0	0	0	0	0	0	0	2	0	5	3	0	3	4	0	4	3	3	0	4	2	0	2	3	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	161	0	7	20	25	7	12	4	17	10	0	1	1	0	9	0	0	5	5	8	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	3	3	0	0	0	2	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	4	1	0	0	2	0	0	0	0	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	Богданов Андрей Владимирович	406	3	23	17	31	6	22	29	8	93	3	7	4	1	5	4	3	9	10	15	11	4	0	0	7	2	2	4	0	1	2	0	0	1	6	3	5	0	6	3	1	1	5	1	2	3	1	2	2	2	3	2	4	1	0	0	0	6	3	0	2	3	0	0	4	2	4	2					
		1.23%	1.65%	2.01%	1.20%	2.03%	0.82%	1.83%	2.32%	0.88%	5.45%	2.42%	1.30%	0.85%	0.97%	0.94%	2.82%	1.06%	0.46%	0.53%	0.92%	1.79%	1.31%	0.00%	0.00%	1.36%	0.96%	1.82%	0.81%	0.00%	0.57%	0.55%	0.00%	0.00%	0.97%	1.22%	1.05%	0.75%	0.00%	0.89%	0.79%	0.21%	0.18%	1.13%	0.61%	2.82%	0.69%	0.89%	1.29%	0.38%	0.60%	0.67%	0.87%	0.64%	0.24%	0.00%	0.00%	0.00%	1.13%	1.36%	0.00%	0.96%	0.59%	0.00%	0.00%	1.33%	0.66%	0.36%	4.08%					
19	Жириновский Владимир Вольфович	3706	32	114	140	121	73	167	163	102	220	14	71	47	5	64	22	26	157	145	150	122	37	12	28	40	34	10	59	44	14	40	23	25	14	52	38	91	26	60	60	47	59	57	23	12	43	9	24	73	38	42	24	31	39	54	20	19	68	36	0	34	58	5	11	57	47	104	10					
