Выборы Президента Российской Федерации																																																																																				
Дата голосования: 18.03.2018																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Белокалитвинская																																																																																				
																																																																																				
Сводная таблица итогов голосования																																																																																				
																																																																																				
	Число участковых избирательных комиссий	73																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																																		
																																																																																				
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340									
1	"Число избирателей, включенных в список избирателей"	75873	2046	1893	2112	879	2438	1210	2567	2474	2032	1248	1572	1478	1456	1435	2662	1248	1697	1771	2112	654	508	331	678	1377	1142	1036	372	43	228	98	97	1415	1110	1251	587	463	542	184	1972	1941	1677	593	343	1340	1350	1475	1938	899	532	864	401	208	499	1342	1448	380	733	1882	664	194	154	319	299	426	773	795	326	582	935	947	410	665	121									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81650	2200	2050	2450	850	2500	1250	2600	2650	1850	1450	1700	1550	1600	1550	2750	1400	1950	1950	2250	650	600	400	800	1450	1200	1250	450	50	250	150	100	1450	1200	1350	650	450	650	200	2250	2100	1900	700	350	1500	1500	1600	2100	1000	600	950	450	200	500	1550	1550	350	750	1950	700	150	150	350	350	450	900	800	300	550	1000	1000	400	700	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44456	1138	1054	1220	492	1339	626	1278	1536	1035	814	1042	931	911	845	1534	886	1135	1085	1368	317	275	209	298	670	926	479	168	38	140	64	72	640	719	971	324	240	343	95	1076	1259	920	381	216	709	754	761	988	410	321	544	236	121	345	835	1055	241	484	1048	407	105	97	219	198	255	487	429	231	352	535	470	299	331	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3969	33	56	46	103	93	27	78	66	220	43	52	54	55	30	60	44	53	58	24	33	35	27	47	39	31	55	21	3	23	21	7	59	59	54	29	20	62	40	117	103	130	44	31	99	77	95	162	95	59	104	35	10	44	116	112	30	34	50	63	10	14	20	24	17	64	100	7	44	55	54	33	42	15									
6	Число погашенных избирательных бюллетеней	33225	1029	940	1184	255	1068	597	1244	1048	595	593	606	565	634	675	1156	470	762	807	858	300	290	164	455	741	243	716	261	9	87	65	21	751	422	325	297	190	245	65	1057	738	850	275	103	692	669	744	950	495	220	302	179	69	111	599	383	79	232	852	230	35	39	111	128	178	349	271	62	154	410	476	68	327	55									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3969	33	56	46	103	93	27	78	66	220	43	52	54	55	30	60	44	53	58	24	33	35	27	47	39	31	55	21	3	23	21	7	59	59	54	29	20	62	40	117	103	130	44	31	99	77	95	162	95	59	104	35	10	44	116	112	30	34	50	63	10	14	20	24	17	64	100	7	44	55	54	33	42	15									
