Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Рыбинск, Волжская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736					
1	"Число избирателей, внесенных в список"	90589	898	2277	2198	2181	2305	2115	2840	2876	2830	2503	2488	2364	2168	2640	2737	2569	2523	2233	2084	2265	2238	2197	2543	2386	2437	2463	2584	2490	2455	2845	2775	2555	2194	2036	2552	1933	2159	2195	458					
2	Число полученных избирательных бюллетеней	89150	900	2150	2200	2200	2300	2100	2800	2600	2700	2500	2400	2300	2100	2600	2700	2500	2500	2200	2100	2200	2200	2200	2500	2400	2400	2400	2500	2400	2400	2800	2700	2500	2100	2000	2500	1900	2100	2100	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52315	505	1301	1379	1318	1446	1235	1744	1591	1447	1296	1345	1180	1172	1507	1586	1509	1492	1368	1240	1408	1334	1364	1434	1514	1453	1454	1593	1428	1479	1680	1580	1458	1364	1145	1493	1124	1068	1161	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	2009	33	84	22	34	22	26	32	54	207	49	52	53	55	40	39	25	45	39	28	36	47	40	36	40	66	76	24	69	37	35	15	25	29	34	29	55	20	52	305					
6	Число погашенных избирательных бюллетеней	34826	362	765	799	848	832	839	1024	955	1046	1155	1003	1067	873	1053	1075	966	963	793	832	756	819	796	1030	846	881	870	883	903	884	1085	1105	1017	707	821	978	721	1012	887	575					
7	Число избирательных бюллетеней в переносных ящиках	2009	33	84	22	34	22	26	32	54	207	49	52	53	55	40	39	25	45	39	28	36	47	40	36	40	66	76	24	69	37	35	15	25	29	34	29	55	20	52	305					
8	Число бюллетеней в стационарных ящиках для голосования	52218	505	1301	1377	1313	1446	1230	1744	1582	1447	1275	1345	1173	1168	1507	1573	1506	1492	1368	1239	1408	1334	1364	1434	1514	1453	1454	1593	1428	1476	1679	1578	1451	1363	1142	1493	1122	1060	1161	120					
9	Число недействительных избирательных бюллетеней	561	12	11	10	11	8	7	25	24	20	18	17	22	11	28	11	20	13	10	12	10	14	8	14	13	16	12	33	14	6	18	10	17	18	13	20	14	11	6	4					
10	Число действительных избирательных бюллетеней	53666	526	1374	1389	1336	1460	1249	1751	1612	1634	1306	1380	1204	1212	1519	1601	1511	1524	1397	1255	1434	1367	1396	1456	1541	1503	1518	1584	1483	1507	1696	1583	1459	1374	1163	1502	1163	1069	1207	421					
