Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Чебулинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577					
1	"Число избирателей, внесенных в список"	11896	541	96	537	483	447	545	349	1005	247	422	571	129	226	529	546	237	114	342	207	124	18	1215	1826	947	134	59					
2	Число полученных избирательных бюллетеней	11890	545	100	525	490	430	530	330	1000	250	430	580	130	230	515	550	250	115	345	200	125	25	1250	1750	1000	135	60					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9563	492	90	515	443	410	455	319	846	189	361	445	116	212	410	467	211	111	326	182	119	18	902	1208	534	124	58					
5	"Число избирательных бюллетеней, выданных вне помещения"	1084	49	5	10	33	15	64	11	75	36	30	87	9	5	74	34	22	0	11	9	3	0	46	326	124	6	0					
6	Число погашенных избирательных бюллетеней	1243	4	5	0	14	5	11	0	79	25	39	48	5	13	31	49	17	4	8	9	3	7	302	216	342	5	2					
7	Число избирательных бюллетеней в переносных ящиках	1084	49	5	10	33	15	64	11	75	36	30	87	9	5	74	34	22	0	11	9	3	0	46	326	124	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	9555	492	90	515	443	410	455	319	846	189	361	445	116	212	410	467	211	111	326	182	119	18	901	1201	534	124	58					
9	Число недействительных избирательных бюллетеней	82	0	0	7	4	3	3	2	13	6	1	5	0	4	6	7	3	0	4	4	0	0	4	4	2	0	0					
10	Число действительных избирательных бюллетеней	10557	541	95	518	472	422	516	328	908	219	390	527	125	213	478	494	230	111	333	187	122	18	943	1523	656	130	58					
