Выборы Президента Российской Федерации																																																																																																								
Дата голосования: 02.03.2008																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																								
																																																																																																								
Сводная таблица результатов выборов																																																																																																								
																																																																																																								
	Число участковых избирательных комиссий	97																																																																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	97																																																																																																						
																																																																																																								
		Сумма	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684					
1	"Число избирателей, включенных в списки избирателей"	156794	3096	1693	1694	2083	2420	2170	2233	2435	2548	2619	1039	1293	1461	806	269	1548	1742	2130	1180	608	2701	1605	1816	2140	2816	2332	2488	2339	1195	633	149	567	1302	1638	1324	1459	1013	1864	2140	1097	1155	1717	518	2123	2207	269	185	360	1358	1374	2557	1667	2818	2496	1551	2757	2355	2070	2729	2520	1268	2110	1548	1913	1923	2613	2130	2384	1658	2291	611	1513	532	573	2205	1997	1067	307	806	591	779	638	1168	2832	1629	415	2173	1747	1381	2679	1470	1088	1010	1699	838	1313	1424					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	142100	2700	1600	1500	1900	2200	2000	2000	2300	2300	2400	1000	1200	1300	750	250	1400	1600	2000	1100	900	2500	1200	1600	2000	2400	1900	2300	2100	1100	500	150	500	1200	1500	1200	1300	900	1700	1900	1000	1000	1500	450	1900	2000	250	150	300	1300	1200	2200	1500	2600	2400	1400	2400	2200	1500	2500	2300	1200	2000	1400	1700	1700	2200	1900	2100	1500	2100	550	1400	550	500	2000	1800	1000	350	1100	500	700	600	1600	2500	1500	350	2000	1600	1000	2400	1300	1000	1000	1500	700	1200	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	83255	1276	812	924	1168	1168	1035	993	1154	1167	1191	442	590	812	321	109	824	843	958	508	595	2009	1018	1398	1261	1559	1079	1354	1485	558	429	32	276	581	767	614	725	456	1107	1027	428	486	709	185	1059	1016	124	101	191	769	819	2004	1056	1553	1883	677	2006	1142	1337	1443	1314	674	939	675	884	825	1293	1311	1252	904	1244	239	702	381	302	1183	864	572	226	649	273	466	312	608	1437	787	185	1125	913	772	1326	755	542	506	1116	340	728	1018					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3755	31	24	13	28	19	41	31	17	48	56	20	20	28	28	14	5	12	40	33	13	16	9	14	18	33	229	23	4	0	4	108	19	18	8	24	10	13	21	22	67	29	18	31	102	95	49	23	26	19	41	50	15	7	8	16	1	13	60	10	12	12	22	20	25	33	148	22	94	22	18	32	90	28	55	21	138	17	66	157	112	47	70	113	92	95	39	24	11	31	39	8	42	61	13	90	36	6					
6	Число погашенных избирательных бюллетеней	55089	1393	764	563	704	1013	923	976	1129	1085	1153	538	590	460	401	127	571	745	1002	559	292	475	173	188	721	808	592	923	611	542	67	10	205	601	725	562	565	431	572	851	505	485	773	234	739	889	77	26	83	512	340	146	429	1040	509	707	393	1045	103	1047	974	514	1039	705	791	842	759	567	754	574	838	279	608	141	143	796	798	411	58	294	115	187	218	879	971	618	126	851	676	197	1035	537	416	433	371	270	436	176					
