Выборы Президента Российской Федерации																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																						
																																																																																																						
Итоги голосования 																																																																																																						
																																																																																																						
		Сумма	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618					
1	"Число избирателей, внесенных в список"	151350	2267	1844	1939	1540	2196	219	2372	1217	2192	1738	1965	1524	1794	1646	2938	2178	1410	719	958	2842	2594	2922	2276	2857	2104	2150	2172	2102	492	1409	1880	2280	1571	1824	1688	1096	567	2171	2091	2102	2668	2513	2625	2945	574	2654	2435	1333	2255	1867	1351	2124	625	2036	1846	767	653	1188	1065	261	1345	596	1384	1367	1611	1116	1095	255	2292	1374	481	519	2367	965	915	1180	1181	503	1442	193	3066	2808	1974	2295	1914	2158	2019	2716	168	273	164	351	998	95	539					
2	Число полученных избирательных бюллетеней	149589	2200	1820	1940	1500	2200	450	2400	1200	2100	1700	1950	1500	1750	1650	2900	2100	1350	700	900	2800	2550	2800	2900	2800	2400	2300	2100	1900	450	1400	1850	2200	1550	1800	1700	1050	550	2150	2000	2000	2600	2500	2600	2900	550	2600	2400	1300	2700	1650	1200	1950	650	1900	1550	700	640	1200	1150	280	1300	550	1380	1350	1550	1100	1100	270	2200	1380	440	540	2350	750	1550	1199	1150	470	1400	190	2850	2650	1900	2150	1850	2000	2050	2750	160	280	160	350	1000	100	540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	80448	1064	941	1045	819	1047	49	1274	548	1003	867	1035	711	840	762	1509	948	714	298	425	1311	1494	1594	1320	1447	1501	1608	1338	1222	233	699	968	1251	672	933	755	486	198	1054	974	1077	1434	1311	1432	1623	266	1434	1445	715	1022	936	615	1065	297	1025	828	381	313	916	593	239	625	234	648	705	671	554	592	120	1195	780	246	306	1311	426	899	586	610	205	653	113	2289	2130	1181	1608	979	1166	981	1418	87	138	90	174	559	11	234					
5	"Число избирательных бюллетеней, выданных вне помещения"	4286	58	65	9	7	22	134	78	46	30	23	17	39	33	37	18	32	40	26	46	346	12	48	33	23	29	23	33	5	7	13	24	60	44	17	25	53	28	14	63	46	71	11	60	10	25	17	11	14	40	27	39	44	73	11	134	92	68	98	37	0	88	110	35	47	97	143	0	15	31	6	29	2	29	31	16	41	83	76	39	32	188	86	15	18	7	10	2	40	28	55	19	30	51	62	137					
6	Число погашенных избирательных бюллетеней	64852	1078	814	886	674	1131	265	1048	605	1067	810	898	750	877	851	1373	1120	596	376	429	1143	1044	1158	1547	1330	870	669	729	673	210	688	858	889	834	850	920	511	324	1082	963	877	1095	1178	1108	1267	259	1149	944	571	1638	687	546	841	280	864	588	227	259	186	520	41	587	206	697	598	782	403	508	135	974	594	165	232	1010	293	635	572	457	189	708	45	373	434	704	524	864	824	1067	1292	45	87	51	146	390	27	169					
7	Число избирательных бюллетеней в переносных ящиках	4286	58	65	9	7	22	134	78	46	30	23	17	39	33	37	18	32	40	26	46	346	12	48	33	23	29	23	33	5	7	13	24	60	44	17	25	53	28	14	63	46	71	11	60	10	25	17	11	14	40	27	39	44	73	11	134	92	68	98	37	0	88	110	35	47	97	143	0	15	31	6	29	2	29	31	16	41	83	76	39	32	188	86	15	18	7	10	2	40	28	55	19	30	51	62	137					
8	Число бюллетеней в стационарных ящиках для голосования	80285	1064	941	1044	819	1047	49	1180	547	1003	867	1035	709	840	762	1509	948	714	298	425	1311	1493	1594	1320	1444	1501	1608	1338	1222	233	699	967	1251	672	933	753	486	198	1054	974	1075	1434	1309	1432	1623	264	1434	1445	715	1022	909	615	1065	297	1025	828	381	313	916	593	239	625	233	648	705	671	554	592	120	1178	780	246	306	1311	426	899	586	610	205	649	113	2289	2130	1178	1608	979	1166	981	1418	87	138	90	174	559	11	234					
9	Число недействительных избирательных бюллетеней	760	9	9	16	1	9	2	5	9	18	4	12	7	2	13	8	7	3	0	1	4	8	15	8	17	6	6	3	8	7	4	12	18	6	1	9	6	3	9	19	9	16	4	14	6	1	15	12	8	19	18	3	5	2	12	3	9	11	10	7	3	7	2	10	17	10	20	2	0	17	10	4	2	16	6	37	7	2	3	4	0	14	9	9	7	5	6	7	17	0	4	2	1	7	0	5					
10	Число действительных избирательных бюллетеней	83811	1113	997	1037	825	1060	181	1253	584	1015	886	1040	741	871	786	1519	973	751	324	470	1653	1497	1627	1345	1450	1524	1625	1368	1219	233	708	979	1293	710	949	769	533	223	1059	1018	1112	1489	1316	1478	1627	288	1436	1444	721	1043	918	651	1104	368	1024	959	464	370	1004	623	236	706	341	673	735	758	677	590	135	1192	776	271	306	1324	451	878	620	691	278	684	145	2463	2207	1184	1619	981	1170	976	1441	115	189	107	203	603	73	366					
