Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Лыткаринская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276					
1	"Число избирателей, внесенных в список"	41225	1597	2733	2278	2786	2749	2975	2589	2045	2457	2054	2340	2834	2545	2090	1937	2583	2633					
2	Число полученных избирательных бюллетеней	41358	1596	2764	2274	2795	2770	2977	2608	2057	2471	2077	2328	2850	2567	2100	1975	2594	2555					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21877	824	1391	1245	1484	1476	1562	1385	1177	1297	1021	1263	1637	1317	1091	1046	1307	1354					
5	"Число избирательных бюллетеней, выданных вне помещения"	435	9	8	10	17	14	6	13	12	39	23	18	19	27	32	24	46	118					
6	Число погашенных избирательных бюллетеней	19046	763	1365	1019	1294	1280	1409	1210	868	1135	1033	1047	1194	1223	977	905	1241	1083					
7	Число избирательных бюллетеней в переносных ящиках	435	9	8	10	17	14	6	13	12	39	23	18	19	27	32	24	46	118					
8	Число бюллетеней в стационарных ящиках для голосования	21732	824	1391	1245	1484	1470	1562	1385	1177	1292	1013	1262	1632	1317	1091	1045	1306	1236					
9	Число недействительных избирательных бюллетеней	214	16	21	5	9	16	22	12	11	1	10	16	10	14	4	15	23	9					
10	Число действительных избирательных бюллетеней	21953	817	1378	1250	1492	1468	1546	1386	1178	1330	1026	1264	1641	1330	1119	1054	1329	1345					
11	Число полученных открепительных  удостоверений	1700	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	314	8	23	21	19	27	12	24	23	17	14	17	21	21	18	13	19	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	239	6	13	13	4	8	9	7	12	10	1	26	9	5	6	11	10	89					
14	Число неиспользованных открепительных удостоверений	1386	92	77	79	81	73	88	76	77	83	86	83	79	79	82	87	81	83					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	1598	39	93	111	115	105	102	98	75	87	77	98	117	126	90	79	94	92					
		7.21%	4.68%	6.65%	8.84%	7.66%	7.08%	6.51%	7.01%	6.31%	6.54%	7.43%	7.66%	7.09%	9.38%	8.01%	7.39%	6.95%	6.79%					
19	. Малышкин Олег Александрович	383	16	23	20	27	24	28	25	16	20	18	19	25	28	29	21	27	17					
		1.73%	1.92%	1.64%	1.59%	1.80%	1.62%	1.79%	1.79%	1.35%	1.50%	1.74%	1.48%	1.51%	2.08%	2.58%	1.96%	2.00%	1.26%					
20	. Миронов Сергей Михайлович	124	9	4	8	5	10	14	9	6	9	3	9	7	7	4	4	6	10					
		0.56%	1.08%	0.29%	0.64%	0.33%	0.67%	0.89%	0.64%	0.50%	0.68%	0.29%	0.70%	0.42%	0.52%	0.36%	0.37%	0.44%	0.74%					
21	. Путин Владимир Владимирович	15088	613	955	822	1025	1016	1062	946	784	873	703	842	1127	889	769	726	946	990					
		68.07%	73.59%	68.26%	65.50%	68.29%	68.46%	67.73%	67.67%	65.94%	65.59%	67.86%	65.78%	68.26%	66.15%	68.48%	67.91%	69.97%	73.12%					
22	. Хакамада Ирина Муцуовна	1210	30	70	73	95	67	84	139	66	89	82	88	67	60	33	63	54	50					
		5.46%	3.60%	5.00%	5.82%	6.33%	4.51%	5.36%	9.94%	5.55%	6.69%	7.92%	6.88%	4.06%	4.46%	2.94%	5.89%	3.99%	3.69%					
23	. Харитонов Николай Михайлович	2330	77	161	123	135	178	131	137	164	149	83	125	200	138	129	107	139	154					
		10.51%	9.24%	11.51%	9.80%	8.99%	11.99%	8.35%	9.80%	13.79%	11.19%	8.01%	9.77%	12.11%	10.27%	11.49%	10.01%	10.28%	11.37%					
																								
24	Против всех	1220	33	72	93	90	68	125	32	67	103	60	83	98	82	65	54	63	32					
		5.50%	3.96%	5.15%	7.41%	6.00%	4.58%	7.97%	2.29%	5.63%	7.74%	5.79%	6.48%	5.94%	6.10%	5.79%	5.05%	4.66%	2.36%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
