Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Нефтегорская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348					
1	"Число избирателей, внесенных в список"	25176	1018	922	170	857	239	590	506	127	455	663	1755	1654	105	216	121	2664	2617	2812	2714	2566	2405					
2	Число полученных избирательных бюллетеней	25157	1017	898	168	835	224	577	507	127	421	652	1751	1658	105	217	108	2675	2635	2794	2740	2591	2457					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14520	636	558	129	578	170	388	371	91	339	470	1109	1057	100	165	74	1381	1320	1559	1402	1344	1279					
5	"Число избирательных бюллетеней, выданных вне помещения"	1161	119	104	20	103	24	74	39	10	35	71	117	103	3	11	2	56	70	50	30	59	61					
6	Число погашенных избирательных бюллетеней	9476	262	236	19	154	30	115	97	26	47	111	525	498	2	41	32	1238	1245	1185	1308	1188	1117					
7	Число избирательных бюллетеней в переносных ящиках	1161	119	104	20	103	24	74	39	10	35	71	117	103	3	11	2	56	70	50	30	59	61					
8	Число бюллетеней в стационарных ящиках для голосования	14517	636	558	129	578	170	387	371	91	339	470	1109	1056	100	165	74	1380	1320	1559	1402	1344	1279					
9	Число недействительных избирательных бюллетеней	227	16	17	3	7	0	10	5	0	10	5	25	26	2	2	0	23	10	16	10	21	19					
10	Число действительных избирательных бюллетеней	15451	739	645	146	674	194	451	405	101	364	536	1201	1133	101	174	76	1413	1380	1593	1422	1382	1321					
11	Число полученных открепительных  удостоверений	455	10	10	5	10	5	5	5	5	10	5	30	30	5	8	10	50	51	50	50	50	51					
12	Число выданных открепительных удостоверений	176	4	4	3	2	0	4	3	4	1	2	17	14	0	6	0	17	18	15	25	14	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	0	11	1	5	3	2	1	1	2	6	4	7	0	1	9	12	8	6	6	8	9					
14	Число неиспользованных открепительных удостоверений	279	6	6	2	8	5	1	2	1	9	3	13	16	5	2	10	33	33	35	25	36	28					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	652	25	15	2	23	13	11	15	3	16	16	39	37	2	2	0	66	61	113	63	67	63					
		4.16%	3.31%	2.27%	1.34%	3.38%	6.70%	2.39%	3.66%	2.97%	4.28%	2.96%	3.18%	3.19%	1.94%	1.14%	0.00%	4.60%	4.39%	7.02%	4.40%	4.78%	4.70%					
19	. Малышкин Олег Александрович	526	19	20	3	13	8	23	16	5	14	10	44	34	4	4	2	51	46	57	50	55	48					
		3.36%	2.52%	3.02%	2.01%	1.91%	4.12%	4.99%	3.90%	4.95%	3.74%	1.85%	3.59%	2.93%	3.88%	2.27%	2.63%	3.55%	3.31%	3.54%	3.49%	3.92%	3.58%					
20	. Миронов Сергей Михайлович	131	3	6	0	5	0	0	4	2	2	4	10	8	0	1	1	15	12	13	17	11	17					
		0.84%	0.40%	0.91%	0.00%	0.73%	0.00%	0.00%	0.98%	1.98%	0.53%	0.74%	0.82%	0.69%	0.00%	0.57%	1.32%	1.04%	0.86%	0.81%	1.19%	0.78%	1.27%					
21	. Путин Владимир Владимирович	9122	472	395	89	448	124	264	217	66	246	380	639	651	67	99	58	848	834	879	832	776	738					
		58.18%	62.52%	59.67%	59.73%	65.79%	63.92%	57.27%	52.93%	65.35%	65.78%	70.24%	52.12%	56.17%	65.05%	56.25%	76.32%	59.05%	60.00%	54.63%	58.10%	55.31%	55.07%					
22	. Хакамада Ирина Муцуовна	459	36	13	6	7	3	10	9	2	2	7	28	23	3	2	2	44	43	54	62	53	50					
		2.93%	4.77%	1.96%	4.03%	1.03%	1.55%	2.17%	2.20%	1.98%	0.53%	1.29%	2.28%	1.98%	2.91%	1.14%	2.63%	3.06%	3.09%	3.36%	4.33%	3.78%	3.73%					
23	. Харитонов Николай Михайлович	3936	175	179	41	164	44	126	124	20	75	102	410	332	23	63	12	330	330	391	316	353	326					
		25.11%	23.18%	27.04%	27.52%	24.08%	22.68%	27.33%	30.24%	19.80%	20.05%	18.85%	33.44%	28.65%	22.33%	35.80%	15.79%	22.98%	23.74%	24.30%	22.07%	25.16%	24.33%					
																												
24	Против всех	625	9	17	5	14	2	17	20	3	9	17	31	48	2	3	1	59	54	86	82	67	79					
		3.99%	1.19%	2.57%	3.36%	2.06%	1.03%	3.69%	4.88%	2.97%	2.41%	3.14%	2.53%	4.14%	1.94%	1.70%	1.32%	4.11%	3.88%	5.34%	5.73%	4.78%	5.90%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
