Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Прокопьевск, Зенковская"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №850	УИК №851	УИК №852	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949					
1	"Число избирателей, внесенных в список"	50877	1064	1171	1409	60	473	1020	2550	2873	2107	2577	40	2501	1968	784	1759	2872	2573	1572	1985	2253	1716	2565	583	1324	70	1701	1554	1465	1685	1109	870	488	460	1644	32					
2	Число полученных избирательных бюллетеней	49395	1000	1100	1400	70	450	1000	2500	2800	2000	2500	50	2500	2000	750	1800	2800	2500	1500	1970	2200	1600	2500	570	1290	80	1700	1500	1400	1600	1000	800	470	460	1500	35					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35090	727	946	964	60	231	642	1323	2204	1431	2120	40	1438	1274	513	1365	2028	2240	1173	1548	1624	1000	1686	349	906	50	1339	1282	791	858	596	517	346	327	1120	32					
5	"Число избирательных бюллетеней, выданных вне помещения"	3153	97	50	115	0	53	109	138	130	67	115	0	154	128	38	55	94	50	90	126	131	75	110	73	116	20	63	59	106	343	107	56	58	32	195	0					
6	Число погашенных избирательных бюллетеней	11152	176	104	321	10	166	249	1039	466	502	265	10	908	598	199	380	678	210	237	296	445	525	704	148	268	10	298	159	503	399	297	227	66	101	185	3					
7	Число избирательных бюллетеней в переносных ящиках	3153	97	50	115	0	53	109	138	130	67	115	0	154	128	38	55	94	50	90	126	131	75	110	73	116	20	63	59	106	343	107	56	58	32	195	0					
8	Число бюллетеней в стационарных ящиках для голосования	35090	727	946	964	60	231	642	1323	2204	1431	2120	40	1438	1274	513	1365	2028	2240	1173	1548	1624	1000	1686	349	906	50	1339	1282	791	858	596	517	346	327	1120	32					
9	Число недействительных избирательных бюллетеней	263	6	15	8	0	2	4	13	1	2	2	0	10	7	3	10	13	2	64	3	0	1	36	3	1	0	8	4	7	12	4	3	0	3	16	0					
10	Число действительных избирательных бюллетеней	37980	818	981	1071	60	282	747	1448	2333	1496	2233	40	1582	1395	548	1410	2109	2288	1199	1671	1755	1074	1760	419	1021	70	1394	1337	890	1189	699	570	404	356	1299	32					
11	Число полученных открепительных  удостоверений	694	14	15	12	0	5	10	45	25	40	50	0	40	35	10	30	35	35	20	37	30	15	30	10	10	0	10	20	20	20	15	6	15	5	30	0					
12	Число выданных открепительных удостоверений	546	13	10	11	0	4	10	32	24	39	38	0	38	30	5	27	28	27	18	27	30	13	25	7	9	0	6	11	12	9	5	4	5	5	24	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	507	14	15	9	47	6	6	14	13	55	39	2	17	10	5	15	5	15	14	11	13	10	20	6	9	5	6	6	3	37	9	15	10	7	14	25					
14	Число неиспользованных открепительных удостоверений	148	1	5	1	0	1	0	13	1	1	12	0	2	5	5	3	7	8	2	10	0	2	5	3	1	0	4	9	8	11	10	2	10	0	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	938	25	37	16	0	14	6	85	40	30	24	0	69	42	19	14	71	80	25	6	5	35	36	22	22	0	26	30	47	8	30	13	4	9	48	0					
		2.45%	3.03%	3.71%	1.48%	0.00%	4.93%	0.80%	5.82%	1.71%	2.00%	1.07%	0.00%	4.33%	3.00%	3.45%	0.99%	3.35%	3.49%	1.98%	0.36%	0.28%	3.26%	2.00%	5.21%	2.15%	0.00%	1.85%	2.24%	5.24%	0.67%	4.27%	2.27%	0.99%	2.51%	3.65%	0.00%					
19	. Малышкин Олег Александрович	1013	13	21	14	0	14	17	53	35	14	39	0	58	88	19	16	86	91	22	72	9	36	45	28	10	0	5	22	31	24	31	22	20	10	48	0					
		2.65%	1.58%	2.11%	1.30%	0.00%	4.93%	2.26%	3.63%	1.50%	0.93%	1.74%	0.00%	3.64%	6.28%	3.45%	1.13%	4.05%	3.97%	1.74%	4.30%	0.51%	3.35%	2.51%	6.64%	0.98%	0.00%	0.36%	1.64%	3.46%	2.00%	4.41%	3.84%	4.95%	2.79%	3.65%	0.00%					
20	. Миронов Сергей Михайлович	217	2	0	3	0	0	3	9	4	12	10	0	14	22	0	8	16	14	6	1	8	9	10	6	9	0	11	5	11	2	9	1	2	4	6	0					
