Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Малмыжская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755					
1	"Число избирателей, внесенных в список"	22533	883	521	272	490	291	270	540	941	848	147	145	535	136	459	188	250	638	1098	766	410	371	326	1062	257	1038	351	590	613	661	329	200	262	866	1071	828	882	843	1003	1039	113					
2	Число полученных избирательных бюллетеней	22500	900	500	250	500	300	250	550	1000	1000	150	150	500	150	500	200	250	600	1000	600	400	300	300	1000	250	1000	300	500	600	600	300	200	250	1000	1000	1000	1000	1000	1000	1000	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13581	636	385	210	246	213	76	373	525	452	90	98	321	102	226	145	174	430	681	435	364	240	243	603	178	499	184	386	343	467	210	132	195	459	562	437	504	550	562	539	106					
5	"Число избирательных бюллетеней, выданных вне помещения"	2280	34	23	10	133	33	170	75	24	42	28	22	87	27	74	35	29	47	88	112	4	48	25	139	20	207	105	54	79	28	20	18	10	16	94	55	52	71	99	43	0					
6	Число погашенных избирательных бюллетеней	6639	230	92	30	121	54	4	102	451	506	32	30	92	21	200	20	47	123	231	53	32	12	32	258	52	294	11	60	178	105	70	50	45	525	344	508	444	379	339	418	44					
7	Число избирательных бюллетеней в переносных ящиках	2280	34	23	10	133	33	170	75	24	42	28	22	87	27	74	35	29	47	88	112	4	48	25	139	20	207	105	54	79	28	20	18	10	16	94	55	52	71	99	43	0					
8	Число бюллетеней в стационарных ящиках для голосования	13581	636	385	210	246	213	76	373	525	452	90	98	321	102	226	145	174	430	681	435	364	240	243	603	178	499	184	386	343	467	210	132	195	459	562	437	504	550	562	539	106					
9	Число недействительных избирательных бюллетеней	93	2	5	2	1	3	1	2	5	2	1	1	2	0	1	0	0	7	7	0	0	1	0	1	2	4	2	1	2	1	1	0	2	8	2	4	7	5	3	4	1					
10	Число действительных избирательных бюллетеней	15768	668	403	218	378	243	245	446	544	492	117	119	406	129	299	180	203	470	762	547	368	287	268	741	196	702	287	439	420	494	229	150	203	467	654	488	549	616	658	578	105					
11	Число полученных открепительных  удостоверений	285	10	10	5	5	5	10	10	10	10	1	1	1	1	5	5	5	10	10	10	10	5	10	10	5	10	5	10	10	10	5	5	5	5	10	10	5	10	10	10	1					
12	Число выданных открепительных удостоверений	81	0	0	0	1	1	8	1	2	0	0	0	0	0	0	2	0	2	3	5	0	1	0	10	0	10	0	4	2	4	0	0	1	5	4	3	5	2	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	0	1	0	1	2	2	2	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	3	0	3	0	0	0	3	0	4	0	1	3	3	0	0	1	0	0					
