Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Зубово-Полянская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	6	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	64	2	0	3	0	4	0	1	2	4	0	1	1	0	0	4	1	3	0	0	0	0	1	1	0	0	3	0	2	0	1	1	1	2	3	0	3	0	1	0	1	1	0	2	5	3	1	2	0	0	2	2					
		0.19%	0.13%	0.00%	0.23%	0.00%	0.43%	0.00%	0.32%	0.44%	0.66%	0.00%	0.22%	0.40%	0.00%	0.00%	0.72%	0.23%	0.55%	0.00%	0.00%	0.00%	0.00%	0.28%	0.11%	0.00%	0.00%	0.38%	0.00%	0.28%	0.00%	0.19%	0.21%	1.09%	0.25%	0.21%	0.00%	0.32%	0.00%	0.21%	0.00%	0.12%	0.23%	0.00%	0.11%	0.32%	0.28%	0.10%	0.20%	0.00%	0.00%	0.39%	0.31%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	91	1	0	1	0	1	0	1	2	0	0	1	1	2	1	3	0	3	2	0	3	0	1	2	3	2	3	2	1	2	1	1	0	2	2	0	3	4	0	0	2	1	0	1	2	5	14	4	5	1	3	2					
		0.27%	0.06%	0.00%	0.08%	0.00%	0.11%	0.00%	0.32%	0.44%	0.00%	0.00%	0.22%	0.40%	0.80%	0.38%	0.54%	0.00%	0.55%	1.12%	0.00%	1.18%	0.00%	0.28%	0.22%	0.39%	0.45%	0.38%	0.45%	0.14%	0.61%	0.19%	0.21%	0.00%	0.25%	0.14%	0.00%	0.32%	0.91%	0.00%	0.00%	0.24%	0.23%	0.00%	0.06%	0.13%	0.46%	1.42%	0.39%	0.50%	0.28%	0.58%	0.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0					
		0.03%	0.06%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	196	10	6	3	4	8	0	2	5	4	5	2	0	1	1	2	2	2	0	2	0	0	1	2	5	2	5	4	6	2	2	2	2	4	8	1	4	0	3	3	4	3	6	20	5	12	1	14	11	0	3	2					
