Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    район Братеево																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649					
1	"Число избирателей, внесенных в список"	59401	2143	2164	2515	1968	2652	2521	2293	2432	2480	2234	2108	2329	1923	1365	2574	2356	2344	2803	1982	2519	2743	2543	2442	2231	2295	1442					
2	Число полученных избирательных бюллетеней	56800	2000	2000	2400	1900	2600	2500	2200	2300	2400	2200	2000	2200	1900	1300	2400	2200	2200	2600	2000	2400	2600	2400	2300	2200	2200	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40266	1476	1572	1962	1600	1564	1773	1329	1519	1455	1305	1450	1313	1193	795	1595	1382	1246	2192	1481	1916	2181	1805	1829	1565	1694	1074					
5	"Число избирательных бюллетеней, выданных вне помещения"	905	35	30	30	34	53	29	51	28	39	12	31	37	38	40	52	33	36	23	51	48	19	49	19	56	18	14					
6	Число погашенных избирательных бюллетеней	15629	489	398	408	266	983	698	820	753	906	883	519	850	669	465	753	785	918	385	468	436	400	546	452	579	488	312					
7	Число избирательных бюллетеней в переносных ящиках	905	35	30	30	34	53	29	51	28	39	12	31	37	38	40	52	33	36	23	51	48	19	49	19	56	18	14					
8	Число бюллетеней в стационарных ящиках для голосования	40122	1474	1568	1962	1600	1564	1693	1329	1518	1450	1305	1408	1313	1190	794	1595	1382	1246	2192	1475	1916	2181	1805	1829	1565	1694	1074					
9	Число недействительных избирательных бюллетеней	212	5	3	11	9	6	9	9	9	7	13	8	3	2	8	8	14	6	11	5	6	21	16	0	11	12	0					
10	Число действительных избирательных бюллетеней	40815	1504	1595	1981	1625	1611	1713	1371	1537	1482	1304	1431	1347	1226	826	1639	1401	1276	2204	1521	1958	2179	1838	1848	1610	1700	1088					
11	Число полученных открепительных  удостоверений	1600	60	60	60	60	60	60	60	60	60	60	60	60	60	50	60	60	60	100	60	60	60	80	60	60	60	50					
12	Число выданных открепительных удостоверений	1141	36	47	43	35	37	40	28	36	51	53	44	32	40	23	50	45	36	69	33	44	49	69	33	60	58	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	655	17	39	32	40	28	31	1	35	33	12	29	23	27	18	28	33	16	62	2	20	32	31	24	16	16	10					
14	Число неиспользованных открепительных удостоверений	459	24	13	17	25	23	20	32	24	9	7	16	28	20	27	10	15	24	31	27	16	11	11	27	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	41	2	0	2	0	3	0	3	1	7	2	2	2	0	0	0	1	2	4	5	1	0	1	1	1	0	1					
