Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Комсомольская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589					
1	"Число избирателей, внесенных в список"	21817	80	203	1395	767	278	111	254	396	313	2091	1737	978	904	311	1274	492	1254	566	839	1846	1761	262	1365	590	1206	544					
2	Число полученных избирательных бюллетеней	22017	82	201	1394	852	296	118	265	388	331	2097	1748	969	907	323	1305	522	1264	571	787	1820	1732	262	1476	590	1210	507					
3	"Число избирательных бюллетеней, выданных  досрочно"	288	0	0	154	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	28	0	38	41					
4	"Число избирательных бюллетеней, выданных в день голосования"	16840	72	143	1011	588	211	100	231	295	273	1344	1464	781	660	261	872	413	1135	422	728	1142	1680	207	1090	452	879	386					
5	"Число избирательных бюллетеней, выданных вне помещения"	1161	8	9	48	93	21	9	22	26	15	125	22	42	14	35	99	30	41	39	9	218	0	11	55	65	58	47					
6	Число погашенных избирательных бюллетеней	3728	2	49	181	161	64	9	12	67	43	628	262	146	233	27	334	79	88	110	50	443	52	44	303	73	235	33					
7	Число избирательных бюллетеней в переносных ящиках	1449	8	9	202	103	21	9	22	26	15	125	22	42	14	35	99	30	41	39	9	235	0	11	83	65	96	88					
8	Число бюллетеней в стационарных ящиках для голосования	16836	72	143	1011	588	211	100	231	295	273	1344	1464	781	660	261	872	413	1134	422	728	1142	1680	207	1090	452	878	384					
9	Число недействительных избирательных бюллетеней	216	0	1	18	5	1	0	0	2	9	19	13	17	8	2	15	6	10	6	3	11	7	0	28	9	13	13					
10	Число действительных избирательных бюллетеней	18069	80	151	1195	686	231	109	253	319	279	1450	1473	806	666	294	956	437	1165	455	734	1366	1673	218	1145	508	961	459					
11	Число полученных открепительных  удостоверений	1065	5	30	85	95	20	2	20	30	28	65	80	29	30	25	64	31	75	26	15	45	75	5	95	10	55	25					
12	Число выданных открепительных удостоверений	1012	4	27	85	94	20	2	20	27	27	53	72	29	30	25	59	31	72	26	14	40	75	5	95	8	47	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	475	5	9	65	7	7	11	7	5	6	24	19	13	23	6	38	11	13	10	51	48	14	4	18	7	11	43					
14	Число неиспользованных открепительных удостоверений	53	1	3	0	1	0	0	0	3	1	12	8	0	0	0	5	0	3	0	1	5	0	0	0	2	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	0	0	2	6	0	0	0	0	0	3	1	2	0	4	1	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	589	10	3	54	25	6	1	9	17	3	73	42	35	32	8	38	22	22	16	16	51	10	8	34	13	28	13					
		3.22%	12.50%	1.97%	4.45%	3.62%	2.59%	0.92%	3.56%	5.30%	1.04%	4.97%	2.83%	4.25%	4.75%	2.70%	3.91%	4.97%	1.87%	3.47%	2.17%	3.70%	0.60%	3.67%	2.90%	2.51%	2.87%	2.75%					
19	. Малышкин Олег Александрович	643	0	5	51	19	4	2	3	16	9	64	41	36	23	9	26	13	46	8	24	63	33	20	42	19	45	22					
		3.52%	0.00%	3.29%	4.20%	2.75%	1.72%	1.83%	1.19%	4.98%	3.12%	4.36%	2.76%	4.37%	3.41%	3.04%	2.68%	2.93%	3.91%	1.74%	3.26%	4.58%	1.96%	9.17%	3.58%	3.68%	4.62%	4.66%					
