Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Бижбулякская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991					
1	"Число избирателей, внесенных в список"	18237	889	161	116	647	173	345	1122	778	830	754	627	257	131	288	288	69	477	305	810	300	240	125	248	205	141	612	161	372	362	111	804	369	400	684	131	209	995	527	330	147	270	270	602	246	188	121					
2	Число полученных избирательных бюллетеней	18329	885	160	120	633	174	341	1167	766	828	793	631	256	130	287	288	71	459	316	803	300	240	127	252	209	141	625	162	371	358	117	805	364	399	697	128	214	985	525	335	164	264	264	613	254	187	121					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16178	826	151	93	586	155	330	1002	677	693	689	611	229	115	282	282	69	421	281	701	286	218	120	230	196	127	388	155	338	329	88	739	329	340	623	128	180	840	353	308	128	211	236	561	244	177	113					
5	"Число избирательных бюллетеней, выданных вне помещения"	1466	22	7	23	45	18	5	69	29	104	18	0	22	14	2	5	0	38	17	47	14	18	5	12	6	14	187	6	23	29	20	56	29	57	53	0	21	124	166	11	19	49	22	20	2	10	8					
6	Число погашенных избирательных бюллетеней	685	37	2	4	2	1	6	96	60	31	86	20	5	1	3	1	2	0	18	55	0	4	2	10	7	0	50	1	10	0	9	10	6	2	21	0	13	21	6	16	17	4	6	32	8	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1466	22	7	23	45	18	5	69	29	104	18	0	22	14	2	5	0	38	17	47	14	18	5	12	6	14	187	6	23	29	20	56	29	57	53	0	21	124	166	11	19	49	22	20	2	10	8					
8	Число бюллетеней в стационарных ящиках для голосования	16178	826	151	93	586	155	330	1002	677	693	689	611	229	115	282	282	69	421	281	701	286	218	120	230	196	127	388	155	338	329	88	739	329	340	623	128	180	840	353	308	128	211	236	561	244	177	113					
9	Число недействительных избирательных бюллетеней	88	1	0	0	0	1	3	1	7	1	0	2	2	1	0	0	2	3	0	4	0	1	0	0	0	0	4	8	3	2	0	4	0	0	0	3	0	1	26	2	1	2	1	0	2	0	0					
10	Число действительных избирательных бюллетеней	17556	847	158	116	631	172	332	1070	699	796	707	609	249	128	284	287	67	456	298	744	300	235	125	242	202	141	571	153	358	356	108	791	358	397	676	125	201	963	493	317	146	258	257	581	244	187	121					
11	Число полученных открепительных  удостоверений	444	16	3	3	15	1	0	50	25	22	34	20	6	3	8	5	3	15	26	19	5	3	3	10	5	3	14	3	5	5	3	10	5	5	15	3	3	17	8	5	3	5	3	20	3	3	3					
12	Число выданных открепительных удостоверений	375	12	1	2	15	0	0	50	15	17	34	20	6	3	8	3	0	15	26	19	5	3	2	9	2	0	12	3	5	1	2	7	2	3	15	0	3	17	8	4	3	3	2	11	3	2	2					
