Выборы Президента Российской Федерации																																																						
Дата голосования: 02.03.2008																																																						
																																																						
Наименование Избирательной комиссии:    Сургутская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
	Число участковых избирательных комиссий	47																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																				
																																																						
		Сумма	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
1	"Число избирателей, включенных в списки избирателей"	72303	433	1206	1021	1102	1199	1127	1126	1172	1152	2066	1845	1554	1820	2216	1899	1787	1680	2334	2505	2020	1388	2921	2663	2010	1274	2883	2083	2681	1986	1811	1950	402	108	398	603	2546	2312	2222	1516	1419	797	552	119	1430	1457	1330	178					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69400	500	1100	1000	1100	1100	1100	1100	1100	1100	1700	1600	1300	1500	1900	1600	1500	1500	2400	2400	1800	1300	3000	3000	3000	1500	2800	1900	2400	1900	1800	1800	400	120	600	700	2100	1900	2200	1400	1400	800	600	130	1300	1250	1500	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2635	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	383	507	439	594	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	65	71	10	0	169	244	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	52067	359	793	788	898	793	818	828	835	870	1547	1158	1015	1156	1424	1291	1363	1136	1768	1885	1488	904	2199	1860	1474	544	2269	1562	1870	1532	1455	1405	373	80	344	477	1844	1561	1484	1204	1117	576	427	100	1099	1022	916	156					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1064	14	45	30	23	36	22	22	23	19	10	6	8	14	27	29	7	20	39	21	32	6	23	28	26	74	16	14	24	15	8	19	21	26	0	7	19	17	29	16	20	48	34	1	44	38	42	2					
6	Число погашенных избирательных бюллетеней	13634	127	262	182	179	271	260	250	242	211	143	436	277	273	449	280	130	344	593	494	280	390	395	605	1061	288	515	324	506	353	337	376	6	14	256	216	237	322	591	180	263	111	68	19	157	21	298	42					
