Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Полтавская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989					
1	"Число избирателей, внесенных в список"	17288	1730	2177	1673	455	112	198	155	240	205	64	989	233	155	155	86	706	126	238	213	109	981	209	269	139	184	897	274	1006	161	229	129	696	188	224	133	83	825	274	143	81	144					
2	Число полученных избирательных бюллетеней	17342	1719	2162	1678	456	111	202	155	231	206	65	1008	234	155	152	86	701	129	238	213	111	994	208	267	145	181	917	280	1005	156	218	133	704	186	222	135	81	835	277	150	80	156					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13071	1054	1374	1144	314	105	187	154	207	187	62	723	191	142	111	81	551	99	204	197	106	722	171	215	135	167	719	235	739	124	185	121	518	172	179	118	71	660	270	139	74	144					
5	"Число избирательных бюллетеней, выданных вне помещения"	624	45	167	57	32	0	7	0	5	0	0	22	0	0	10	2	22	12	7	0	0	32	9	5	1	2	18	5	50	13	7	0	44	0	12	0	4	34	0	0	0	0					
6	Число погашенных избирательных бюллетеней	3647	620	621	477	110	6	8	1	19	19	3	263	43	13	31	3	128	18	27	16	5	240	28	47	9	12	180	40	216	19	26	12	142	14	31	17	6	141	7	11	6	12					
7	Число избирательных бюллетеней в переносных ящиках	624	45	167	57	32	0	7	0	5	0	0	22	0	0	10	2	22	12	7	0	0	32	9	5	1	2	18	5	50	13	7	0	44	0	12	0	4	34	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13071	1054	1374	1144	314	105	187	154	207	187	62	723	191	142	111	81	551	99	204	197	106	722	171	215	135	167	719	235	739	124	185	121	518	172	179	118	71	660	270	139	74	144					
9	Число недействительных избирательных бюллетеней	112	15	6	9	3	0	0	0	0	3	0	7	0	0	2	0	3	1	3	5	0	18	3	2	1	0	2	2	8	0	0	0	9	0	0	1	0	5	2	0	2	0					
10	Число действительных избирательных бюллетеней	13583	1084	1535	1192	343	105	194	154	212	184	62	738	191	142	119	83	570	110	208	192	106	736	177	218	135	169	735	238	781	137	192	121	553	172	191	117	75	689	268	139	72	144					
