Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Буйская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список"	26439	2029	2186	1858	2154	2008	1965	1413	1194	264	814	2148	1312	1083	734	2172	2056	504	545					
2	Число полученных избирательных бюллетеней	25700	2000	2130	1800	2110	1970	1880	1350	1170	260	780	2050	1300	1040	720	2110	2010	490	530					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13138	1012	1106	945	1215	1158	1096	687	540	116	316	986	596	448	315	999	830	378	395					
5	"Число избирательных бюллетеней, выданных вне помещения"	487	57	17	27	36	37	60	41	23	5	17	35	34	23	35	23	11	0	6					
6	Число погашенных избирательных бюллетеней	12075	931	1007	828	859	775	724	622	607	139	447	1029	670	569	370	1088	1169	112	129					
7	Число избирательных бюллетеней в переносных ящиках	487	57	17	27	36	37	60	41	23	5	17	35	34	23	35	23	11	0	6					
8	Число бюллетеней в стационарных ящиках для голосования	13130	1012	1106	945	1215	1158	1096	687	540	116	316	979	596	448	315	998	830	378	395					
9	Число недействительных избирательных бюллетеней	72	6	7	3	1	9	10	4	4	1	4	0	9	3	3	3	2	1	2					
10	Число действительных избирательных бюллетеней	13545	1063	1116	969	1250	1186	1146	724	559	120	329	1014	621	468	347	1018	839	377	399					
11	Число полученных открепительных  удостоверений	362	30	30	23	27	30	23	17	15	3	10	30	17	13	10	30	30	17	7					
12	Число выданных открепительных удостоверений	170	5	13	16	15	8	19	3	2	3	2	9	2	2	4	25	19	17	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	4	7	6	5	2	15	3	3	4	5	2	4	1	1	10	15	4	4					
14	Число неиспользованных открепительных удостоверений	192	25	17	7	12	22	4	14	13	0	8	21	15	11	6	5	11	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	451	39	46	34	51	54	29	23	3	2	2	35	24	7	4	62	20	7	9					
		3.31%	3.65%	4.10%	3.50%	4.08%	4.52%	2.51%	3.16%	0.53%	1.65%	0.60%	3.45%	3.81%	1.49%	1.14%	6.07%	2.38%	1.85%	2.24%					
19	. Малышкин Олег Александрович	388	30	44	30	29	29	22	19	8	4	12	32	21	18	11	29	15	22	13					
		2.85%	2.81%	3.92%	3.09%	2.32%	2.43%	1.90%	2.61%	1.42%	3.31%	3.60%	3.16%	3.33%	3.82%	3.14%	2.84%	1.78%	5.82%	3.24%					
20	. Миронов Сергей Михайлович	124	7	10	5	12	14	8	6	4	2	7	7	7	6	1	11	13	1	3					
		0.91%	0.65%	0.89%	0.51%	0.96%	1.17%	0.69%	0.82%	0.71%	1.65%	2.10%	0.69%	1.11%	1.27%	0.29%	1.08%	1.55%	0.26%	0.75%					
21	. Путин Владимир Владимирович	9441	694	727	636	857	813	822	540	414	91	246	722	422	331	282	646	590	292	316					
		69.33%	64.92%	64.74%	65.43%	68.51%	68.03%	71.11%	74.18%	73.53%	75.21%	73.87%	71.20%	66.98%	70.28%	80.57%	63.27%	70.15%	77.25%	78.80%					
22	. Хакамада Ирина Муцуовна	267	22	23	14	20	18	22	13	8	0	6	16	10	11	3	40	30	8	3					
		1.96%	2.06%	2.05%	1.44%	1.60%	1.51%	1.90%	1.79%	1.42%	0.00%	1.80%	1.58%	1.59%	2.34%	0.86%	3.92%	3.57%	2.12%	0.75%					
23	. Харитонов Николай Михайлович	2353	229	222	211	233	213	213	102	92	17	49	171	126	84	39	169	119	30	34					
		17.28%	21.42%	19.77%	21.71%	18.63%	17.82%	18.43%	14.01%	16.34%	14.05%	14.71%	16.86%	20.00%	17.83%	11.14%	16.55%	14.15%	7.94%	8.48%					
																									
24	Против всех	521	42	44	39	48	45	30	21	30	4	7	31	11	11	7	61	52	17	21					
		3.83%	3.93%	3.92%	4.01%	3.84%	3.77%	2.60%	2.88%	5.33%	3.31%	2.10%	3.06%	1.75%	2.34%	2.00%	5.97%	6.18%	4.50%	5.24%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
