Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Свечинская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027					
1	"Число избирателей, внесенных в список избирателей"	7122	1957	1146	1058	135	104	467	175	121	151	114	763	254	148	529					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7350	1990	1160	1050	150	140	490	180	140	150	130	770	260	170	570					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3328	991	429	449	86	42	220	102	87	96	62	344	135	74	211					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	603	48	70	86	17	28	74	18	14	26	9	63	28	10	112					
6	Число погашенных избирательных бюллетеней	3419	951	661	515	47	70	196	60	39	28	59	363	97	86	247					
7	Число избирательных бюллетеней в переносных ящиках для голосования	603	48	70	86	17	28	74	18	14	26	9	63	28	10	112					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3326	990	428	449	86	42	220	102	87	96	62	344	135	74	211					
9	Число недействительных избирательных бюллетеней	49	14	6	4	1	0	7	0	2	1	3	6	3	2	0					
10	Число действительных избирательных бюллетеней	3880	1024	492	531	102	70	287	120	99	121	68	401	160	82	323					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	460	40	40	40	20	50	40	20	30	20	20	40	30	30	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	286	20	12	15	20	35	33	14	30	5	20	10	7	25	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	15	11	11	1	0	7	5	7	5	2	9	4	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	174	20	28	25	0	15	7	6	0	15	0	30	23	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	3	0	0	0	1	0	0	0	1	2	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1006	289	112	157	18	24	77	19	38	31	17	118	35	19	52					
		25.60%	27.84%	22.49%	29.35%	17.48%	34.29%	26.19%	15.83%	37.62%	25.41%	23.94%	28.99%	21.47%	22.62%	16.10%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	634	185	85	75	25	6	34	18	9	20	8	64	24	18	63					
		16.14%	17.82%	17.07%	14.02%	24.27%	8.57%	11.56%	15.00%	8.91%	16.39%	11.27%	15.72%	14.72%	21.43%	19.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	12	6	8	0	0	0	2	2	1	1	7	4	0	8					
		1.30%	1.16%	1.20%	1.50%	0.00%	0.00%	0.00%	1.67%	1.98%	0.82%	1.41%	1.72%	2.45%	0.00%	2.48%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	713	225	87	80	21	8	56	26	11	22	10	73	29	17	48					
		18.15%	21.68%	17.47%	14.95%	20.39%	11.43%	19.05%	21.67%	10.89%	18.03%	14.08%	17.94%	17.79%	20.24%	14.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	17	9	10	1	1	4	0	1	0	0	3	2	1	1					
		1.27%	1.64%	1.81%	1.87%	0.97%	1.43%	1.36%	0.00%	0.99%	0.00%	0.00%	0.74%	1.23%	1.19%	0.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1412	292	190	197	37	31	116	54	38	47	32	134	66	27	151					
		35.94%	28.13%	38.15%	36.82%	35.92%	44.29%	39.46%	45.00%	37.62%	38.52%	45.07%	32.92%	40.49%	32.14%	46.75%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	4	3	4	0	0	0	1	0	0	0	2	0	0	0					
		0.36%	0.39%	0.60%	0.75%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
