Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Гафурийская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217					
1	"Число избирателей, внесенных в список"	24335	770	1631	1425	1474	635	437	1338	549	103	671	601	180	169	332	275	252	536	532	330	726	327	126	374	305	621	805	679	642	485	341	161	518	736	670	234	237	167	365	213	883	482	100	211	430	286	361	610					
2	Число полученных избирательных бюллетеней	24480	770	1550	1400	1500	620	460	1350	550	103	710	600	180	172	330	300	233	520	530	330	730	320	124	380	305	630	810	680	650	480	345	164	500	760	670	231	237	167	360	210	1039	485	100	210	430	285	360	610					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21605	650	1324	1236	1177	491	385	1263	536	102	600	497	138	153	321	240	224	475	515	294	675	304	121	362	264	565	691	669	637	338	273	137	458	686	647	195	230	162	337	201	852	416	78	194	386	265	296	545					
5	"Число избирательных бюллетеней, выданных вне помещения"	1762	99	118	54	138	32	31	73	12	1	71	89	42	16	9	33	9	45	13	34	34	15	3	8	38	33	77	6	5	62	66	24	40	50	23	36	6	5	20	6	15	65	22	16	44	20	56	48					
6	Число погашенных избирательных бюллетеней	1113	21	108	110	185	97	44	14	2	0	39	14	0	3	0	27	0	0	2	2	21	1	0	10	3	32	42	5	8	80	6	3	2	24	0	0	1	0	3	3	172	4	0	0	0	0	8	17					
7	Число избирательных бюллетеней в переносных ящиках	1762	99	118	54	138	32	31	73	12	1	71	89	42	16	9	33	9	45	13	34	34	15	3	8	38	33	77	6	5	62	66	24	40	50	23	36	6	5	20	6	15	65	22	16	44	20	56	48					
8	Число бюллетеней в стационарных ящиках для голосования	21605	650	1324	1236	1177	491	385	1263	536	102	600	497	138	153	321	240	224	475	515	294	675	304	121	362	264	565	691	669	637	338	273	137	458	686	647	195	230	162	337	201	852	416	78	194	386	265	296	545					
9	Число недействительных избирательных бюллетеней	66	0	11	5	5	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	3	0	4	1	0	6	3	0	0	0	0	3	0	0	0	9	0	0	0	0					
10	Число действительных избирательных бюллетеней	23301	749	1431	1285	1310	522	408	1336	548	103	671	586	180	169	330	273	233	520	528	328	704	319	124	370	301	598	767	675	639	400	335	160	498	730	667	231	236	167	357	204	867	481	100	201	430	285	352	593					
11	Число полученных открепительных  удостоверений	348	10	39	39	20	10	10	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	155	7	31	18	16	5	6	15	5	2	0	3	0	3	2	0	0	1	1	1	0	0	1	1	0	0	5	2	3	5	2	0	1	0	2	1	0	0	1	1	5	1	0	1	3	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	278	2	7	5	5	1	2	6	0	0	0	4	1	3	4	0	0	4	4	3	6	2	2	1	3	2	4	2	1	3	2	1	1	1	3	4	0	2	0	3	170	1	0	2	1	3	1	6					
14	Число неиспользованных открепительных удостоверений	193	3	8	21	4	5	4	5	0	3	5	2	5	2	3	5	5	4	4	4	5	5	4	4	5	5	0	3	2	0	3	5	4	5	3	4	5	5	4	4	0	4	5	4	2	5	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	100	1	13	21	21	7	0	5	3	0	1	0	1	0	0	2	0	3	1	0	0	2	0	4	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5	0	0	0	0					
		0.43%	0.13%	0.90%	1.63%	1.60%	1.34%	0.00%	0.37%	0.55%	0.00%	0.15%	0.00%	0.56%	0.00%	0.00%	0.73%	0.00%	0.58%	0.19%	0.00%	0.00%	0.63%	0.00%	1.08%	0.66%	0.33%	0.13%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.42%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	70	2	11	13	5	4	1	0	0	0	1	1	1	0	0	0	0	3	3	0	7	3	0	1	2	3	2	0	1	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0					
		0.30%	0.27%	0.76%	1.01%	0.38%	0.76%	0.24%	0.00%	0.00%	0.00%	0.15%	0.17%	0.56%	0.00%	0.00%	0.00%	0.00%	0.58%	0.57%	0.00%	0.99%	0.94%	0.00%	0.27%	0.66%	0.50%	0.26%	0.00%	0.16%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	49	3	3	10	0	0	5	0	0	0	1	3	0	0	2	0	0	2	1	0	1	2	0	2	2	0	1	2	0	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1					
		0.21%	0.40%	0.21%	0.78%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%	0.15%	0.51%	0.00%	0.00%	0.61%	0.00%	0.00%	0.38%	0.19%	0.00%	0.14%	0.63%	0.00%	0.54%	0.66%	0.00%	0.13%	0.30%	0.00%	0.00%	0.00%	0.00%	0.80%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%					
21	. Путин Владимир Владимирович	22564	735	1368	1171	1206	451	402	1321	541	99	659	578	174	167	324	256	228	504	517	322	695	305	123	353	262	590	752	669	630	389	335	158	488	710	662	230	235	164	353	199	851	471	95	187	421	282	345	587					
		96.56%	98.13%	94.87%	90.78%	91.71%	86.23%	96.63%	98.88%	98.72%	96.12%	98.21%	98.63%	96.67%	98.82%	98.18%	93.77%	97.85%	96.92%	97.92%	98.17%	98.03%	95.61%	99.19%	95.41%	86.75%	98.66%	97.92%	99.11%	98.13%	97.25%	98.82%	98.14%	97.99%	96.47%	98.81%	99.57%	99.58%	98.20%	98.88%	96.14%	98.15%	97.92%	95.00%	89.05%	97.91%	98.95%	98.01%	98.99%					
22	. Хакамада Ирина Муцуовна	114	0	22	14	15	6	0	0	0	4	3	2	0	1	3	3	0	0	0	0	0	2	1	2	6	0	2	1	3	3	0	0	2	6	2	0	0	1	0	1	2	2	0	3	0	0	0	2					
		0.49%	0.00%	1.53%	1.09%	1.14%	1.15%	0.00%	0.00%	0.00%	3.88%	0.45%	0.34%	0.00%	0.59%	0.91%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.81%	0.54%	1.99%	0.00%	0.26%	0.15%	0.47%	0.75%	0.00%	0.00%	0.40%	0.82%	0.30%	0.00%	0.00%	0.60%	0.00%	0.48%	0.23%	0.42%	0.00%	1.43%	0.00%	0.00%	0.00%	0.34%					
23	. Харитонов Николай Михайлович	356	8	9	51	51	48	0	8	4	0	6	2	4	1	0	12	5	6	3	5	0	5	0	7	26	3	9	2	2	8	0	2	2	12	3	1	1	2	3	3	7	4	5	5	9	3	6	3					
		1.52%	1.07%	0.62%	3.95%	3.88%	9.18%	0.00%	0.60%	0.73%	0.00%	0.89%	0.34%	2.22%	0.59%	0.00%	4.40%	2.15%	1.15%	0.57%	1.52%	0.00%	1.57%	0.00%	1.89%	8.61%	0.50%	1.17%	0.30%	0.31%	2.00%	0.00%	1.24%	0.40%	1.63%	0.45%	0.43%	0.42%	1.20%	0.84%	1.45%	0.81%	0.83%	5.00%	2.38%	2.09%	1.05%	1.70%	0.51%					
																																																						
24	Против всех	48	0	5	5	12	6	0	2	0	0	0	0	0	0	1	0	0	2	3	1	1	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0					
		0.21%	0.00%	0.35%	0.39%	0.91%	1.15%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.38%	0.57%	0.30%	0.14%	0.00%	0.00%	0.27%	0.33%	0.00%	0.00%	0.15%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.48%	0.00%	0.21%	0.00%	0.48%	0.00%	0.00%	0.28%	0.00%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
