7	Число избирательных бюллетеней в переносных ящиках для голосования	5629	185	82	24	84	64	48	60	87	93	90	174	55	35	53	47	33	79	225	71	95	69	44	46	51	46	67	99	32	69	78	51	84	117	45	99	76	32	74	24	78	60	29	58	65	68	86	37	104	157	58	50	113	85	23	88	47	42	116	31	60	118	54	105	68	26	78	52	41	65	43	67	39	63	50	97	141	101	59	20	0									
8	Число бюллетеней в стационарных ящиках для голосования	69883	1003	1304	687	1250	852	1112	549	690	531	626	863	528	411	1233	748	683	842	1177	1091	1197	715	763	616	1034	1100	1268	1094	950	1039	1022	924	842	1262	1266	1239	1204	589	1378	1474	1421	1058	670	1043	1125	988	880	691	914	998	1199	1409	1460	548	216	538	465	755	424	769	950	1055	1006	1097	902	988	961	778	759	839	496	562	586	918	661	511	646	140	455	126	720									
9	Число недействительных избирательных бюллетеней	1137	16	23	13	9	10	14	15	13	6	19	10	9	11	18	12	14	17	15	16	23	10	13	7	21	14	21	10	17	15	14	12	7	34	20	16	18	12	12	16	8	14	10	16	25	11	15	5	18	16	30	19	21	8	3	5	10	10	12	8	22	13	22	27	10	16	25	10	20	23	10	16	12	14	19	9	14	4	8	0	7									
10	Число действительных избирательных бюллетеней	74375	1172	1363	698	1325	906	1146	594	764	618	697	1027	574	435	1268	783	702	904	1387	1146	1269	774	794	655	1064	1132	1314	1183	965	1093	1086	963	919	1345	1291	1322	1262	609	1440	1482	1491	1104	689	1085	1165	1045	951	723	1000	1139	1227	1440	1552	625	236	621	502	787	528	792	988	1160	1038	1175	960	998	1014	820	780	881	529	613	613	967	692	599	773	237	506	146	713									
11	Число полученных открепительных  удостоверений	1537	25	20	16	30	16	23	14	16	15	8	20	12	15	30	12	15	15	27	20	23	12	15	19	18	22	31	16	18	27	15	30	23	15	32	30	30	15	30	26	23	23	15	20	20	20	20	20	15	23	25	33	45	10	5	15	10	15	15	16	22	22	23	27	20	30	18	14	20	14	8	10	11	25	15	12	15	20	20	7	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1484	25	20	16	30	16	23	12	16	12	8	20	8	15	30	12	14	15	26	20	22	12	15	18	17	22	31	15	18	27	15	29	23	15	32	29	30	10	29	26	23	23	15	20	18	20	20	17	15	23	25	33	42	9	3	14	10	15	10	16	22	22	22	24	20	30	18	14	19	9	8	10	11	25	15	9	15	20	20	7	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1478	20	10	11	19	5	18	18	6	11	10	14	5	5	23	15	12	18	16	22	15	13	13	13	15	24	15	12	5	10	9	11	12	11	11	10	15	9	17	7	13	20	13	6	10	11	10	18	14	8	18	18	16	12	9	12	8	12	12	15	29	11	19	11	11	18	16	12	16	14	14	13	7	7	9	10	5	11	9	7	469									
14	Число неиспользованных открепительных удостоверений	53	0	0	0	0	0	0	2	0	3	0	0	4	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	5	1	0	0	0	0	0	2	0	0	3	0	0	0	0	3	1	2	1	0	0	5	0	0	0	1	3	0	0	0	0	1	5	0	0	0	0	0	3	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	263	6	8	3	6	0	1	2	1	5	5	3	2	3	3	4	2	5	7	12	8	2	2	5	0	3	8	2	5	1	5	1	5	1	2	0	3	1	3	4	4	3	4	4	2	2	5	1	3	3	8	7	6	3	3	0	1	1	4	4	3	5	3	2	0	2	3	0	8	2	5	3	4	2	5	6	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																											
19	Жириновский Владимир Вольфович	4629	75	115	44	92	43	81	34	68	34	59	79	37	32	91	52	36	59	78	57	81	46	33	44	48	53	80	72	42	67	42	62	41	56	71	62	57	31	62	65	75	73	46	55	61	57	52	33	32	72	55	72	81	42	21	29	36	66	33	51	60	80	70	65	72	55	60	50	80	75	50	64	47	53	50	45	52	18	38	13	209									
		6.13%	6.31%	8.30%	6.19%	6.90%	4.69%	6.98%	5.58%	8.75%	5.45%	8.24%	7.62%	6.35%	7.17%	7.08%	6.54%	5.03%	6.41%	5.56%	4.91%	6.27%	5.87%	4.09%	6.65%	4.42%	4.62%	5.99%	6.04%	4.28%	6.05%	3.82%	6.36%	4.43%	4.06%	5.42%	4.63%	4.45%	4.99%	4.27%	4.34%	5.00%	6.53%	6.58%	4.99%	5.13%	5.40%	5.38%	4.53%	3.14%	6.23%	4.38%	4.93%	5.15%	6.64%	8.79%	4.63%	7.03%	8.28%	6.11%	6.38%	5.94%	6.82%	6.60%	5.41%	7.42%	5.42%	5.77%	6.02%	10.00%	8.30%	9.28%	10.17%	7.52%	5.40%	7.03%	7.40%	6.61%	7.47%	7.39%	8.90%	29.03%									
20	Зюганов Геннадий Андреевич	14162	198	258	155	241	202	238	93	132	118	133	179	96	61	228	155	121	170	236	219	242	140	171	138	220	178	288	227	147	221	188	188	188	236	244	253	253	104	341	312	282	241	96	192	208	184	172	145	189	233	196	316	295	127	27	98	91	141	81	141	213	229	232	286	210	255	194	178	113	179	106	105	129	223	127	111	141	36	78	36	14									
		18.75%	16.67%	18.61%	21.80%	18.07%	22.05%	20.52%	15.27%	16.99%	18.91%	18.58%	17.26%	16.47%	13.68%	17.73%	19.50%	16.90%	18.46%	16.83%	18.85%	18.73%	17.86%	21.19%	20.85%	20.28%	15.53%	21.57%	19.03%	14.97%	19.95%	17.09%	19.28%	20.30%	17.11%	18.61%	18.91%	19.77%	16.75%	23.48%	20.83%	18.81%	21.56%	13.73%	17.44%	17.48%	17.42%	17.81%	19.92%	18.57%	20.17%	15.59%	21.66%	18.75%	20.06%	11.30%	15.65%	17.77%	17.69%	15.00%	17.63%	21.09%	19.52%	21.89%	23.79%	21.65%	25.15%	18.67%	21.45%	14.13%	19.80%	19.67%	16.69%	20.64%	22.73%	17.86%	18.26%	17.92%	14.94%	15.18%	24.66%	1.94%									
21	Миронов Сергей Михайлович	3705	55	71	36	62	55	68	23	44	32	41	35	22	13	72	37	34	44	57	66	67	26	34	30	42	57	71	51	44	49	69	50	61	75	50	78	66	41	61	93	70	37	30	57	70	60	57	53	51	57	60	85	79	25	13	16	27	45	21	52	53	46	68	67	43	45	45	37	26	34	26	32	30	47	31	28	39	9	28	11	13									
		4.91%	4.63%	5.12%	5.06%	4.65%	6.00%	5.86%	3.78%	5.66%	5.13%	5.73%	3.38%	3.77%	2.91%	5.60%	4.65%	4.75%	4.78%	4.07%	5.68%	5.19%	3.32%	4.21%	4.53%	3.87%	4.97%	5.32%	4.27%	4.48%	4.42%	6.27%	5.13%	6.59%	5.44%	3.81%	5.83%	5.16%	6.60%	4.20%	6.21%	4.67%	3.31%	4.29%	5.18%	5.88%	5.68%	5.90%	7.28%	5.01%	4.94%	4.77%	5.83%	5.02%	3.95%	5.44%	2.56%	5.27%	5.65%	3.89%	6.50%	5.25%	3.92%	6.42%	5.57%	4.43%	4.44%	4.33%	4.46%	3.25%	3.76%	4.82%	5.09%	4.80%	4.79%	4.36%	4.61%	4.96%	3.73%	5.45%	7.53%	1.81%									
22	Прохоров Михаил Дмитриевич	6185	93	99	51	95	73	86	45	61	29	64	68	45	24	110	68	55	70	126	110	99	59	75	44	68	108	114	88	104	99	111	89	97	128	146	124	127	42	137	188	151	100	59	90	78	95	70	55	104	132	132	144	140	46	24	41	30	64	39	68	88	81	85	89	62	70	84	67	55	45	23	43	30	61	43	36	37	10	20	15	60									
		8.19%	7.83%	7.14%	7.17%	7.12%	7.97%	7.41%	7.39%	7.85%	4.65%	8.94%	6.56%	7.72%	5.38%	8.55%	8.55%	7.68%	7.60%	8.99%	9.47%	7.66%	7.53%	9.29%	6.65%	6.27%	9.42%	8.54%	7.38%	10.59%	8.94%	10.09%	9.13%	10.48%	9.28%	11.14%	9.27%	9.92%	6.76%	9.44%	12.55%	10.07%	8.94%	8.44%	8.17%	6.55%	8.99%	7.25%	7.55%	10.22%	11.43%	10.50%	9.87%	8.90%	7.27%	10.04%	6.55%	5.86%	8.03%	7.22%	8.50%	8.71%	6.91%	8.02%	7.40%	6.39%	6.90%	8.08%	8.07%	6.88%	4.98%	4.27%	6.84%	4.80%	6.22%	6.05%	5.92%	4.70%	4.15%	3.89%	10.27%	8.33%									
23	Путин Владимир Владимирович	45694	751	820	412	835	533	673	399	459	405	400	666	374	305	767	471	456	561	890	694	780	503	481	399	686	736	761	745	628	657	676	574	532	850	780	805	759	391	839	824	913	653	458	691	748	649	600	437	624	645	784	823	957	385	151	437	318	471	354	480	574	724	583	668	573	573	631	488	506	548	324	369	377	583	441	379	504	164	342	71	417									
		60.51%	63.22%	59.16%	57.95%	62.59%	58.19%	58.02%	65.52%	59.07%	64.90%	55.87%	64.22%	64.15%	68.39%	59.64%	59.25%	63.69%	60.91%	63.48%	59.72%	60.37%	64.16%	59.60%	60.27%	63.23%	64.22%	57.00%	62.45%	63.95%	59.30%	61.45%	58.87%	57.45%	61.64%	59.50%	60.16%	59.30%	62.96%	57.78%	55.01%	60.91%	58.41%	65.52%	62.76%	62.86%	61.46%	62.11%	60.03%	61.30%	55.84%	62.37%	56.41%	60.84%	60.82%	63.18%	69.81%	62.11%	59.10%	65.56%	60.00%	56.83%	61.72%	55.00%	55.57%	59.07%	56.51%	60.73%	58.80%	63.25%	60.62%	60.11%	58.66%	60.32%	59.43%	62.03%	62.34%	64.04%	68.05%	66.54%	48.63%	57.92%									
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
