Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Красногвардейская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, внесенных в список"	21982	1440	2008	899	2054	2226	1847	986	998	2106	526	699	551	262	349	710	875	335	1123	550	340	1098					
2	Число полученных избирательных бюллетеней	21957	1449	2033	855	2030	2260	1830	980	985	2125	530	688	530	259	352	707	922	348	1123	547	327	1077					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18468	1362	1812	532	1823	1634	1642	947	818	1688	407	512	470	206	250	503	682	295	1035	510	294	1046					
5	"Число избирательных бюллетеней, выданных вне помещения"	1335	7	53	216	58	135	106	28	74	75	24	48	36	30	53	103	128	17	73	30	30	11					
6	Число погашенных избирательных бюллетеней	2154	80	168	107	149	491	82	5	93	362	99	128	24	23	49	101	112	36	15	7	3	20					
7	Число избирательных бюллетеней в переносных ящиках	1335	7	53	216	58	135	106	28	74	75	24	48	36	30	53	103	128	17	73	30	30	11					
8	Число бюллетеней в стационарных ящиках для голосования	18465	1362	1809	532	1823	1634	1642	947	818	1688	407	512	470	206	250	503	682	295	1035	510	294	1046					
9	Число недействительных избирательных бюллетеней	202	0	5	3	0	0	1	3	9	11	7	3	4	1	0	52	94	0	3	0	6	0					
10	Число действительных избирательных бюллетеней	19598	1369	1857	745	1881	1769	1747	972	883	1752	424	557	502	235	303	554	716	312	1105	540	318	1057					
11	Число полученных открепительных  удостоверений	95	5	10	3	8	13	5	3	3	5	3	3	3	3	3	3	3	3	5	3	3	5					
12	Число выданных открепительных удостоверений	34	1	4	0	8	11	2	1	2	1	0	0	0	2	0	0	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	2	1	5	4	2	0	0	5	0	2	0	0	1	1	0	0	2	0	2	0					
14	Число неиспользованных открепительных удостоверений	61	4	6	3	0	2	3	2	1	4	3	3	3	1	3	3	3	3	5	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	211	3	29	21	6	13	12	3	4	23	3	13	17	2	5	11	9	1	3	7	4	22					
		1.07%	0.22%	1.56%	2.81%	0.32%	0.73%	0.69%	0.31%	0.45%	1.30%	0.70%	2.32%	3.36%	0.85%	1.65%	1.82%	1.11%	0.32%	0.27%	1.30%	1.23%	2.08%					
19	. Малышкин Олег Александрович	108	4	17	7	8	3	5	0	3	23	4	6	3	3	5	0	6	1	4	0	6	0					
		0.55%	0.29%	0.91%	0.94%	0.43%	0.17%	0.29%	0.00%	0.34%	1.30%	0.93%	1.07%	0.59%	1.27%	1.65%	0.00%	0.74%	0.32%	0.36%	0.00%	1.85%	0.00%					
20	. Миронов Сергей Михайлович	49	0	7	8	5	6	3	0	2	4	1	0	2	0	3	0	2	0	1	0	4	1					
		0.25%	0.00%	0.38%	1.07%	0.27%	0.34%	0.17%	0.00%	0.22%	0.23%	0.23%	0.00%	0.40%	0.00%	0.99%	0.00%	0.25%	0.00%	0.09%	0.00%	1.23%	0.09%					
21	. Путин Владимир Владимирович	17173	1302	1503	578	1581	1511	1602	925	848	1359	392	418	455	218	273	470	665	282	1071	502	262	956					
		86.73%	95.11%	80.72%	77.27%	84.05%	85.42%	91.65%	94.87%	95.07%	77.08%	90.95%	74.64%	89.92%	92.37%	90.10%	77.56%	82.10%	90.38%	96.66%	92.96%	80.86%	90.44%					
22	. Хакамада Ирина Муцуовна	104	7	13	11	8	5	11	4	1	15	1	6	2	1	3	0	2	0	3	0	0	11					
		0.53%	0.51%	0.70%	1.47%	0.43%	0.28%	0.63%	0.41%	0.11%	0.85%	0.23%	1.07%	0.40%	0.42%	0.99%	0.00%	0.25%	0.00%	0.27%	0.00%	0.00%	1.04%					
23	. Харитонов Николай Михайлович	1806	51	261	100	265	227	104	33	24	310	15	101	13	8	12	67	31	26	21	31	40	66					
		9.12%	3.73%	14.02%	13.37%	14.09%	12.83%	5.95%	3.38%	2.69%	17.58%	3.48%	18.04%	2.57%	3.39%	3.96%	11.06%	3.83%	8.33%	1.90%	5.74%	12.35%	6.24%					
																												
24	Против всех	147	2	27	20	8	4	10	7	1	18	8	13	10	3	2	6	1	2	2	0	2	1					
		0.74%	0.15%	1.45%	2.67%	0.43%	0.23%	0.57%	0.72%	0.11%	1.02%	1.86%	2.32%	1.98%	1.27%	0.66%	0.99%	0.12%	0.64%	0.18%	0.00%	0.62%	0.09%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
