Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Смоленск, Ленинская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702					
1	"Число избирателей, внесенных в список"	89013	1475	851	1694	2126	1984	2463	2594	2384	2725	2426	2760	2853	2800	2834	2857	1151	2735	2616	2574	2847	2012	2670	2621	2742	2139	2424	2724	2992	2875	2866	2877	2581	668	1880	3271	1981	2941					
2	Число полученных избирательных бюллетеней	88500	1400	800	1700	2100	2000	2400	2500	2400	2800	2400	2800	2800	2800	2800	3000	1100	2700	2600	2500	2800	2000	2700	2600	2700	2100	2500	2700	3000	3000	2800	3000	2600	650	1850	3000	1900	3000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47335	816	462	968	994	1004	1101	1469	1503	1511	1337	1551	1539	1507	1529	1210	597	1600	1318	1251	1429	906	1292	1500	1511	1208	1480	1296	1703	1465	1539	1710	1244	332	1062	1785	1081	1525					
5	"Число избирательных бюллетеней, выданных вне помещения"	2267	30	16	18	53	57	614	47	26	47	40	35	46	32	30	5	108	33	58	59	113	71	16	50	41	30	33	33	20	18	26	46	57	52	28	210	26	43					
6	Число погашенных избирательных бюллетеней	38898	554	322	714	1053	939	685	984	871	1242	1023	1214	1215	1261	1241	1785	395	1067	1224	1190	1258	1023	1392	1050	1148	862	987	1371	1277	1517	1235	1244	1299	266	760	1005	793	1432					
7	Число избирательных бюллетеней в переносных ящиках	2244	30	16	18	53	57	591	47	26	47	40	35	46	32	30	5	108	33	58	59	113	71	16	50	41	30	33	33	20	18	26	46	57	52	28	210	26	43					
8	Число бюллетеней в стационарных ящиках для голосования	47296	816	462	968	994	1002	1099	1468	1500	1511	1335	1549	1539	1507	1528	1208	597	1600	1318	1250	1427	897	1292	1500	1511	1208	1480	1293	1698	1465	1539	1710	1241	332	1062	1785	1081	1524					
9	Число недействительных избирательных бюллетеней	284	4	3	5	4	5	8	7	7	8	10	12	9	6	15	3	16	8	1	6	7	3	19	9	7	2	6	8	7	13	13	9	13	4	9	6	6	6					
10	Число действительных избирательных бюллетеней	49256	842	475	981	1043	1054	1682	1508	1519	1550	1365	1572	1576	1533	1543	1210	689	1625	1375	1303	1533	965	1289	1541	1545	1236	1507	1318	1711	1470	1552	1747	1285	380	1081	1989	1101	1561					
11	Число полученных открепительных  удостоверений	1143	35	15	55	15	34	35	25	25	30	30	30	115	35	35	55	15	35	15	25	15	15	35	20	50	25	30	15	35	15	15	15	35	15	15	24	15	95					
12	Число выданных открепительных удостоверений	664	19	6	50	9	22	13	19	17	15	25	23	27	20	19	47	4	25	11	18	9	4	17	16	30	16	15	12	19	9	9	10	16	2	14	19	7	51					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	579	41	8	16	14	20	25	11	16	9	14	8	9	10	8	16	8	10	10	13	7	7	4	6	16	9	8	7	4	2	8	11	5	1	10	180	13	15					
14	Число неиспользованных открепительных удостоверений	479	16	9	5	6	12	22	6	8	15	5	7	88	15	16	8	11	10	4	7	6	11	18	4	20	9	15	3	16	6	6	5	19	13	1	5	8	44					
15	"Число открепительных удостоверений, выданных в ТИК"	46	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	41	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	2834	46	33	71	63	63	76	127	90	107	89	94	105	95	79	42	17	94	75	66	68	37	84	106	94	104	81	53	94	58	75	108	75	12	56	126	87	84					
		5.72%	5.44%	6.90%	7.20%	6.02%	5.95%	4.50%	8.38%	5.90%	6.87%	6.47%	5.93%	6.62%	6.17%	5.07%	3.46%	2.41%	5.76%	5.45%	5.04%	4.42%	3.82%	6.42%	6.84%	6.06%	8.40%	5.35%	4.00%	5.47%	3.91%	4.79%	6.15%	5.78%	3.12%	5.14%	6.32%	7.86%	5.36%					
19	. Малышкин Олег Александрович	904	7	9	17	29	17	67	17	12	13	21	38	25	26	34	27	5	27	17	24	22	22	24	19	26	24	32	34	40	37	37	29	30	4	26	36	16	14					
		1.82%	0.83%	1.88%	1.72%	2.77%	1.61%	3.96%	1.12%	0.79%	0.83%	1.53%	2.40%	1.58%	1.69%	2.18%	2.23%	0.71%	1.65%	1.24%	1.83%	1.43%	2.27%	1.83%	1.23%	1.68%	1.94%	2.12%	2.56%	2.33%	2.49%	2.36%	1.65%	2.31%	1.04%	2.39%	1.80%	1.45%	0.89%					
20	. Миронов Сергей Михайлович	348	8	3	5	4	8	21	14	12	8	10	13	16	10	7	11	13	16	6	9	6	3	5	14	13	7	9	11	5	9	9	8	9	0	7	20	7	12					
