Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Цивильская 																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в список"	27336	2669	2650	2938	589	266	126	365	685	375	233	256	275	1136	150	718	279	238	476	737	437	576	1540	279	313	513	303	359	173	197	442	441	607	223	654	449	351	173	169	642	295	385	191	403	1840	220					
2	Число полученных избирательных бюллетеней	26150	2400	2400	2600	600	250	120	370	690	370	230	250	270	1100	145	700	270	230	470	740	430	580	1500	290	300	500	290	360	175	200	440	440	600	210	630	460	350	160	165	600	280	380	195	390	1800	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15688	1263	1160	1662	335	133	82	197	436	244	141	136	179	645	108	478	182	200	353	356	280	341	959	172	149	223	202	217	93	136	274	300	309	145	439	328	201	125	139	414	192	212	91	217	1103	137					
5	"Число избирательных бюллетеней, выданных вне помещения"	3005	144	448	89	94	74	7	97	45	50	34	27	24	73	8	36	28	22	54	134	52	146	74	24	47	76	20	35	30	19	86	69	189	16	33	40	59	30	9	63	54	78	60	84	100	24					
6	Число погашенных избирательных бюллетеней	7457	993	792	849	171	43	31	76	209	76	55	87	67	382	29	186	60	8	63	250	98	93	467	94	104	201	68	108	52	45	80	71	102	49	158	92	90	5	17	123	34	90	44	89	597	59					
7	Число избирательных бюллетеней в переносных ящиках	3005	144	448	89	94	74	7	97	45	50	34	27	24	73	8	36	28	22	54	134	52	146	74	24	47	76	20	35	30	19	86	69	189	16	33	40	59	30	9	63	54	78	60	84	100	24					
8	Число бюллетеней в стационарных ящиках для голосования	15688	1263	1160	1662	335	133	82	197	436	244	141	136	179	645	108	478	182	200	353	356	280	341	959	172	149	223	202	217	93	136	274	300	309	145	439	328	201	125	139	414	192	212	91	217	1103	137					
9	Число недействительных избирательных бюллетеней	307	20	42	25	4	4	1	6	9	3	0	2	6	13	2	10	3	5	1	12	5	2	13	5	1	2	7	4	2	5	3	2	8	8	12	3	6	0	6	12	1	1	1	3	27	0					
10	Число действительных избирательных бюллетеней	18386	1387	1566	1726	425	203	88	288	472	291	175	161	197	705	114	504	207	217	406	478	327	485	1020	191	195	297	215	248	121	150	357	367	490	153	460	365	254	155	142	465	245	289	150	298	1176	161					
11	Число полученных открепительных  удостоверений	571	40	30	40	21	6	4	7	15	7	6	6	11	20	4	15	6	6	10	15	10	10	30	16	6	10	6	7	4	9	10	15	15	5	22	20	7	5	5	22	6	12	4	6	35	5					
12	Число выданных открепительных удостоверений	426	36	21	39	21	3	1	6	14	2	0	2	7	14	0	4	1	2	10	15	10	8	30	14	0	2	2	2	0	8	8	13	9	4	14	20	2	0	3	18	6	10	2	4	34	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	640	92	307	35	7	6	7	6	4	5	4	5	5	8	3	3	6	4	5	6	4	2	14	4	6	2	5	1	2	2	2	6	4	6	18	6	5	2	1	6	2	6	1	1	13	1					
14	Число неиспользованных открепительных удостоверений	145	4	9	1	0	3	3	1	1	5	6	4	4	6	4	11	5	4	0	0	0	2	0	2	6	8	4	5	4	1	2	2	6	1	8	0	5	5	2	4	0	2	2	2	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	34	6	7	3	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	3	1	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	407	54	44	47	6	2	2	2	14	11	3	3	3	8	3	12	4	1	5	7	12	6	20	1	3	9	3	1	1	2	1	5	17	2	17	7	2	4	2	13	2	5	8	7	25	1					
