Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Cуджанская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055									
1	Число избирателей, внесенных в список	24317	1339	1363	1727	1241	358	310	242	476	618	912	259	131	713	397	197	861	342	783	227	395	2557	114	2291	300	446	155	133	327	163	378	622	989	222	312	2083	334									
2	Число полученных избирательных бюллетеней	21908	1210	1227	1568	1133	327	283	216	434	558	815	228	118	644	358	176	795	328	702	203	349	2265	101	2072	268	399	141	127	299	146	342	555	900	199	275	1848	299									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	15091	858	788	925	709	294	237	166	355	332	633	160	91	548	280	129	588	244	510	154	199	1342	57	1524	172	322	112	109	184	103	253	402	577	128	208	1177	221									
5	Число избирательных бюллетеней, выданных вне помещения	2247	51	50	132	51	28	36	40	41	89	69	62	9	39	42	43	110	70	58	42	81	177	23	80	60	44	15	12	81	28	55	83	192	62	55	113	24									
6	Число погашенных избирательных бюллетеней	4570	301	389	511	373	5	10	10	38	137	113	6	18	57	36	4	97	14	134	7	69	746	21	468	36	33	14	6	34	15	34	70	131	9	12	558	54									
7	Число избирательных бюллетеней в переносных ящиках	2247	51	50	132	51	28	36	40	41	89	69	62	9	39	42	43	110	70	58	42	81	177	23	80	60	44	15	12	81	28	55	83	192	62	55	113	24									
8	Число бюллетеней в стационарных ящиках для голосования	15091	858	788	925	709	294	237	166	355	332	633	160	91	548	280	129	588	244	510	154	199	1342	57	1524	172	322	112	109	184	103	253	402	577	128	208	1177	221									
9	Число недействительных избирательных бюллетеней	241	10	6	10	8	8	1	2	12	7	0	1	1	10	5	3	15	6	15	5	2	11	1	14	6	5	5	1	8	0	6	15	6	9	5	15	7									
10	Число действительных избирательных бюллетеней	17097	899	832	1047	752	314	272	204	384	414	702	221	99	577	317	169	683	308	553	191	278	1508	79	1590	226	361	122	120	257	131	302	470	763	181	258	1275	238									
11	Число полученных открепительных  удостоверений	213	8	10	8	8	8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	8	5	5	5	5	5	5	5	10	7	5	5	8	5									
12	Число выданных открепительных удостоверений	73	7	10	8	3	0	0	0	1	1	0	1	0	3	0	0	3	0	0	1	3	7	0	3	0	0	0	0	1	0	1	7	2	0	3	8	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	48	7	4	1	0	1	1	1	0	1	2	0	1	1	1	1	1	0	0	0	0	2	2	2	4	1	1	0	1	2	0	4	1	1	1	3	0									
14	Число неиспользованных открепительных удостоверений	140	1	0	0	5	8	5	5	4	4	5	4	5	2	5	5	2	5	5	4	2	1	5	5	5	5	5	5	4	5	4	3	5	5	2	0	5									
15	Число открепительных удостоверений, выданных в ТИК	13	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	1									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																															
18	. Глазьев Сергей Юрьевич	458	70	48	27	18	7	7	13	8	8	12	5	6	15	9	3	5	6	18	2	6	44	0	29	2	8	0	1	6	1	8	5	13	2	4	41	1									
		2.64%	7.70%	5.73%	2.55%	2.37%	2.17%	2.56%	6.31%	2.02%	1.90%	1.71%	2.25%	6.00%	2.56%	2.80%	1.74%	0.72%	1.91%	3.17%	1.02%	2.14%	2.90%	0.00%	1.81%	0.86%	2.19%	0.00%	0.83%	2.26%	0.76%	2.60%	1.03%	1.69%	1.05%	1.52%	3.18%	0.41%									
19	. Малышкин Олег Александрович	437	15	20	36	18	3	3	8	4	12	9	4	0	17	13	3	25	9	15	0	6	41	0	45	8	8	5	1	5	2	22	8	24	9	2	32	5									
		2.52%	1.65%	2.39%	3.41%	2.37%	0.93%	1.10%	3.88%	1.01%	2.85%	1.28%	1.80%	0.00%	2.90%	4.04%	1.74%	3.58%	2.87%	2.64%	0.00%	2.14%	2.70%	0.00%	2.81%	3.45%	2.19%	3.94%	0.83%	1.89%	1.53%	7.14%	1.65%	3.12%	4.74%	0.76%	2.48%	2.04%									
20	. Миронов Сергей Михайлович	119	3	1	10	8	3	3	3	0	3	4	1	0	3	3	1	5	1	2	0	1	9	2	11	2	1	0	0	2	6	5	6	4	1	3	9	3									
		0.69%	0.33%	0.12%	0.95%	1.05%	0.93%	1.10%	1.46%	0.00%	0.71%	0.57%	0.45%	0.00%	0.51%	0.93%	0.58%	0.72%	0.32%	0.35%	0.00%	0.36%	0.59%	2.50%	0.69%	0.86%	0.27%	0.00%	0.00%	0.75%	4.58%	1.62%	1.24%	0.52%	0.53%	1.14%	0.70%	1.22%									
21	. Путин Владимир Владимирович	11627	559	503	684	474	203	172	123	326	298	569	177	74	385	239	114	474	226	366	150	188	985	69	1150	176	254	103	100	199	81	120	328	470	133	186	795	174									
		67.06%	61.50%	60.02%	64.71%	62.37%	63.04%	63.00%	59.71%	82.32%	70.78%	81.05%	79.73%	74.00%	65.59%	74.22%	66.28%	67.91%	71.97%	64.44%	76.53%	67.14%	64.85%	86.25%	71.70%	75.86%	69.40%	81.10%	82.64%	75.09%	61.83%	38.96%	67.63%	61.12%	70.00%	70.72%	61.63%	71.02%									
22	. Хакамада Ирина Муцуовна	280	26	23	16	16	9	5	3	6	2	8	1	3	1	2	4	13	4	5	0	4	26	0	32	1	10	0	1	2	2	6	6	8	1	9	25	0									
