10	Число действительных избирательных бюллетеней	137221	1193	1094	843	1024	903	899	1349	1430	1247	1305	1151	1302	1162	149	1422	1514	985	933	918	1477	1010	1314	1170	1306	1335	1071	1287	1050	1259	1723	812	453	1709	1302	653	123	417	728	1015	900	1209	587	425	640	595	137	626	514	762	1094	872	605	569	617	898	573	917	1321	1258	1272	1471	1246	1421	1516	1507	1808	1333	1356	1088	1255	990	1718	1523	1383	1410	1608	1586	1561	1748	1659	1764	1675	1833	1277	1200	1419	1100	1442	1310	1134	1516	1560	1305	1676	1735	1334	1210	1905	2028	297	548	671	991	906	450	684	635	188	745	165	438	362	485	714	274	932	308	1238	776	467	286	274	888	514	339	515	538	607	135	788	520	951	894	605	1055									
11	Число полученных открепительных  удостоверений	2855	25	18	18	20	15	15	28	24	25	25	25	25	25	5	35	30	20	20	15	25	24	15	20	25	25	30	20	25	25	40	15	0	30	15	10	0	10	10	10	10	15	10	10	10	10	0	10	10	10	25	15	10	15	15	15	10	10	15	27	30	27	15	40	33	30	30	26	30	25	30	20	20	35	25	31	35	25	25	20	30	40	50	31	20	20	30	32	23	20	25	25	31	25	30	25	15	20	30	40	0	20	20	15	26	20	50	30	25	25	10	40	15	20	10	45	20	10	25	35	25	15	10	15	17	3	18	15	20	10	25	10	18	15	10	15									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	2499	15	17	17	15	8	13	26	21	20	20	21	19	19	1	30	25	18	18	15	25	23	14	20	24	25	30	20	14	25	36	11	0	25	13	4	0	10	5	10	10	10	7	7	5	10	0	10	4	7	23	14	7	12	3	13	2	9	13	24	27	27	15	38	30	28	30	22	26	23	26	13	18	28	25	31	32	24	25	18	26	38	38	31	20	20	23	28	21	19	24	25	30	24	30	23	12	13	29	40	0	20	20	15	21	13	46	28	25	25	2	31	15	20	10	44	20	7	25	33	25	8	2	12	14	0	18	15	20	10	25	3	15	11	4	15									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1802	17	12	10	7	11	9	20	17	10	6	18	11	10	14	15	45	9	19	17	23	8	6	10	19	12	7	12	17	22	20	17	32	21	10	18	36	10	9	4	13	20	7	15	10	7	8	9	13	12	28	9	15	17	2	15	23	7	43	54	16	12	5	23	19	5	11	12	13	15	20	16	20	18	16	15	16	8	10	34	6	25	25	17	17	5	14	15	19	14	9	16	7	7	22	12	9	9	13	29	5	5	5	12	12	8	11	11	9	11	11	7	11	3	10	6	16	5	21	5	4	8	6	11	6	7	5	3	4	8	11	6	7	6	4	11									
14	Число неиспользованных открепительных удостоверений	356	10	1	1	5	7	2	2	3	5	5	4	6	6	4	5	5	2	2	0	0	1	1	0	1	0	0	0	11	0	4	4	0	5	2	6	0	0	5	0	0	5	3	3	5	0	0	0	6	3	2	1	3	3	12	2	8	1	2	3	3	0	0	2	3	2	0	4	4	2	4	7	2	7	0	0	3	1	0	2	4	2	12	0	0	0	7	4	2	1	1	0	1	1	0	2	3	7	1	0	0	0	0	0	5	7	4	2	0	0	8	9	0	0	0	1	0	3	0	2	0	7	8	3	3	3	0	0	0	0	0	7	3	4	6	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	110	0	1	0	2	0	0	1	1	0	4	1	0	1	0	2	2	0	0	0	2	1	0	1	2	0	0	2	1	1	1	0	0	1	2	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	0	1	1	3	0	0	0	0	0	0	0	2	0	1	1	4	1	0	0	2	1	0	1	0	2	3	2	4	3	0	0	2	1	1	0	1	0	2	1	1	0	4	3	2	4	0	0	0	0	0	0	0	5	1	0	1	0	1	0	1	0	2	0	1	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																		
19	Жириновский Владимир Вольфович	9747	76	92	76	76	55	63	113	105	80	113	113	118	78	10	96	97	74	56	71	91	81	107	105	94	77	84	94	73	92	141	63	31	108	101	64	27	34	44	47	67	83	31	35	48	33	7	36	40	74	67	60	48	41	46	55	37	83	97	95	121	109	146	115	136	145	124	87	103	87	94	99	99	102	120	122	99	89	110	123	120	109	101	85	80	80	84	63	99	90	78	90	101	74	106	109	99	70	122	101	29	57	43	62	49	21	67	43	18	58	14	29	31	32	43	13	51	31	84	55	25	16	15	57	43	23	28	24	31	5	48	40	80	61	59	68									
		7.01%	6.30%	8.25%	8.79%	7.36%	5.98%	6.93%	8.28%	7.22%	6.34%	8.48%	9.72%	8.97%	6.59%	6.71%	6.64%	6.32%	7.39%	5.96%	7.67%	6.06%	7.95%	8.01%	8.83%	7.10%	5.69%	7.66%	7.17%	6.83%	7.17%	8.06%	7.67%	6.65%	6.21%	7.66%	9.67%	16.77%	8.08%	5.97%	4.59%	7.38%	6.75%	5.21%	8.10%	7.47%	5.47%	5.11%	5.69%	7.63%	9.65%	6.02%	6.83%	7.87%	7.18%	7.36%	6.05%	6.35%	8.85%	7.26%	7.47%	9.39%	7.28%	11.59%	7.96%	8.83%	9.48%	6.72%	6.45%	7.48%	7.89%	7.44%	9.86%	5.71%	6.61%	8.58%	8.50%	6.08%	5.52%	6.97%	6.94%	7.13%	6.11%	5.97%	4.59%	6.23%	6.62%	5.81%	5.64%	6.76%	6.76%	6.76%	5.86%	6.34%	5.58%	6.28%	6.19%	7.30%	5.69%	6.32%	4.95%	9.54%	10.31%	6.38%	6.18%	5.36%	4.64%	9.71%	6.74%	9.57%	7.71%	8.33%	6.59%	8.56%	6.56%	5.94%	4.66%	5.41%	10.00%	6.74%	6.98%	5.25%	5.54%	5.43%	6.35%	8.29%	6.74%	5.41%	4.41%	5.04%	3.68%	5.99%	7.59%	8.33%	6.75%	9.62%	6.38%									
20	Зюганов Геннадий Андреевич	39889	393	332	234	287	279	280	417	441	392	350	358	419	329	43	460	464	310	268	286	432	251	354	368	336	402	309	356	307	367	568	233	97	545	320	174	8	122	194	274	274	385	157	114	191	153	39	162	135	219	322	245	177	150	182	270	174	273	396	383	385	414	396	393	435	450	487	317	330	335	388	295	424	519	436	433	488	374	403	572	490	463	392	423	391	367	365	338	423	388	340	440	486	410	497	597	458	332	593	476	83	135	259	273	276	101	150	170	64	232	46	123	109	116	157	59	277	80	337	214	108	46	69	304	146	95	168	238	248	61	158	153	284	322	222	303									
		28.68%	32.56%	29.78%	27.05%	27.78%	30.36%	30.80%	30.57%	30.33%	31.06%	26.26%	30.78%	31.86%	27.81%	28.86%	31.83%	30.23%	30.97%	28.51%	30.89%	28.76%	24.63%	26.52%	30.95%	25.38%	29.71%	28.19%	27.15%	28.72%	28.58%	32.48%	28.38%	20.82%	31.36%	24.26%	26.28%	4.97%	28.98%	26.32%	26.78%	30.18%	31.33%	26.39%	26.39%	29.70%	25.37%	28.47%	25.59%	25.76%	28.55%	28.93%	27.90%	29.02%	26.27%	29.12%	29.70%	29.85%	29.10%	29.64%	30.13%	29.87%	27.66%	31.43%	27.22%	28.25%	29.43%	26.41%	23.50%	23.97%	30.37%	30.70%	29.38%	24.45%	33.64%	31.17%	30.15%	29.98%	23.22%	25.52%	32.26%	29.11%	25.97%	23.15%	22.85%	30.45%	30.36%	25.22%	30.26%	28.89%	29.15%	29.46%	28.63%	30.51%	30.92%	29.44%	33.88%	33.75%	26.99%	30.73%	23.32%	27.30%	24.41%	38.43%	27.19%	30.20%	22.30%	21.74%	26.65%	34.04%	30.85%	27.38%	27.95%	30.11%	23.77%	21.69%	21.15%	29.41%	25.81%	27.02%	27.16%	22.69%	15.92%	25.00%	33.89%	28.13%	27.86%	32.43%	43.75%	40.33%	44.85%	19.70%	29.03%	29.58%	35.62%	36.22%	28.45%									
21	Миронов Сергей Михайлович	5841	58	58	59	41	50	31	56	59	59	76	62	63	54	8	79	88	56	34	41	72	40	58	46	64	77	37	53	54	67	65	34	18	75	59	38	1	16	27	47	40	34	27	15	25	26	5	23	14	20	55	28	17	13	16	47	18	40	57	63	58	63	38	68	59	64	83	63	63	54	45	44	55	77	55	66	77	65	53	81	70	78	68	67	55	55	65	51	67	60	49	90	73	78	87	90	57	64	82	89	10	12	22	28	41	9	23	21	9	23	8	13	14	14	19	11	32	6	53	21	12	5	12	34	27	12	6	9	7	4	35	18	23	26	7	26									
		4.20%	4.81%	5.20%	6.82%	3.97%	5.44%	3.41%	4.11%	4.06%	4.68%	5.70%	5.33%	4.79%	4.56%	5.37%	5.47%	5.73%	5.59%	3.62%	4.43%	4.79%	3.93%	4.34%	3.87%	4.83%	5.69%	3.38%	4.04%	5.05%	5.22%	3.72%	4.14%	3.86%	4.32%	4.47%	5.74%	0.62%	3.80%	3.66%	4.59%	4.41%	2.77%	4.54%	3.47%	3.89%	4.31%	3.65%	3.63%	2.67%	2.61%	4.94%	3.19%	2.79%	2.28%	2.56%	5.17%	3.09%	4.26%	4.27%	4.96%	4.50%	4.21%	3.02%	4.71%	3.83%	4.19%	4.50%	4.67%	4.58%	4.90%	3.56%	4.38%	3.17%	4.99%	3.93%	4.60%	4.73%	4.03%	3.36%	4.57%	4.16%	4.37%	4.02%	3.62%	4.28%	4.55%	4.49%	4.57%	4.58%	4.51%	4.25%	5.86%	4.58%	5.88%	5.15%	5.11%	4.20%	5.20%	4.25%	4.36%	3.29%	2.17%	3.26%	2.79%	4.49%	1.99%	3.33%	3.29%	4.79%	3.06%	4.76%	2.95%	3.87%	2.87%	2.62%	3.94%	3.40%	1.94%	4.25%	2.66%	2.52%	1.73%	4.35%	3.79%	5.20%	3.52%	1.16%	1.65%	1.14%	2.94%	4.36%	3.42%	2.40%	2.88%	1.14%	2.44%									
22	Прохоров Михаил Дмитриевич	9758	65	58	73	57	59	60	77	96	90	72	75	83	66	6	62	93	56	41	75	106	58	86	77	75	72	59	74	71	84	116	57	27	140	108	44	5	35	44	95	52	102	47	26	44	39	6	35	36	58	74	72	37	35	47	53	56	53	96	70	72	95	91	129	128	125	174	122	134	52	108	60	102	121	114	132	156	140	173	131	148	149	205	287	104	89	112	79	91	120	91	108	133	87	156	145	72	136	221	283	16	27	21	46	29	8	15	14	6	19	9	16	12	16	24	15	53	13	84	59	17	8	12	40	26	7	4	5	6	2	33	18	58	56	15	39									
		7.02%	5.39%	5.20%	8.44%	5.52%	6.42%	6.60%	5.65%	6.60%	7.13%	5.40%	6.45%	6.31%	5.58%	4.03%	4.29%	6.06%	5.59%	4.36%	8.10%	7.06%	5.69%	6.44%	6.48%	5.66%	5.32%	5.38%	5.64%	6.64%	6.54%	6.63%	6.94%	5.79%	8.06%	8.19%	6.65%	3.11%	8.31%	5.97%	9.29%	5.73%	8.30%	7.90%	6.02%	6.84%	6.47%	4.38%	5.53%	6.87%	7.56%	6.65%	8.20%	6.07%	6.13%	7.52%	5.83%	9.61%	5.65%	7.19%	5.51%	5.59%	6.35%	7.22%	8.93%	8.31%	8.18%	9.44%	9.04%	9.73%	4.71%	8.54%	5.98%	5.88%	7.84%	8.15%	9.19%	9.58%	8.69%	10.96%	7.39%	8.79%	8.36%	12.11%	15.51%	8.10%	7.36%	7.74%	7.07%	6.22%	9.02%	7.89%	7.03%	8.35%	6.56%	9.24%	8.23%	5.31%	11.06%	11.45%	13.87%	5.26%	4.88%	3.12%	4.58%	3.17%	1.77%	2.17%	2.19%	3.19%	2.53%	5.36%	3.64%	3.31%	3.28%	3.31%	5.38%	5.63%	4.19%	6.74%	7.49%	3.57%	2.77%	4.35%	4.46%	5.01%	2.05%	0.77%	0.92%	0.98%	1.47%	4.11%	3.42%	6.04%	6.19%	2.45%	3.66%									
23	Путин Владимир Владимирович	71986	601	554	401	563	460	465	686	729	626	694	543	619	635	82	725	772	489	534	445	776	580	709	574	737	707	582	710	545	649	833	425	280	841	714	333	82	210	419	552	467	605	325	235	332	344	80	370	289	391	576	467	326	330	326	473	288	468	675	647	636	790	575	716	758	723	940	744	726	560	620	492	1038	704	658	657	788	918	822	841	831	965	909	971	647	609	793	569	762	652	576	788	767	656	830	794	648	608	887	1079	159	317	326	582	511	311	429	387	91	413	88	257	196	307	471	176	519	178	680	427	305	211	166	453	272	202	309	262	315	63	514	291	506	429	302	619									
		51.76%	49.79%	49.69%	46.36%	54.50%	50.05%	51.16%	50.29%	50.14%	49.60%	52.06%	46.69%	47.07%	53.68%	55.03%	50.17%	50.29%	48.85%	56.81%	48.06%	51.66%	56.92%	53.11%	48.28%	55.66%	52.25%	53.10%	54.16%	50.98%	50.55%	47.63%	51.77%	60.09%	48.39%	54.13%	50.30%	50.93%	49.88%	56.85%	53.96%	51.43%	49.23%	54.62%	54.40%	51.63%	57.05%	58.39%	58.45%	55.15%	50.98%	51.75%	53.19%	53.44%	57.79%	52.16%	52.04%	49.40%	49.89%	50.52%	50.90%	49.34%	52.77%	45.63%	49.58%	49.22%	47.29%	50.98%	55.15%	52.72%	50.77%	49.05%	49.00%	59.86%	45.63%	47.03%	45.75%	48.40%	56.98%	52.06%	47.43%	49.38%	54.12%	53.69%	52.46%	50.39%	50.37%	54.80%	50.94%	52.05%	48.99%	49.91%	51.27%	48.15%	49.47%	49.17%	45.06%	47.75%	49.43%	45.96%	52.87%	52.30%	57.32%	48.37%	57.97%	55.91%	68.65%	62.17%	60.66%	48.40%	54.92%	52.38%	58.41%	54.14%	62.91%	65.06%	63.08%	55.10%	57.42%	54.53%	54.19%	64.08%	73.01%	60.14%	50.50%	52.41%	59.24%	59.65%	48.16%	51.22%	46.32%	64.09%	55.22%	52.71%	47.46%	49.27%	58.12%									
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
