Выборы Президента Российской Федерации																																																																																																																																					
																																																																																																																																					
Наименование Избирательной комиссии:    Старооскольская																																																																																																																																					
																																																																																																																																					
Итоги голосования 																																																																																																																																					
																																																																																																																																					
		Сумма	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032					
1	"Число избирателей, внесенных в список"	197776	2214	1749	2061	1483	1791	1427	1939	2624	2628	2820	2770	192	2282	2478	1508	1571	1547	2185	2068	2253	2215	1724	2219	1954	1980	1971	2145	2552	1351	444	2552	1271	975	195	825	666	1280	2831	801	981	1101	652	260	939	788	840	1705	1237	817	894	1086	1488	975	1531	2113	1986	2322	2070	1024	2539	2533	2883	1835	1996	1777	2458	2477	2132	2276	2510	2273	2557	2612	2575	2441	2914	2233	2394	1949	2203	1935	2156	1877	2468	2552	2579	2688	1321	2132	2264	2983	188	931	778	1001	1507	1437	933	336	853	881	113	211	606	573	633	872	393	682	1100	360	1499	566	284	410	2038	496	192	795	814	967	1213	712	2135	894	1501					
2	Число полученных избирательных бюллетеней	194605	2200	1700	2000	1400	1700	1400	1900	2500	2500	2800	2700	197	2300	2400	1500	1500	1500	2200	2000	2200	2200	1700	2200	1900	2000	1990	2100	2500	1300	700	2500	1200	980	220	800	600	1200	2800	750	990	1100	650	250	950	800	800	1600	1200	850	850	1000	1400	950	1500	2100	2000	2300	2000	1050	2600	2500	2800	1800	2000	1700	2450	2450	2100	2200	2500	2200	2500	2600	2500	2450	2900	2200	2400	1900	2200	1900	2100	1800	2450	2500	2500	2500	1300	2100	2250	2900	250	900	750	1000	1500	1450	950	350	850	850	113	210	600	550	600	850	380	700	1100	390	1500	560	280	400	2100	450	195	800	800	950	1200	700	2100	900	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	115323	1447	1128	1151	935	1057	855	1128	1675	1573	1643	1803	92	1366	1488	916	976	913	1213	1177	1342	1312	971	1375	1066	1165	1015	1183	1613	750	284	1880	760	543	194	447	347	805	1705	383	507	547	332	94	503	412	489	1009	731	473	399	430	682	442	716	1125	1051	1138	1203	654	1509	1542	1702	844	906	833	1387	1471	1195	1326	1384	1366	1471	1502	1468	1383	1710	1289	1418	1198	1341	1133	1321	1164	1445	1516	1593	1698	732	1244	1288	1875	124	467	491	524	720	565	586	214	512	565	41	139	336	367	326	664	299	275	534	233	1023	399	140	252	1021	321	155	633	631	784	973	368	1361	473	940					
5	"Число избирательных бюллетеней, выданных вне помещения"	5882	22	18	13	36	24	12	14	15	24	21	15	37	16	22	11	20	21	10	11	21	40	30	26	28	11	31	32	5	12	160	28	22	20	0	45	71	31	12	68	63	22	33	135	29	34	40	29	18	31	85	72	18	74	38	5	9	11	7	11	4	4	4	3	6	4	20	16	8	11	12	14	13	12	15	16	14	22	17	10	15	14	23	8	16	11	26	13	104	8	8	13	64	105	129	239	173	226	181	29	137	60	40	44	135	55	144	46	20	245	188	55	85	37	75	60	152	112	18	13	7	8	41	85	182	122	267					
6	Число погашенных избирательных бюллетеней	73400	731	554	836	429	619	533	758	810	903	1136	882	68	918	890	573	504	566	977	812	837	848	699	799	806	824	944	885	882	538	256	592	418	417	26	308	182	364	1083	299	420	531	285	21	418	354	271	562	451	346	366	498	700	434	746	970	940	1151	790	385	1087	954	1094	953	1088	863	1043	963	897	863	1104	820	1016	1086	1017	1051	1176	889	965	692	844	753	756	628	989	973	881	789	464	848	954	1012	62	328	130	237	607	659	183	107	201	225	32	27	129	128	130	140	61	180	378	102	392	124	65	88	927	17	22	154	162	158	186	247	557	305	293					
7	Число избирательных бюллетеней в переносных ящиках	5882	22	18	13	36	24	12	14	15	24	21	15	37	16	22	11	20	21	10	11	21	40	30	26	28	11	31	32	5	12	160	28	22	20	0	45	71	31	12	68	63	22	33	135	29	34	40	29	18	31	85	72	18	74	38	5	9	11	7	11	4	4	4	3	6	4	20	16	8	11	12	14	13	12	15	16	14	22	17	10	15	14	23	8	16	11	26	13	104	8	8	13	64	105	129	239	173	226	181	29	137	60	40	44	135	55	144	46	20	245	188	55	85	37	75	60	152	112	18	13	7	8	41	85	182	122	267					
8	Число бюллетеней в стационарных ящиках для голосования	115301	1447	1128	1151	935	1057	855	1128	1674	1573	1643	1803	92	1366	1488	916	976	913	1213	1177	1342	1311	971	1373	1066	1165	1015	1183	1613	750	284	1880	760	543	194	447	347	805	1705	382	507	547	332	94	503	412	489	1009	731	473	399	430	682	442	716	1125	1051	1138	1203	654	1509	1528	1702	844	906	833	1387	1471	1195	1326	1384	1366	1471	1502	1468	1383	1710	1289	1418	1198	1341	1133	1321	1164	1445	1516	1593	1698	732	1244	1288	1875	124	467	491	524	718	564	586	214	512	565	41	139	336	367	326	664	299	275	534	233	1023	399	140	252	1021	321	155	633	631	784	973	368	1361	473	940					
9	Число недействительных избирательных бюллетеней	1354	13	11	10	13	9	16	10	19	24	21	22	1	10	20	9	7	9	9	19	11	11	9	11	7	8	10	9	20	8	6	14	10	4	3	3	7	7	19	6	4	5	6	1	8	11	5	18	14	8	3	7	7	5	12	28	6	9	7	6	10	7	8	7	8	8	15	9	6	5	7	13	7	16	8	13	11	12	23	4	16	18	8	5	7	2	14	11	8	19	24	10	3	5	5	6	9	12	5	1	13	4	0	4	6	4	6	8	1	4	8	1	4	4	2	2	14	5	2	80	36	103	13	8	18	8	6					
10	Число действительных избирательных бюллетеней	119829	1456	1135	1154	958	1072	851	1132	1670	1573	1643	1796	128	1372	1490	918	989	925	1214	1169	1352	1340	992	1388	1087	1168	1036	1206	1598	754	438	1894	772	559	191	489	411	829	1698	444	566	564	359	228	524	435	524	1020	735	496	481	495	693	511	742	1102	1054	1140	1203	659	1503	1525	1698	840	904	829	1392	1478	1197	1332	1389	1367	1477	1498	1475	1386	1713	1299	1412	1204	1340	1129	1336	1167	1454	1525	1605	1700	828	1233	1272	1878	185	567	615	757	882	778	762	242	636	621	81	179	465	418	464	702	318	516	714	287	1104	432	213	310	1159	428	171	566	602	689	1001	445	1525	587	1201					
