Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Карпинская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950					
1	"Число избирателей, внесенных в список"	25963	2307	2197	129	2278	810	86	2640	1920	2344	1501	1439	2488	2180	1185	1390	237	147	685					
2	Число полученных избирательных бюллетеней	23400	1980	2000	152	2050	750	90	2390	1794	2110	1350	1270	2300	1920	1070	1270	230	149	525					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13133	1141	1123	96	926	459	75	1429	1037	1338	792	699	1400	1051	525	470	115	95	362					
5	"Число избирательных бюллетеней, выданных вне помещения"	936	45	46	0	114	34	0	41	37	53	33	37	54	65	115	181	5	10	66					
6	Число погашенных избирательных бюллетеней	9331	794	831	56	1010	257	15	920	720	719	525	534	846	804	430	619	110	44	97					
7	Число избирательных бюллетеней в переносных ящиках	936	45	46	0	114	34	0	41	37	53	33	37	54	65	115	181	5	10	66					
8	Число бюллетеней в стационарных ящиках для голосования	13133	1141	1123	96	926	459	75	1429	1037	1338	792	699	1400	1051	525	470	115	95	362					
9	Число недействительных избирательных бюллетеней	135	13	9	3	10	4	0	8	5	28	7	5	8	9	5	15	0	1	5					
10	Число действительных избирательных бюллетеней	13934	1173	1160	93	1030	489	75	1462	1069	1363	818	731	1446	1107	635	636	120	104	423					
11	Число полученных открепительных  удостоверений	490	35	50	0	40	10	5	50	30	40	30	30	50	40	20	20	10	10	20					
12	Число выданных открепительных удостоверений	64	4	7	0	5	0	0	4	2	5	9	2	5	7	0	4	0	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	18	2	0	0	0	0	6	4	8	1	2	2	3	6	2	1	1	30					
14	Число неиспользованных открепительных удостоверений	426	31	43	0	35	10	5	46	28	35	21	28	45	33	20	16	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	0	0	3	0	0	2	1	2	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	457	32	41	1	27	6	1	51	44	79	27	19	36	54	15	15	3	0	6					
		3.25%	2.70%	3.51%	1.04%	2.60%	1.22%	1.33%	3.47%	4.10%	5.68%	3.27%	2.58%	2.48%	4.84%	2.34%	2.30%	2.50%	0.00%	1.40%					
19	. Малышкин Олег Александрович	322	29	19	3	21	3	1	31	39	34	25	20	36	24	14	10	0	4	9					
		2.29%	2.45%	1.63%	3.12%	2.02%	0.61%	1.33%	2.11%	3.63%	2.44%	3.03%	2.72%	2.48%	2.15%	2.19%	1.54%	0.00%	3.81%	2.10%					
20	. Миронов Сергей Михайлович	104	7	11	1	3	1	1	16	9	13	6	3	12	7	5	4	1	0	4					
		0.74%	0.59%	0.94%	1.04%	0.29%	0.20%	1.33%	1.09%	0.84%	0.93%	0.73%	0.41%	0.83%	0.63%	0.78%	0.61%	0.83%	0.00%	0.93%					
21	. Путин Владимир Владимирович	11064	947	906	73	822	441	42	1141	818	996	609	599	1198	861	538	522	107	79	365					
		78.64%	79.85%	77.50%	76.04%	79.04%	89.45%	56.00%	77.62%	76.16%	71.60%	73.82%	81.39%	82.39%	77.15%	84.06%	80.18%	89.17%	75.24%	85.28%					
22	. Хакамада Ирина Муцуовна	504	43	56	1	45	6	0	66	27	54	40	26	47	41	20	19	2	1	10					
		3.58%	3.63%	4.79%	1.04%	4.33%	1.22%	0.00%	4.49%	2.51%	3.88%	4.85%	3.53%	3.23%	3.67%	3.12%	2.92%	1.67%	0.95%	2.34%					
23	. Харитонов Николай Михайлович	1093	77	92	10	84	26	28	110	103	139	86	43	83	81	30	56	7	13	25					
		7.77%	6.49%	7.87%	10.42%	8.08%	5.27%	37.33%	7.48%	9.59%	9.99%	10.42%	5.84%	5.71%	7.26%	4.69%	8.60%	5.83%	12.38%	5.84%					
																									
24	Против всех	390	38	35	4	28	6	2	47	29	48	25	21	34	39	13	10	0	7	4					
		2.77%	3.20%	2.99%	4.17%	2.69%	1.22%	2.67%	3.20%	2.70%	3.45%	3.03%	2.85%	2.34%	3.49%	2.03%	1.54%	0.00%	6.67%	0.93%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
