Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Панкрушихинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207					
1	"Число избирателей, внесенных в список"	12288	2748	1525	673	899	270	513	167	535	287	552	117	822	115	549	306	830	143	438	474	325					
2	Число полученных избирательных бюллетеней	12133	2718	1513	657	893	270	479	161	531	280	546	136	818	114	545	297	817	136	430	470	322					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8378	1709	868	475	645	197	385	137	367	213	388	93	596	90	396	204	594	91	329	361	240					
5	"Число избирательных бюллетеней, выданных вне помещения"	648	108	51	37	51	7	22	10	34	28	65	0	22	5	38	13	59	22	20	32	24					
6	Число погашенных избирательных бюллетеней	3107	901	594	145	197	66	72	14	130	39	93	43	200	19	111	80	164	23	81	77	58					
7	Число избирательных бюллетеней в переносных ящиках	648	108	51	37	51	7	22	10	34	28	65	0	22	5	38	13	59	22	20	32	24					
8	Число бюллетеней в стационарных ящиках для голосования	8374	1709	868	475	645	197	385	137	366	213	388	93	593	90	396	204	594	91	329	361	240					
9	Число недействительных избирательных бюллетеней	109	19	10	13	10	0	7	3	4	1	4	1	8	3	4	1	6	0	5	1	9					
10	Число действительных избирательных бюллетеней	8913	1798	909	499	686	204	400	144	396	240	449	92	607	92	430	216	647	113	344	392	255					
11	Число полученных открепительных  удостоверений	184	20	20	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8					
12	Число выданных открепительных удостоверений	37	18	4	6	2	0	4	0	0	0	1	0	1	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	4	4	3	1	0	3	0	0	1	0	0	0	1	1	3	1	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	147	2	16	2	6	8	4	8	8	8	7	8	7	8	8	7	8	8	8	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	200	63	25	4	9	2	16	2	6	2	11	0	14	1	4	9	10	3	4	8	7					
		2.22%	3.47%	2.72%	0.78%	1.29%	0.98%	3.93%	1.36%	1.50%	0.83%	2.43%	0.00%	2.28%	1.05%	0.92%	4.15%	1.53%	2.65%	1.15%	2.04%	2.65%					
19	. Малышкин Олег Александрович	252	46	17	10	25	5	11	7	20	8	8	0	18	0	13	8	17	8	6	19	6					
		2.79%	2.53%	1.85%	1.95%	3.59%	2.45%	2.70%	4.76%	5.00%	3.32%	1.77%	0.00%	2.93%	0.00%	3.00%	3.69%	2.60%	7.08%	1.72%	4.83%	2.27%					
20	. Миронов Сергей Михайлович	63	11	2	3	3	2	0	1	3	1	1	0	6	1	8	1	8	0	4	5	3					
		0.70%	0.61%	0.22%	0.59%	0.43%	0.98%	0.00%	0.68%	0.75%	0.41%	0.22%	0.00%	0.98%	1.05%	1.84%	0.46%	1.23%	0.00%	1.15%	1.27%	1.14%					
21	. Путин Владимир Владимирович	6002	1203	676	345	451	122	253	116	301	167	272	84	423	79	275	147	394	44	218	265	167					
		66.53%	66.21%	73.56%	67.38%	64.80%	59.80%	62.16%	78.91%	75.25%	69.29%	60.04%	90.32%	68.78%	83.16%	63.36%	67.74%	60.34%	38.94%	62.46%	67.43%	63.26%					
22	. Хакамада Ирина Муцуовна	145	46	9	2	19	2	9	3	10	2	3	0	5	0	9	4	5	3	2	9	3					
		1.61%	2.53%	0.98%	0.39%	2.73%	0.98%	2.21%	2.04%	2.50%	0.83%	0.66%	0.00%	0.81%	0.00%	2.07%	1.84%	0.77%	2.65%	0.57%	2.29%	1.14%					
23	. Харитонов Николай Михайлович	2154	411	169	128	171	71	109	14	53	55	147	8	135	10	114	45	208	51	107	81	67					
		23.87%	22.62%	18.39%	25.00%	24.57%	34.80%	26.78%	9.52%	13.25%	22.82%	32.45%	8.60%	21.95%	10.53%	26.27%	20.74%	31.85%	45.13%	30.66%	20.61%	25.38%					
																											
24	Против всех	97	18	11	7	8	0	2	1	3	5	7	0	6	1	7	2	5	4	3	5	2					
		1.08%	0.99%	1.20%	1.37%	1.15%	0.00%	0.49%	0.68%	0.75%	2.07%	1.55%	0.00%	0.98%	1.05%	1.61%	0.92%	0.77%	3.54%	0.86%	1.27%	0.76%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
