Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Кезская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139					
1	"Число избирателей, внесенных в список"	19097	395	193	46	968	315	409	107	269	225	375	385	497	299	237	519	161	301	149	81	503	311	152	295	132	377	454	353	299	245	1014	785	179	1266	626	1339	1332	1570	1003	931					
2	Число полученных избирательных бюллетеней	17513	370	192	48	910	320	410	118	250	205	340	380	450	280	220	465	161	280	154	83	470	280	155	270	138	350	400	320	280	230	910	710	179	1160	575	1150	1180	1400	890	830					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12479	241	118	32	658	191	268	90	215	190	286	345	342	167	127	357	112	204	83	76	334	169	116	201	102	267	310	221	212	177	589	478	112	847	397	852	805	951	615	622					
5	"Число избирательных бюллетеней, выданных вне помещения"	1785	119	61	5	170	114	50	11	35	15	24	30	106	96	93	54	29	22	56	0	30	86	12	24	5	68	15	34	54	45	70	49	18	23	7	80	23	30	16	6					
6	Число погашенных избирательных бюллетеней	3249	10	13	11	82	15	92	17	0	0	30	5	2	17	0	54	20	54	15	7	106	25	27	45	31	15	75	65	14	8	251	183	49	290	171	218	352	419	259	202					
7	Число избирательных бюллетеней в переносных ящиках	1785	119	61	5	170	114	50	11	35	15	24	30	106	96	93	54	29	22	56	0	30	86	12	24	5	68	15	34	54	45	70	49	18	23	7	80	23	30	16	6					
8	Число бюллетеней в стационарных ящиках для голосования	12479	241	118	32	658	191	268	90	215	190	286	345	342	167	127	357	112	204	83	76	334	169	116	201	102	267	310	221	212	177	589	478	112	847	397	852	805	951	615	622					
9	Число недействительных избирательных бюллетеней	185	2	3	0	8	1	1	0	5	2	4	5	7	1	0	5	3	3	1	0	5	2	1	3	0	9	10	3	6	3	4	11	0	8	3	18	14	21	9	4					
10	Число действительных избирательных бюллетеней	14079	358	176	37	820	304	317	101	245	203	306	370	441	262	220	406	138	223	138	76	359	253	127	222	107	326	315	252	260	219	655	516	130	862	401	914	814	960	622	624					
11	Число полученных открепительных  удостоверений	406	12	14	4	34	27	45	12	2	0	4	8	4	20	14	9	3	5	3	0	16	10	8	4	5	27	13	6	8	12	7	3	3	9	10	10	7	13	6	9					
12	Число выданных открепительных удостоверений	376	12	14	1	34	25	45	11	1	0	1	8	4	18	14	4	2	5	3	0	16	10	5	4	5	26	13	6	5	12	7	3	3	9	9	8	7	13	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	3	0	1	11	3	3	3	1	2	2	3	1	3	3	4	1	3	0	0	5	1	2	2	0	4	6	3	2	5	5	7	2	18	3	31	14	9	3	14					
