Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    район Лианозово																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №3070					
1	"Число избирателей, внесенных в список"	52940	2669	2568	2647	2530	2724	2478	2364	2322	2787	2052	2464	2570	2678	2697	2518	2466	2389	2519	2411	2583	2286	218					
2	Число полученных избирательных бюллетеней	50720	2500	2500	2500	2500	2500	2500	2200	2200	2500	2000	2500	2500	2500	2500	2500	2500	2200	2500	2200	2500	2200	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32382	1648	1451	1520	1860	1508	1456	1399	1426	1880	1222	1354	1583	1627	1633	1487	1322	1728	1686	1583	1492	1336	181					
5	"Число избирательных бюллетеней, выданных вне помещения"	1124	41	82	38	40	25	43	29	34	89	37	64	56	83	44	32	94	31	28	38	76	83	37					
6	Число погашенных избирательных бюллетеней	17214	811	967	942	600	967	1001	772	740	531	741	1082	861	790	823	981	1084	441	786	579	932	781	2					
7	Число избирательных бюллетеней в переносных ящиках	1124	41	82	38	40	25	43	29	34	89	37	64	56	83	44	32	94	31	28	38	76	83	37					
8	Число бюллетеней в стационарных ящиках для голосования	32282	1648	1451	1474	1860	1508	1456	1399	1426	1880	1222	1354	1551	1627	1633	1473	1322	1726	1680	1583	1492	1336	181					
9	Число недействительных избирательных бюллетеней	158	8	7	13	0	9	3	9	0	0	8	0	10	14	12	6	9	11	25	0	7	7	0					
10	Число действительных избирательных бюллетеней	33248	1681	1526	1499	1900	1524	1496	1419	1460	1969	1251	1418	1597	1696	1665	1499	1407	1746	1683	1621	1561	1412	218					
11	Число полученных открепительных  удостоверений	1130	50	50	70	50	50	70	50	50	70	50	70	50	50	50	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	913	46	41	53	35	25	49	43	43	54	34	55	48	44	50	50	43	36	42	48	41	33	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	452	26	30	17	32	14	23	13	10	21	29	18	23	21	12	18	19	19	33	25	22	27	0					
14	Число неиспользованных открепительных удостоверений	217	4	9	17	15	25	21	7	7	16	16	15	2	6	0	0	7	14	8	2	9	17	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	1	0	3	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	1839	120	82	106	86	89	96	75	120	110	65	88	77	89	52	66	82	76	124	88	84	64	0					
		5.50%	7.10%	5.35%	7.01%	4.53%	5.81%	6.40%	5.25%	8.22%	5.59%	5.16%	6.21%	4.79%	5.20%	3.10%	4.39%	5.79%	4.33%	7.26%	5.43%	5.36%	4.51%	0.00%					
19	. Малышкин Олег Александрович	404	10	19	12	28	25	21	18	21	14	15	13	17	18	17	21	19	29	17	26	29	15	0					
		1.21%	0.59%	1.24%	0.79%	1.47%	1.63%	1.40%	1.26%	1.44%	0.71%	1.19%	0.92%	1.06%	1.05%	1.01%	1.40%	1.34%	1.65%	1.00%	1.60%	1.85%	1.06%	0.00%					
20	. Миронов Сергей Михайлович	235	7	11	6	7	7	10	9	53	11	10	3	6	20	13	12	3	9	13	5	12	7	1					
		0.70%	0.41%	0.72%	0.40%	0.37%	0.46%	0.67%	0.63%	3.63%	0.56%	0.79%	0.21%	0.37%	1.17%	0.78%	0.80%	0.21%	0.51%	0.76%	0.31%	0.77%	0.49%	0.46%					
21	. Путин Владимир Владимирович	24653	1121	1027	1071	1521	1122	1013	1075	957	1507	926	1002	1170	1272	1304	1152	1058	1528	1278	1174	1082	1077	216					
		73.80%	66.37%	66.99%	70.83%	80.05%	73.19%	67.58%	75.28%	65.55%	76.54%	73.55%	70.66%	72.81%	74.39%	77.76%	76.54%	74.72%	86.97%	74.82%	72.42%	69.01%	75.90%	99.08%					
22	. Хакамада Ирина Муцуовна	2045	134	111	100	95	93	113	86	120	108	104	77	133	96	78	79	92	63	68	108	106	80	1					
		6.12%	7.93%	7.24%	6.61%	5.00%	6.07%	7.54%	6.02%	8.22%	5.49%	8.26%	5.43%	8.28%	5.61%	4.65%	5.25%	6.50%	3.59%	3.98%	6.66%	6.76%	5.64%	0.46%					
23	. Харитонов Николай Михайлович	2207	165	161	113	78	92	155	78	125	120	59	125	110	106	105	85	71	5	106	129	132	87	0					
		6.61%	9.77%	10.50%	7.47%	4.11%	6.00%	10.34%	5.46%	8.56%	6.09%	4.69%	8.82%	6.85%	6.20%	6.26%	5.65%	5.01%	0.28%	6.21%	7.96%	8.42%	6.13%	0.00%					
																													
24	Против всех	1865	124	115	91	85	96	88	78	64	99	72	110	84	95	96	84	82	36	77	91	116	82	0					
		5.58%	7.34%	7.50%	6.02%	4.47%	6.26%	5.87%	5.46%	4.38%	5.03%	5.72%	7.76%	5.23%	5.56%	5.72%	5.58%	5.79%	2.05%	4.51%	5.61%	7.40%	5.78%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
