Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Сысольская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555					
1	"Число избирателей, внесенных в список"	12424	603	469	223	73	370	895	224	1589	2449	318	1395	42	604	359	420	281	602	577	192	370	172	197					
2	Число полученных избирательных бюллетеней	12487	600	482	227	77	370	905	225	1580	2450	322	1410	45	604	340	415	280	600	585	199	390	181	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7096	383	259	114	50	193	481	131	963	1448	192	762	34	289	187	209	159	331	330	116	211	128	126					
5	"Число избирательных бюллетеней, выданных вне помещения"	582	12	37	5	3	29	19	4	99	89	6	20	2	71	39	5	15	68	14	7	13	4	21					
6	Число погашенных избирательных бюллетеней	4808	205	186	108	24	148	405	90	518	913	124	627	9	244	114	201	106	201	241	76	166	49	53					
7	Число избирательных бюллетеней в переносных ящиках	582	12	37	5	3	29	19	4	99	89	6	20	2	71	39	5	15	68	14	7	13	4	21					
8	Число бюллетеней в стационарных ящиках для голосования	7096	383	259	114	50	193	481	131	963	1448	192	762	34	289	187	209	159	331	330	116	211	128	126					
9	Число недействительных избирательных бюллетеней	65	4	0	2	0	1	1	4	3	14	1	5	1	3	0	3	2	4	11	2	4	0	0					
10	Число действительных избирательных бюллетеней	7613	391	296	117	53	221	499	131	1059	1523	197	777	35	357	226	211	172	395	333	121	220	132	147					
11	Число полученных открепительных  удостоверений	298	15	19	10	5	10	20	5	30	30	10	25	5	10	10	10	10	15	15	5	19	10	10					
12	Число выданных открепительных удостоверений	147	10	17	3	2	3	8	2	10	19	1	7	0	10	6	1	0	6	6	5	19	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	1	3	3	0	2	3	2	7	14	0	2	0	1	3	4	3	3	0	2	1	2	2					
14	Число неиспользованных открепительных удостоверений	151	5	2	7	3	7	12	3	20	11	9	18	5	0	4	9	10	9	9	0	0	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	202	7	6	5	1	10	14	4	39	46	6	14	2	9	4	3	6	7	4	1	7	4	3					
		2.63%	1.77%	2.03%	4.20%	1.89%	4.50%	2.80%	2.96%	3.67%	2.99%	3.03%	1.79%	5.56%	2.50%	1.77%	1.40%	3.45%	1.75%	1.16%	0.81%	3.12%	3.03%	2.04%					
19	. Малышкин Олег Александрович	239	15	7	1	2	6	4	5	34	48	6	35	1	14	2	15	3	10	7	5	10	6	3					
		3.11%	3.80%	2.36%	0.84%	3.77%	2.70%	0.80%	3.70%	3.20%	3.12%	3.03%	4.48%	2.78%	3.89%	0.88%	7.01%	1.72%	2.51%	2.03%	4.07%	4.46%	4.55%	2.04%					
20	. Миронов Сергей Михайлович	105	5	3	2	1	5	9	5	13	18	2	11	0	6	5	2	4	2	5	1	5	0	1					
		1.37%	1.27%	1.01%	1.68%	1.89%	2.25%	1.80%	3.70%	1.22%	1.17%	1.01%	1.41%	0.00%	1.67%	2.21%	0.93%	2.30%	0.50%	1.45%	0.81%	2.23%	0.00%	0.68%					
21	. Путин Владимир Владимирович	5746	289	234	82	47	169	381	88	777	1136	149	608	26	237	160	173	126	329	257	91	168	95	124					
		74.84%	73.16%	79.05%	68.91%	88.68%	76.13%	76.20%	65.19%	73.16%	73.91%	75.25%	77.75%	72.22%	65.83%	70.80%	80.84%	72.41%	82.46%	74.71%	73.98%	75.00%	71.97%	84.35%					
22	. Хакамада Ирина Муцуовна	224	11	6	9	0	6	16	3	37	54	6	22	2	13	6	4	5	6	6	3	1	3	5					
		2.92%	2.78%	2.03%	7.56%	0.00%	2.70%	3.20%	2.22%	3.48%	3.51%	3.03%	2.81%	5.56%	3.61%	2.65%	1.87%	2.87%	1.50%	1.74%	2.44%	0.45%	2.27%	3.40%					
23	. Харитонов Николай Михайлович	965	58	37	16	2	23	65	23	140	181	25	69	4	75	43	12	28	37	50	18	28	21	10					
		12.57%	14.68%	12.50%	13.45%	3.77%	10.36%	13.00%	17.04%	13.18%	11.78%	12.63%	8.82%	11.11%	20.83%	19.03%	5.61%	16.09%	9.27%	14.53%	14.63%	12.50%	15.91%	6.80%					
																													
24	Против всех	132	6	3	2	0	2	10	3	19	40	3	18	0	3	6	2	0	4	4	2	1	3	1					
		1.72%	1.52%	1.01%	1.68%	0.00%	0.90%	2.00%	2.22%	1.79%	2.60%	1.52%	2.30%	0.00%	0.83%	2.65%	0.93%	0.00%	1.00%	1.16%	1.63%	0.45%	2.27%	0.68%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
