Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    район Внуково														
														
Итоги голосования 														
														
		Сумма	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2996					
1	"Число избирателей, внесенных в список"	13523	665	2356	2156	1653	2732	2780	1181					
2	Число полученных избирательных бюллетеней	12500	600	2200	2000	1500	2500	2600	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7304	309	1365	1115	914	1476	1485	640					
5	"Число избирательных бюллетеней, выданных вне помещения"	211	44	8	30	17	51	41	20					
6	Число погашенных избирательных бюллетеней	4985	247	827	855	569	973	1074	440					
7	Число избирательных бюллетеней в переносных ящиках	211	44	8	30	17	51	41	20					
8	Число бюллетеней в стационарных ящиках для голосования	7290	309	1362	1112	914	1473	1480	640					
9	Число недействительных избирательных бюллетеней	108	5	18	15	16	13	11	30					
10	Число действительных избирательных бюллетеней	7393	348	1352	1127	915	1511	1510	630					
11	Число полученных открепительных  удостоверений	399	18	70	64	49	81	83	34					
12	Число выданных открепительных удостоверений	145	14	23	21	19	31	27	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	218	51	15	17	24	67	36	8					
14	Число неиспользованных открепительных удостоверений	254	4	47	43	30	50	56	24					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	534	16	90	78	69	122	124	35					
		7.12%	4.53%	6.57%	6.83%	7.41%	8.01%	8.15%	5.30%					
19	. Малышкин Олег Александрович	95	2	19	16	15	17	18	8					
		1.27%	0.57%	1.39%	1.40%	1.61%	1.12%	1.18%	1.21%					
20	. Миронов Сергей Михайлович	47	2	7	5	4	19	7	3					
		0.63%	0.57%	0.51%	0.44%	0.43%	1.25%	0.46%	0.45%					
21	. Путин Владимир Владимирович	5174	273	932	814	680	1010	989	476					
		68.98%	77.34%	68.03%	71.28%	73.04%	66.27%	65.02%	72.12%					
22	. Хакамада Ирина Муцуовна	442	10	78	84	45	75	116	34					
		5.89%	2.83%	5.69%	7.36%	4.83%	4.92%	7.63%	5.15%					
23	. Харитонов Николай Михайлович	600	27	103	52	83	150	129	56					
		8.00%	7.65%	7.52%	4.55%	8.92%	9.84%	8.48%	8.48%					
														
24	Против всех	501	18	123	78	19	118	127	18					
		6.68%	5.10%	8.98%	6.83%	2.04%	7.74%	8.35%	2.73%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
