Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    район Северное Измайлово																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №3290					
1	"Число избирателей, внесенных в список избирателей"	56182	2492	2711	2505	2227	2087	2116	2228	2361	2249	2241	2737	1819	2039	2403	1983	2547	2043	2312	2001	2323	2239	2150	2059	1939	2208	163					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55613	2500	2700	2500	2100	2000	2100	2200	2350	2200	2250	2700	1750	2000	2400	1950	2500	2000	2300	2000	2400	2250	2100	2050	1950	2200	163					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29414	1174	1121	1264	1283	1144	1121	1147	1089	1027	944	1989	633	1059	1418	958	1342	1035	1077	1229	1025	1230	1402	1208	1228	1129	138					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1078	46	46	69	7	34	30	27	62	57	42	27	52	65	68	30	33	10	23	28	25	20	55	69	79	49	25					
6	Число погашенных избирательных бюллетеней	25121	1280	1533	1167	810	822	949	1026	1199	1116	1264	684	1065	876	914	962	1125	955	1200	743	1350	1000	643	773	643	1022	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1076	46	44	69	7	34	30	27	62	57	42	27	52	65	68	30	33	10	23	28	25	20	55	69	79	49	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28626	1168	1121	1264	1281	1138	1121	1147	1081	1025	940	1280	633	1059	1418	954	1324	1035	1077	1229	1025	1230	1373	1208	1228	1129	138					
9	Число недействительных избирательных бюллетеней	625	21	30	13	19	16	23	21	32	19	22	28	20	27	11	14	46	4	38	17	23	11	28	59	27	52	4					
10	Число действительных избирательных бюллетеней	29077	1193	1135	1320	1269	1156	1128	1153	1111	1063	960	1279	665	1097	1475	970	1311	1041	1062	1240	1027	1239	1400	1218	1280	1126	159					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1356	60	60	60	40	60	60	40	60	60	60	60	40	40	60	40	60	60	60	40	60	60	56	40	60	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1083	51	56	56	36	45	47	32	54	42	47	50	32	30	53	25	45	46	46	40	40	45	39	32	45	49	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1023	22	44	35	85	56	36	38	52	47	36	48	17	31	86	43	46	45	31	22	28	20	57	21	19	24	34					
14	Число погашенных неиспользованных открепительных удостоверений	273	9	4	4	4	15	13	8	6	18	13	10	8	10	7	15	15	14	14	0	20	15	17	8	15	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	5	5	2	2	0	0	2	2	1	2	4	1	1	1	2	8	2	3	2	7	0	3	2	3	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3947	174	201	128	108	151	86	183	211	191	191	33	78	127	22	208	242	156	217	131	217	193	210	179	111	181	18					
		13.29%	14.33%	17.25%	9.60%	8.39%	12.88%	7.47%	15.59%	18.46%	17.65%	19.45%	2.52%	11.39%	11.30%	1.48%	21.14%	17.83%	14.93%	19.73%	10.42%	20.67%	15.44%	14.71%	14.02%	8.49%	15.37%	11.04%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2431	173	129	160	69	108	154	80	121	110	124	20	68	29	33	133	141	57	71	119	76	132	104	32	92	83	13					
		8.18%	14.25%	11.07%	12.00%	5.36%	9.22%	13.38%	6.81%	10.59%	10.17%	12.63%	1.53%	9.93%	2.58%	2.22%	13.52%	10.39%	5.45%	6.45%	9.47%	7.24%	10.56%	7.28%	2.51%	7.04%	7.05%	7.98%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	417	27	27	16	14	20	18	19	23	14	22	0	3	11	5	15	29	5	14	15	13	18	19	12	23	32	3					
		1.40%	2.22%	2.32%	1.20%	1.09%	1.71%	1.56%	1.62%	2.01%	1.29%	2.24%	0.00%	0.44%	0.98%	0.34%	1.52%	2.14%	0.48%	1.27%	1.19%	1.24%	1.44%	1.33%	0.94%	1.76%	2.72%	1.84%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5846	279	305	139	233	245	215	162	259	253	223	107	103	260	310	224	322	234	262	187	262	217	282	248	231	265	19					
		19.68%	22.98%	26.18%	10.43%	18.09%	20.90%	18.68%	13.80%	22.66%	23.38%	22.71%	8.19%	15.04%	23.13%	20.86%	22.76%	23.73%	22.39%	23.82%	14.88%	24.95%	17.36%	19.75%	19.42%	17.67%	22.50%	11.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3014	176	160	76	164	99	124	84	179	112	128	8	72	266	229	143	161	80	85	133	61	22	106	87	82	168	9					
		10.15%	14.50%	13.73%	5.70%	12.73%	8.45%	10.77%	7.16%	15.66%	10.35%	13.03%	0.61%	10.51%	23.67%	15.41%	14.53%	11.86%	7.66%	7.73%	10.58%	5.81%	1.76%	7.42%	6.81%	6.27%	14.26%	5.52%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13160	353	300	792	657	526	519	607	303	376	260	1111	338	396	870	240	401	507	400	647	392	649	658	650	723	388	97					
