Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Плесецкая																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
1	"Число избирателей, внесенных в список"	41157	549	1575	1948	534	318	330	153	1071	455	1926	1781	1598	2018	155	162	2100	2267	1370	1315	1295	525	199	238	1639	2162	385	2397	2499	544	444	175	150	539	2358	286	638	443	312	506	604	569	625					
2	Число полученных избирательных бюллетеней	37760	520	1485	1720	650	300	300	170	1000	420	1740	1600	1400	1720	150	140	2000	2000	1210	1175	1180	480	220	225	1540	2025	355	2130	2190	485	390	180	160	500	2260	260	575	400	290	455	550	570	640					
3	"Число избирательных бюллетеней, выданных  досрочно"	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21802	283	773	1049	524	167	185	100	617	263	936	1058	723	1034	99	92	1294	1084	733	739	629	336	146	123	697	1048	167	1313	1283	291	234	112	101	350	1093	167	318	210	188	284	295	306	358					
5	"Число избирательных бюллетеней, выданных вне помещения"	2255	63	36	100	10	30	10	0	72	23	84	19	64	87	14	16	29	46	23	146	50	8	9	33	178	100	47	67	52	54	11	14	4	23	201	32	101	66	49	29	60	184	11					
6	Число погашенных избирательных бюллетеней	13555	174	676	571	116	103	105	70	311	134	720	523	613	599	37	32	677	870	454	290	501	136	65	69	665	877	141	750	855	140	145	54	55	127	818	61	156	124	53	142	195	80	271					
7	Число избирательных бюллетеней в переносных ящиках	2403	63	36	100	10	30	10	0	72	23	84	19	64	87	14	16	29	46	23	146	50	8	9	33	178	100	47	67	52	54	11	14	4	23	349	32	101	66	49	29	60	184	11					
8	Число бюллетеней в стационарных ящиках для голосования	21797	283	773	1049	524	167	185	100	617	263	936	1056	723	1034	99	92	1294	1084	733	739	629	335	146	123	697	1048	167	1312	1283	291	234	112	101	350	1093	167	318	210	188	284	295	305	358					
9	Число недействительных избирательных бюллетеней	171	2	10	10	4	3	2	1	4	4	6	10	5	6	1	1	13	5	8	0	8	2	2	0	14	8	1	8	2	2	2	1	0	2	5	0	4	4	2	6	0	0	3					
10	Число действительных избирательных бюллетеней	24029	344	799	1139	530	194	193	99	685	282	1014	1065	782	1115	112	107	1310	1125	748	885	671	341	153	156	861	1140	213	1371	1333	343	243	125	105	371	1437	199	415	272	235	307	355	489	366					
11	Число полученных открепительных  удостоверений	630	10	25	25	10	5	5	5	10	10	30	30	20	30	5	5	30	30	20	20	20	5	5	5	20	35	5	35	35	10	5	5	5	10	35	5	10	10	5	10	10	10	10					
12	Число выданных открепительных удостоверений	252	1	12	13	3	4	0	3	6	0	8	10	6	9	1	0	12	10	2	1	4	2	4	1	16	14	2	26	19	5	3	4	1	10	10	4	0	3	4	3	2	9	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	13	9	17	3	2	4	1	3	0	5	5	2	10	0	4	11	9	6	7	7	11	0	3	0	2	0	16	8	3	4	0	0	4	11	3	2	0	1	0	0	7	1					
14	Число неиспользованных открепительных удостоверений	378	9	13	12	7	1	5	2	4	10	22	20	14	21	4	5	18	20	18	19	16	3	1	4	4	21	3	9	16	5	2	1	4	0	25	1	10	7	1	7	8	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	521	5	15	25	13	2	1	2	12	6	27	46	15	41	3	1	31	25	16	28	19	6	3	0	9	30	4	38	34	2	5	0	1	5	32	1	3	0	1	2	5	4	3					
		2.15%	1.45%	1.85%	2.18%	2.43%	1.02%	0.51%	2.00%	1.74%	2.10%	2.65%	4.28%	1.91%	3.66%	2.65%	0.93%	2.34%	2.21%	2.12%	3.16%	2.80%	1.75%	1.94%	0.00%	1.03%	2.61%	1.87%	2.76%	2.55%	0.58%	2.04%	0.00%	0.95%	1.34%	2.22%	0.50%	0.72%	0.00%	0.42%	0.64%	1.41%	0.82%	0.81%					
19	. Малышкин Олег Александрович	438	2	11	12	5	7	1	1	19	0	20	24	25	23	0	2	28	19	12	15	13	6	2	0	8	33	2	30	32	1	6	3	2	2	24	1	1	10	5	6	16	4	5					
		1.81%	0.58%	1.36%	1.04%	0.94%	3.55%	0.51%	1.00%	2.76%	0.00%	1.96%	2.23%	3.18%	2.05%	0.00%	1.85%	2.12%	1.68%	1.59%	1.69%	1.91%	1.75%	1.29%	0.00%	0.91%	2.87%	0.93%	2.18%	2.40%	0.29%	2.45%	2.38%	1.90%	0.54%	1.66%	0.50%	0.24%	3.62%	2.11%	1.92%	4.51%	0.82%	1.36%					
20	. Миронов Сергей Михайлович	197	0	5	8	1	2	4	0	7	5	9	17	8	11	4	0	10	13	7	4	7	3	1	0	4	5	2	4	20	3	3	0	2	3	11	4	0	1	0	0	0	4	5					
		0.81%	0.00%	0.62%	0.70%	0.19%	1.02%	2.05%	0.00%	1.02%	1.75%	0.88%	1.58%	1.02%	0.98%	3.54%	0.00%	0.76%	1.15%	0.93%	0.45%	1.03%	0.87%	0.65%	0.00%	0.46%	0.44%	0.93%	0.29%	1.50%	0.87%	1.22%	0.00%	1.90%	0.80%	0.76%	2.01%	0.00%	0.36%	0.00%	0.00%	0.00%	0.82%	1.36%					
21	. Путин Владимир Владимирович	19178	298	633	911	466	158	157	80	558	217	773	759	590	841	90	83	1021	885	576	697	522	281	133	139	728	921	176	1098	1049	288	199	114	82	314	1156	162	377	188	215	251	276	426	290					
