Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Озерная поселковая																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7657	1662	1746	1457	1365	1427									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7700	1700	1700	1500	1400	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4515	969	1106	850	793	797									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	44	16	8	7	4	9									
6	Число погашенных избирательных бюллетеней	3141	715	586	643	603	594									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	44	16	8	7	4	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4513	969	1106	848	793	797									
9	Число недействительных избирательных бюллетеней	142	40	31	14	23	34									
10	Число действительных избирательных бюллетеней	4415	945	1083	841	774	772									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	50	50	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	175	46	22	39	36	32									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	6	35	2	4	15									
14	Число погашенных неиспользованных открепительных удостоверений	75	4	28	11	14	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	11	11	15	20	15									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	65	19	18	6	11	11									
		1.43%	1.93%	1.62%	0.70%	1.38%	1.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	75	18	13	14	14	16									
		1.65%	1.83%	1.17%	1.64%	1.76%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	16	16	17	16	16									
		1.78%	1.62%	1.44%	1.99%	2.01%	1.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2538	546	663	473	447	409									
		55.69%	55.43%	59.52%	55.32%	56.09%	50.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	10	12	5	3	6									
		0.79%	1.02%	1.08%	0.58%	0.38%	0.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	6	2	3	1	0									
		0.26%	0.61%	0.18%	0.35%	0.13%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	785	183	206	159	111	126									
		17.23%	18.58%	18.49%	18.60%	13.93%	15.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	21	5	3	3	6	4									
		0.46%	0.51%	0.27%	0.35%	0.75%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	5	5	5	3	3									
		0.46%	0.51%	0.45%	0.58%	0.38%	0.37%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	2	2	4	0	2									
		0.22%	0.20%	0.18%	0.47%	0.00%	0.25%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	9	8	8	5	9									
		0.86%	0.91%	0.72%	0.94%	0.63%	1.12%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	430	72	88	83	90	97									
		9.44%	7.31%	7.90%	9.71%	11.29%	12.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	5	4	7	4	6									
		0.57%	0.51%	0.36%	0.82%	0.50%	0.74%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	276	49	43	54	63	67									
		6.06%	4.97%	3.86%	6.32%	7.90%	8.31%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
