Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Лакская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899					
1	"Число избирателей, внесенных в список избирателей"	8844	105	100	260	432	391	201	168	220	152	1750	325	93	260	117	720	88	69	350	192	196	85	210	75	140	460	470	262	90	55	60	190	58	120	380					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7800	84	93	243	403	365	172	140	200	126	1632	285	77	212	106	583	83	56	312	168	168	74	180	61	114	420	433	241	86	47	59	164	44	108	261					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7723	82	92	237	401	362	170	138	197	125	1592	283	77	209	103	580	83	56	311	168	167	74	180	61	114	420	433	241	86	47	59	164	44	107	260					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	77	2	1	6	2	3	2	2	3	1	40	2	0	3	3	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7723	82	92	237	401	362	170	138	197	125	1592	283	77	209	103	580	83	56	311	168	167	74	180	61	114	420	433	241	86	47	59	164	44	107	260					
9	Число недействительных избирательных бюллетеней	14	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	7709	82	92	237	401	362	170	138	197	125	1578	283	77	209	103	580	83	56	311	168	167	74	180	61	114	420	433	241	86	47	59	164	44	107	260					
