Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Жирновская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806					
1	"Число избирателей, внесенных в список"	37388	1645	2110	1678	1783	2700	1303	1436	270	1455	1936	1457	2252	999	166	1212	1523	1644	2321	421	52	218	89	304	465	601	189	668	142	365	48	1941	268	75	988	319	174	175	208	262	932	274	214	106					
2	Число полученных избирательных бюллетеней	37950	1686	2162	1680	1820	2740	1305	1257	300	1483	1963	1481	2359	998	172	1244	1468	1656	2402	415	57	241	84	391	459	604	193	724	173	369	54	1988	272	70	994	326	163	178	210	264	934	279	221	111					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22130	1026	1295	892	1108	1699	812	800	270	919	1067	794	1138	440	130	741	636	874	1062	210	46	166	68	287	256	456	128	470	122	260	36	1069	191	54	769	183	143	143	165	169	552	257	168	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	1886	35	49	59	50	33	24	131	0	34	30	11	55	199	10	64	170	102	234	63	1	17	14	17	58	31	14	0	0	42	0	88	0	0	38	45	5	0	16	37	80	0	17	13					
6	Число погашенных избирательных бюллетеней	13934	625	818	729	662	1008	469	326	30	530	866	676	1166	359	32	439	662	680	1106	142	10	58	2	87	145	117	51	254	51	67	18	831	81	16	187	98	15	35	29	58	302	22	36	39					
7	Число избирательных бюллетеней в переносных ящиках	1886	35	49	59	50	33	24	131	0	34	30	11	55	199	10	64	170	102	234	63	1	17	14	17	58	31	14	0	0	42	0	88	0	0	38	45	5	0	16	37	80	0	17	13					
8	Число бюллетеней в стационарных ящиках для голосования	22106	1026	1272	892	1108	1699	812	800	270	919	1067	794	1138	440	130	741	636	874	1062	210	46	166	68	286	256	456	128	470	122	260	36	1069	191	54	769	183	143	143	165	169	552	257	168	59					
9	Число недействительных избирательных бюллетеней	140	5	7	9	7	7	7	5	2	8	0	2	15	4	3	0	4	7	5	0	0	2	0	1	5	1	0	5	1	4	0	7	3	0	3	0	2	2	0	1	4	1	1	0					
10	Число действительных избирательных бюллетеней	23852	1056	1314	942	1151	1725	829	926	268	945	1097	803	1178	635	137	805	802	969	1291	273	47	181	82	302	309	486	142	465	121	298	36	1150	188	54	804	228	146	141	181	205	628	256	184	72					
