Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Бикинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в список"	21729	779	610	1863	1233	3206	1977	411	996	1408	1514	1507	647	86	269	622	79	404	414	120	1826	1151	607					
2	Число полученных избирательных бюллетеней	18284	681	562	1381	1025	2577	1530	358	875	1227	1314	1306	572	87	230	590	79	361	396	121	1491	994	527					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12972	346	249	1224	606	2335	1352	188	412	752	869	823	422	62	219	348	40	197	332	100	1083	630	383					
5	"Число избирательных бюллетеней, выданных вне помещения"	1664	65	78	86	137	186	126	49	115	59	51	42	55	24	0	110	37	100	16	0	197	84	47					
6	Число погашенных избирательных бюллетеней	3648	270	235	71	282	56	52	121	348	416	394	441	95	1	11	132	2	64	48	21	211	280	97					
7	Число избирательных бюллетеней в переносных ящиках	1663	65	77	86	137	186	126	49	115	59	51	42	55	24	0	110	37	100	16	0	197	84	47					
8	Число бюллетеней в стационарных ящиках для голосования	12970	346	249	1224	606	2335	1352	188	411	751	869	823	422	62	219	348	40	197	332	100	1083	630	383					
9	Число недействительных избирательных бюллетеней	174	11	2	15	5	15	12	0	1	8	9	12	4	0	1	4	0	0	6	0	63	3	3					
10	Число действительных избирательных бюллетеней	14459	400	324	1295	738	2506	1466	237	525	802	911	853	473	86	218	454	77	297	342	100	1217	711	427					
11	Число полученных открепительных  удостоверений	613	10	10	30	15	175	120	5	15	25	20	20	10	5	5	38	5	5	5	5	65	15	10					
12	Число выданных открепительных удостоверений	462	7	3	26	4	142	101	3	4	20	18	19	8	1	1	33	0	3	2	3	56	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	207	1	0	10	16	25	45	0	15	17	15	6	4	1	0	2	2	2	0	2	20	22	2					
14	Число неиспользованных открепительных удостоверений	151	3	7	4	11	33	19	2	11	5	2	1	2	4	4	5	5	2	3	2	9	9	8					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	3	0	0	0	1	0	4	0	1	1	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	517	13	13	43	46	37	37	5	39	44	40	68	10	0	6	24	0	10	3	0	34	29	16					
		3.53%	3.16%	3.99%	3.28%	6.19%	1.47%	2.50%	2.11%	7.41%	5.43%	4.35%	7.86%	2.10%	0.00%	2.74%	5.24%	0.00%	3.37%	0.86%	0.00%	2.66%	4.06%	3.72%					
19	. Малышкин Олег Александрович	500	23	14	25	20	31	24	11	30	31	30	33	10	0	4	20	6	35	14	1	82	32	24					
		3.42%	5.60%	4.29%	1.91%	2.69%	1.23%	1.62%	4.64%	5.70%	3.83%	3.26%	3.82%	2.10%	0.00%	1.83%	4.37%	7.79%	11.78%	4.02%	1.00%	6.41%	4.48%	5.58%					
20	. Миронов Сергей Михайлович	140	7	4	14	10	15	5	1	2	7	11	12	5	0	1	8	1	4	1	0	17	11	4					
		0.96%	1.70%	1.23%	1.07%	1.35%	0.60%	0.34%	0.42%	0.38%	0.86%	1.20%	1.39%	1.05%	0.00%	0.46%	1.75%	1.30%	1.35%	0.29%	0.00%	1.33%	1.54%	0.93%					
21	. Путин Владимир Владимирович	10464	252	186	973	450	2195	1238	167	283	493	552	501	320	72	169	250	58	196	279	81	972	476	301					
		71.51%	61.31%	57.06%	74.27%	60.57%	87.07%	83.76%	70.46%	53.80%	60.86%	60.00%	57.92%	67.09%	83.72%	77.17%	54.59%	75.32%	65.99%	80.17%	81.00%	75.94%	66.67%	70.00%					
22	. Хакамада Ирина Муцуовна	463	7	21	30	24	65	37	7	23	48	35	39	9	3	1	24	0	10	8	0	36	25	11					
		3.16%	1.70%	6.44%	2.29%	3.23%	2.58%	2.50%	2.95%	4.37%	5.93%	3.80%	4.51%	1.89%	3.49%	0.46%	5.24%	0.00%	3.37%	2.30%	0.00%	2.81%	3.50%	2.56%					
23	. Харитонов Николай Михайлович	1812	82	73	157	165	72	60	37	131	141	189	146	100	7	35	101	10	31	18	15	64	113	65					
		12.38%	19.95%	22.39%	11.98%	22.21%	2.86%	4.06%	15.61%	24.90%	17.41%	20.54%	16.88%	20.96%	8.14%	15.98%	22.05%	12.99%	10.44%	5.17%	15.00%	5.00%	15.83%	15.12%					
																													
24	Против всех	563	16	13	53	23	91	65	9	17	38	54	54	19	4	2	27	2	11	19	3	12	25	6					
		3.85%	3.89%	3.99%	4.05%	3.10%	3.61%	4.40%	3.80%	3.23%	4.69%	5.87%	6.24%	3.98%	4.65%	0.91%	5.90%	2.60%	3.70%	5.46%	3.00%	0.94%	3.50%	1.40%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
