Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Лоухская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285					
1	"Число избирателей, внесенных в список"	15599	2115	1715	573	776	52	2097	380	402	1421	697	155	383	355	602	1700	1632	425	119					
2	Число полученных избирательных бюллетеней	15740	2150	1720	570	780	54	2130	380	400	1430	705	155	390	340	600	1710	1670	440	116					
3	"Число избирательных бюллетеней, выданных  досрочно"	99	0	0	0	0	0	42	0	0	27	0	0	0	19	0	0	11	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8212	1175	899	333	387	34	1306	221	225	704	326	95	232	171	264	791	758	227	64					
5	"Число избирательных бюллетеней, выданных вне помещения"	386	62	30	27	19	1	18	8	39	31	11	4	9	11	13	35	42	22	4					
6	Число погашенных избирательных бюллетеней	7043	913	791	210	374	19	764	151	136	668	368	56	149	139	323	884	859	191	48					
7	Число избирательных бюллетеней в переносных ящиках	485	62	30	27	19	1	60	8	39	58	11	4	9	30	13	35	53	22	4					
8	Число бюллетеней в стационарных ящиках для голосования	8210	1175	899	333	387	34	1306	221	225	704	326	95	232	171	264	789	758	227	64					
9	Число недействительных избирательных бюллетеней	75	11	5	3	7	0	15	1	3	7	3	2	1	1	4	5	3	3	1					
10	Число действительных избирательных бюллетеней	8620	1226	924	357	399	35	1351	228	261	755	334	97	240	200	273	819	808	246	67					
11	Число полученных открепительных  удостоверений	360	40	30	20	20	10	30	10	10	20	20	10	20	10	20	30	30	20	10					
12	Число выданных открепительных удостоверений	126	20	10	3	4	2	16	1	3	5	3	2	6	3	1	17	17	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	7	10	3	3	1	5	2	3	5	2	2	3	8	0	7	7	5	2					
14	Число неиспользованных открепительных удостоверений	234	20	20	17	16	8	14	9	7	15	17	8	14	7	19	13	13	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	5	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	181	28	21	5	3	1	32	1	1	8	7	2	1	3	3	30	31	4	0					
		2.08%	2.26%	2.26%	1.39%	0.74%	2.86%	2.34%	0.44%	0.38%	1.05%	2.08%	2.02%	0.41%	1.49%	1.08%	3.64%	3.82%	1.61%	0.00%					
19	. Малышкин Олег Александрович	269	33	39	3	14	0	22	8	4	32	16	1	13	3	20	21	31	4	5					
		3.09%	2.67%	4.20%	0.83%	3.45%	0.00%	1.61%	3.49%	1.52%	4.20%	4.75%	1.01%	5.39%	1.49%	7.22%	2.55%	3.82%	1.61%	7.35%					
20	. Миронов Сергей Михайлович	94	8	11	5	3	1	13	1	2	4	6	0	1	0	5	16	14	3	1					
		1.08%	0.65%	1.18%	1.39%	0.74%	2.86%	0.95%	0.44%	0.76%	0.52%	1.78%	0.00%	0.41%	0.00%	1.81%	1.94%	1.73%	1.20%	1.47%					
21	. Путин Владимир Владимирович	6311	871	669	304	333	22	1052	178	231	553	227	65	157	144	203	548	531	190	33					
		72.58%	70.41%	72.01%	84.44%	82.02%	62.86%	77.01%	77.73%	87.50%	72.57%	67.36%	65.66%	65.15%	71.64%	73.29%	66.50%	65.47%	76.31%	48.53%					
22	. Хакамада Ирина Муцуовна	295	41	36	7	5	0	32	15	10	32	8	2	6	3	4	37	42	15	0					
		3.39%	3.31%	3.88%	1.94%	1.23%	0.00%	2.34%	6.55%	3.79%	4.20%	2.37%	2.02%	2.49%	1.49%	1.44%	4.49%	5.18%	6.02%	0.00%					
23	. Харитонов Николай Михайлович	1221	196	125	27	31	10	165	17	10	110	57	18	50	43	33	148	131	24	26					
		14.04%	15.84%	13.46%	7.50%	7.64%	28.57%	12.08%	7.42%	3.79%	14.44%	16.91%	18.18%	20.75%	21.39%	11.91%	17.96%	16.15%	9.64%	38.24%					
																									
24	Против всех	249	49	23	6	10	1	35	8	3	16	13	9	12	4	5	19	28	6	2					
		2.86%	3.96%	2.48%	1.67%	2.46%	2.86%	2.56%	3.49%	1.14%	2.10%	3.86%	9.09%	4.98%	1.99%	1.81%	2.31%	3.45%	2.41%	2.94%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
