Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Ванинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №6	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505					
1	"Число избирателей, внесенных в список"	30636	96	2074	2556	272	1881	1193	1363	2273	908	2234	1690	1463	992	819	799	363	499	1660	1462	764	32	914	644	643	835	2207					
2	Число полученных избирательных бюллетеней	29741	96	2000	2400	250	1700	1150	1350	2250	900	2200	1700	1450	950	800	750	380	500	1700	1400	750	35	850	600	600	800	2180					
3	"Число избирательных бюллетеней, выданных  досрочно"	99	96	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19261	0	1253	1454	217	1034	728	848	1415	585	1398	1017	761	742	567	593	354	377	1252	890	568	32	628	442	481	424	1201					
5	"Число избирательных бюллетеней, выданных вне помещения"	1148	0	23	87	2	133	22	17	44	9	40	34	46	31	22	11	8	46	42	13	49	0	93	65	19	86	206					
6	Число погашенных избирательных бюллетеней	9233	0	724	859	31	533	400	485	791	306	759	649	643	177	211	146	18	77	406	497	133	3	129	93	100	290	773					
7	Число избирательных бюллетеней в переносных ящиках	1247	96	23	87	2	133	22	17	44	9	43	34	46	31	22	11	8	46	42	13	49	0	93	65	19	86	206					
8	Число бюллетеней в стационарных ящиках для голосования	19244	0	1253	1454	217	1034	728	847	1401	585	1396	1017	761	742	567	593	354	377	1252	890	568	32	628	442	481	424	1201					
9	Число недействительных избирательных бюллетеней	228	0	26	23	5	11	5	17	9	2	11	9	18	9	13	6	1	0	12	13	5	0	8	6	3	3	13					
10	Число действительных избирательных бюллетеней	20263	96	1250	1518	214	1156	745	847	1436	592	1428	1042	789	764	576	598	361	423	1282	890	612	32	713	501	497	507	1394					
11	Число полученных открепительных  удостоверений	481	0	24	21	10	15	15	15	20	5	19	20	15	10	15	20	30	15	41	19	22	5	15	37	15	20	38					
12	Число выданных открепительных удостоверений	383	0	24	20	5	10	9	10	19	5	16	16	8	7	10	20	22	12	38	12	18	0	12	37	7	17	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	315	0	7	68	0	10	4	7	4	6	15	8	5	8	2	11	5	3	20	6	6	13	72	7	2	8	18					
14	Число неиспользованных открепительных удостоверений	98	0	0	1	5	5	6	5	1	0	3	4	7	3	5	0	8	3	3	7	4	5	3	0	8	3	9					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	1	1	4	0	4	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	936	2	60	71	3	81	44	58	79	28	97	65	36	25	22	25	3	15	42	30	12	1	25	28	20	18	46					
		4.57%	2.08%	4.70%	4.61%	1.37%	6.94%	5.87%	6.71%	5.47%	4.71%	6.74%	6.18%	4.46%	3.23%	3.74%	4.14%	0.83%	3.55%	3.25%	3.32%	1.94%	3.12%	3.47%	5.52%	4.00%	3.53%	3.27%					
19	. Малышкин Олег Александрович	782	0	52	68	14	37	20	28	37	20	52	31	36	33	29	18	10	22	42	55	27	3	28	41	10	15	54					
		3.82%	0.00%	4.08%	4.41%	6.39%	3.17%	2.67%	3.24%	2.56%	3.37%	3.61%	2.95%	4.46%	4.27%	4.92%	2.98%	2.76%	5.20%	3.25%	6.09%	4.38%	9.38%	3.88%	8.09%	2.00%	2.94%	3.84%					
20	. Миронов Сергей Михайлович	183	0	11	7	1	10	8	11	14	8	23	7	9	5	5	3	1	3	14	7	4	1	12	2	0	8	9					
		0.89%	0.00%	0.86%	0.45%	0.46%	0.86%	1.07%	1.27%	0.97%	1.35%	1.60%	0.67%	1.12%	0.65%	0.85%	0.50%	0.28%	0.71%	1.08%	0.78%	0.65%	3.12%	1.66%	0.39%	0.00%	1.57%	0.64%					
21	. Путин Владимир Владимирович	14080	89	785	1106	138	730	487	530	918	371	879	674	492	596	387	433	324	315	969	661	489	16	568	373	387	372	991					
		68.71%	92.71%	61.52%	71.77%	63.01%	62.55%	64.93%	61.34%	63.53%	62.46%	61.08%	64.13%	60.97%	77.10%	65.70%	71.69%	89.50%	74.47%	74.88%	73.20%	79.25%	50.00%	78.78%	73.57%	77.40%	72.94%	70.43%					
22	. Хакамада Ирина Муцуовна	923	0	62	56	11	74	37	53	91	46	87	65	67	17	22	32	3	7	54	32	9	1	16	20	8	21	32					
		4.50%	0.00%	4.86%	3.63%	5.02%	6.34%	4.93%	6.13%	6.30%	7.74%	6.05%	6.18%	8.30%	2.20%	3.74%	5.30%	0.83%	1.65%	4.17%	3.54%	1.46%	3.12%	2.22%	3.94%	1.60%	4.12%	2.27%					
23	. Харитонов Николай Михайлович	2419	3	210	144	37	166	110	109	216	82	221	154	110	59	78	63	11	45	85	55	54	9	51	19	62	59	207					
