Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Чукотская 													
													
Итоги голосования 													
													
		Сумма	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список"	2829	336	156	200	431	950	756					
2	Число полученных избирательных бюллетеней	2978	362	157	207	447	945	860					
3	"Число избирательных бюллетеней, выданных  досрочно"	40	8	0	0	0	19	13					
4	"Число избирательных бюллетеней, выданных в день голосования"	2447	328	152	200	431	695	641					
5	"Число избирательных бюллетеней, выданных вне помещения"	72	0	4	0	0	68	0					
6	Число погашенных избирательных бюллетеней	419	26	1	7	16	163	206					
7	Число избирательных бюллетеней в переносных ящиках	112	8	4	0	0	87	13					
8	Число бюллетеней в стационарных ящиках для голосования	2447	328	152	200	431	695	641					
9	Число недействительных избирательных бюллетеней	16	4	0	2	3	4	3					
10	Число действительных избирательных бюллетеней	2543	332	156	198	428	778	651					
11	Число полученных открепительных  удостоверений	120	15	15	15	15	30	30					
12	Число выданных открепительных удостоверений	36	2	5	6	11	1	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	5	2	3	17	0					
14	Число неиспользованных открепительных удостоверений	84	13	10	9	4	29	19					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	23	0	2	3	3	12	3					
		0.90%	0.00%	1.28%	1.50%	0.70%	1.53%	0.46%					
19	. Малышкин Олег Александрович	37	1	4	2	6	15	9					
		1.45%	0.30%	2.56%	1.00%	1.39%	1.92%	1.38%					
20	. Миронов Сергей Михайлович	12	3	1	1	1	4	2					
		0.47%	0.89%	0.64%	0.50%	0.23%	0.51%	0.31%					
21	. Путин Владимир Владимирович	2341	304	143	180	408	702	604					
		91.48%	90.48%	91.67%	90.00%	94.66%	89.77%	92.35%					
22	. Хакамада Ирина Муцуовна	62	10	6	6	3	16	21					
		2.42%	2.98%	3.85%	3.00%	0.70%	2.05%	3.21%					
23	. Харитонов Николай Михайлович	46	11	0	0	5	23	7					
		1.80%	3.27%	0.00%	0.00%	1.16%	2.94%	1.07%					
													
24	Против всех	22	3	0	6	2	6	5					
		0.86%	0.89%	0.00%	3.00%	0.46%	0.77%	0.76%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
