Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Ловозерская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314					
1	"Число избирателей, внесенных в список"	11105	2368	355	81	61	1324	2850	2816	287	128	835					
2	Число полученных избирательных бюллетеней	10681	2200	383	74	61	1300	2700	2700	277	126	860					
3	"Число избирательных бюллетеней, выданных  досрочно"	12	3	0	0	9	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7803	1677	291	65	41	871	1849	1868	262	110	769					
5	"Число избирательных бюллетеней, выданных вне помещения"	175	51	6	0	0	40	53	25	0	0	0					
6	Число погашенных избирательных бюллетеней	2691	469	86	9	11	389	798	807	15	16	91					
7	Число избирательных бюллетеней в переносных ящиках	187	54	6	0	9	40	53	25	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	7798	1675	291	65	41	871	1847	1867	262	110	769					
9	Число недействительных избирательных бюллетеней	52	21	1	0	1	3	9	13	3	0	1					
10	Число действительных избирательных бюллетеней	7933	1708	296	65	49	908	1891	1879	259	110	768					
11	Число полученных открепительных  удостоверений	283	70	11	5	5	39	52	52	20	10	19					
12	Число выданных открепительных удостоверений	82	13	6	0	0	10	18	8	5	3	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	5	3	1	0	4	4	8	4	0	3					
14	Число неиспользованных открепительных удостоверений	201	57	5	5	5	29	34	44	15	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	3	1	0	0	0	1	0	4	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	283	52	6	0	0	57	77	75	1	0	15					
		3.54%	3.01%	2.02%	0.00%	0.00%	6.26%	4.05%	3.96%	0.38%	0.00%	1.95%					
19	. Малышкин Олег Александрович	198	37	4	1	0	26	44	50	18	1	17					
		2.48%	2.14%	1.35%	1.54%	0.00%	2.85%	2.32%	2.64%	6.87%	0.91%	2.21%					
20	. Миронов Сергей Михайлович	62	3	3	0	2	9	15	25	2	2	1					
		0.78%	0.17%	1.01%	0.00%	4.00%	0.99%	0.79%	1.32%	0.76%	1.82%	0.13%					
21	. Путин Владимир Владимирович	5871	1302	250	53	46	613	1328	1303	203	96	677					
		73.53%	75.30%	84.18%	81.54%	92.00%	67.29%	69.89%	68.87%	77.48%	87.27%	88.04%					
22	. Хакамада Ирина Муцуовна	273	64	3	1	0	36	80	60	9	5	15					
		3.42%	3.70%	1.01%	1.54%	0.00%	3.95%	4.21%	3.17%	3.44%	4.55%	1.95%					
23	. Харитонов Николай Михайлович	947	193	23	8	0	123	274	283	22	5	16					
		11.86%	11.16%	7.74%	12.31%	0.00%	13.50%	14.42%	14.96%	8.40%	4.55%	2.08%					
																	
24	Против всех	299	57	7	2	1	44	73	83	4	1	27					
		3.74%	3.30%	2.36%	3.08%	2.00%	4.83%	3.84%	4.39%	1.53%	0.91%	3.51%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
