Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Изобильненская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
		4.25%	5.23%	6.46%	3.80%	5.82%	5.55%	3.54%	3.57%	3.57%	4.26%	4.58%	5.38%	7.48%	3.26%	5.53%	4.36%	2.53%	5.95%	5.00%	6.33%	6.61%	6.76%	6.47%	5.07%	7.58%	2.74%	3.78%	2.90%	4.82%	2.06%	2.25%	2.18%	4.26%	2.14%	3.80%	0.53%	2.23%	5.65%	4.08%	3.30%	3.51%	2.45%	3.27%	3.70%	5.22%	0.88%	3.63%	1.45%	2.00%	5.76%	2.39%	5.43%	3.59%	1.91%	3.15%					
19	. Малышкин Олег Александрович	1159	28	19	31	25	21	18	22	15	23	27	25	22	17	29	22	37	26	28	31	26	27	27	27	19	33	31	17	13	14	36	43	16	24	40	5	13	29	15	28	7	37	8	19	2	5	14	5	10	24	34	29	3	7	6					
		2.57%	2.61%	2.41%	2.45%	2.27%	2.16%	2.20%	1.43%	2.82%	1.85%	2.75%	2.07%	3.65%	2.64%	2.77%	2.52%	3.12%	2.24%	3.59%	2.98%	2.96%	2.31%	3.30%	2.97%	1.97%	1.92%	2.09%	2.05%	2.16%	4.13%	2.80%	2.93%	4.26%	3.02%	3.62%	2.65%	3.62%	3.21%	3.06%	3.42%	2.46%	3.94%	2.18%	1.60%	1.49%	4.42%	2.11%	0.90%	1.05%	2.56%	3.53%	2.92%	1.35%	3.35%	2.10%					
20	. Миронов Сергей Михайлович	287	7	5	5	6	7	7	10	5	9	10	6	3	4	5	6	11	7	7	10	10	4	13	5	9	7	8	8	5	5	8	4	2	6	2	2	2	6	3	4	0	4	1	3	4	0	7	5	4	2	3	3	3	5	0					
		0.64%	0.65%	0.63%	0.40%	0.55%	0.72%	0.85%	0.65%	0.94%	0.72%	1.02%	0.50%	0.50%	0.62%	0.48%	0.69%	0.93%	0.60%	0.90%	0.96%	1.14%	0.34%	1.59%	0.55%	0.93%	0.41%	0.54%	0.97%	0.83%	1.47%	0.62%	0.27%	0.53%	0.75%	0.18%	1.06%	0.56%	0.66%	0.61%	0.49%	0.00%	0.43%	0.27%	0.25%	2.99%	0.00%	1.06%	0.90%	0.42%	0.21%	0.31%	0.30%	1.35%	2.39%	0.00%					
21	. Путин Владимир Владимирович	29071	629	480	818	649	596	529	1089	319	755	573	731	318	436	597	555	872	660	484	626	524	720	516	527	573	1317	1178	617	431	218	823	915	219	495	638	132	226	502	313	480	167	563	213	813	77	82	472	411	734	621	716	630	150	139	203					
		64.37%	58.73%	60.84%	64.77%	59.05%	61.25%	64.59%	70.62%	59.96%	60.74%	58.29%	60.46%	52.82%	67.70%	56.97%	63.65%	73.59%	56.90%	62.05%	60.08%	59.75%	61.64%	63.00%	58.04%	59.50%	76.66%	79.54%	74.52%	71.59%	64.31%	63.95%	62.24%	58.24%	62.19%	57.69%	69.84%	62.95%	55.59%	63.88%	58.61%	58.60%	59.89%	58.04%	68.32%	57.46%	72.57%	71.30%	74.32%	77.26%	66.28%	74.43%	63.38%	67.26%	66.51%	70.98%					
22	. Хакамада Ирина Муцуовна	1287	27	22	42	50	25	17	52	12	41	43	38	21	25	30	26	24	46	21	46	44	53	29	40	41	45	43	18	10	6	34	31	5	18	32	2	7	24	8	27	3	12	1	23	1	1	17	12	20	21	18	19	3	5	6					
		2.85%	2.52%	2.79%	3.33%	4.55%	2.57%	2.08%	3.37%	2.26%	3.30%	4.37%	3.14%	3.49%	3.88%	2.86%	2.98%	2.03%	3.97%	2.69%	4.41%	5.02%	4.54%	3.54%	4.41%	4.26%	2.62%	2.90%	2.17%	1.66%	1.77%	2.64%	2.11%	1.33%	2.26%	2.89%	1.06%	1.95%	2.66%	1.63%	3.30%	1.05%	1.28%	0.27%	1.93%	0.75%	0.88%	2.57%	2.17%	2.11%	2.24%	1.87%	1.91%	1.35%	2.39%	2.10%					
23	. Харитонов Николай Михайлович	9305	294	169	250	247	213	188	233	137	305	219	289	169	108	271	191	162	277	156	167	150	205	120	194	195	191	105	106	89	76	309	388	100	196	312	45	94	252	120	232	78	257	116	241	40	23	114	99	120	182	139	225	51	47	49					
