Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Пригородная																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
1	"Число избирателей, внесенных в список"	53074	1325	1822	2634	815	1282	980	1700	2621	1852	2220	1883	1245	1588	1277	1091	1769	1876	2040	886	1738	1459	2192	2400	2143	1891	2170	1758	486	544	227	219	177	1373	1344	1491	556					
2	Число полученных избирательных бюллетеней	47459	1183	1796	2465	671	1188	923	1503	2323	1630	1976	1688	1094	1409	1130	981	1593	1688	1830	776	1535	1296	1972	2143	1903	1701	1912	1546	418	469	203	186	160	1214	1209	1250	495					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45833	1163	1714	2420	669	1157	920	1500	2191	1630	1792	1587	1022	1286	986	974	1593	1678	1750	759	1522	1284	1952	2103	1848	1685	1859	1527	410	449	184	182	155	1213	1013	1164	492					
5	"Число избирательных бюллетеней, выданных вне помещения"	440	1	0	0	0	22	0	0	0	0	162	0	45	13	9	4	0	0	0	0	0	9	20	0	3	0	38	14	6	20	19	0	5	0	35	15	0					
6	Число погашенных избирательных бюллетеней	1186	19	82	45	2	9	3	3	132	0	22	101	27	110	135	3	0	10	80	17	13	3	0	40	52	16	15	5	2	0	0	4	0	1	161	71	3					
7	Число избирательных бюллетеней в переносных ящиках	440	1	0	0	0	22	0	0	0	0	162	0	45	13	9	4	0	0	0	0	0	9	20	0	3	0	38	14	6	20	19	0	5	0	35	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	45807	1163	1714	2420	669	1157	920	1500	2191	1630	1792	1581	1022	1266	986	974	1593	1678	1750	759	1522	1284	1952	2103	1848	1685	1859	1527	410	449	184	182	155	1213	1013	1164	492					
9	Число недействительных избирательных бюллетеней	239	3	26	31	0	10	0	0	0	0	0	0	5	6	14	1	15	8	26	10	21	13	8	0	0	0	7	6	2	6	1	0	3	3	11	3	0					
10	Число действительных избирательных бюллетеней	46008	1161	1688	2389	669	1169	920	1500	2191	1630	1954	1581	1062	1273	981	977	1578	1670	1724	749	1501	1280	1964	2103	1851	1685	1890	1535	414	463	202	182	157	1210	1037	1176	492					
11	Число полученных открепительных  удостоверений	375	5	5	5	5	5	5	5	15	5	20	10	10	10	10	10	10	10	10	10	10	10	10	15	15	15	15	15	10	10	5	5	5	30	20	10	10					
12	Число выданных открепительных удостоверений	232	0	3	1	1	0	0	5	15	2	12	10	3	6	4	0	3	5	7	1	7	9	10	15	14	15	10	9	1	4	2	0	0	26	12	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	0	0	0	1	0	0	0	0	4	1	0	2	1	0	0	2	0	0	0	2	0	0	1	1	4	0	0	1	1	0	0	3	2	0	1					
14	Число неиспользованных открепительных удостоверений	143	5	2	4	4	5	5	0	0	3	8	0	7	4	6	10	7	5	3	9	3	1	0	0	1	0	5	6	9	6	3	5	5	4	8	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	243	5	31	10	2	2	6	8	5	0	20	2	13	4	2	10	6	7	8	0	25	9	31	0	1	0	8	5	0	0	1	0	0	9	10	0	3					
		0.53%	0.43%	1.81%	0.41%	0.30%	0.17%	0.65%	0.53%	0.23%	0.00%	1.02%	0.13%	1.22%	0.31%	0.20%	1.02%	0.38%	0.42%	0.46%	0.00%	1.64%	0.70%	1.57%	0.00%	0.05%	0.00%	0.42%	0.32%	0.00%	0.00%	0.49%	0.00%	0.00%	0.74%	0.95%	0.00%	0.61%					
19	. Малышкин Олег Александрович	196	8	6	13	0	1	1	7	0	0	0	0	1	0	2	3	14	2	9	0	10	18	17	0	20	50	1	0	0	0	0	0	0	5	5	3	0					
		0.42%	0.69%	0.35%	0.54%	0.00%	0.08%	0.11%	0.47%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.20%	0.31%	0.88%	0.12%	0.51%	0.00%	0.66%	1.39%	0.86%	0.00%	1.08%	2.97%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.48%	0.25%	0.00%					
20	. Миронов Сергей Михайлович	217	1	18	56	0	0	1	15	0	0	0	0	1	3	2	4	17	6	16	0	4	3	4	35	0	3	6	2	0	0	0	0	0	15	3	2	0					
		0.47%	0.09%	1.05%	2.31%	0.00%	0.00%	0.11%	1.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.23%	0.20%	0.41%	1.07%	0.36%	0.91%	0.00%	0.26%	0.23%	0.20%	1.66%	0.00%	0.18%	0.32%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	1.24%	0.29%	0.17%	0.00%					
21	. Путин Владимир Владимирович	42229	1048	1605	2180	622	1074	851	1413	1973	1468	1761	1429	964	1187	932	920	1446	1511	1581	689	1391	1201	1838	1893	1689	1535	1725	1404	401	422	186	164	146	1112	948	1074	446					
		91.31%	90.03%	93.64%	90.08%	92.97%	91.09%	92.50%	94.20%	90.05%	90.06%	90.12%	90.39%	90.35%	92.81%	93.67%	94.07%	90.77%	90.05%	90.34%	90.78%	91.39%	92.88%	93.20%	90.01%	91.25%	91.10%	90.93%	91.11%	96.39%	89.98%	91.63%	90.11%	91.25%	91.67%	90.46%	91.09%	90.65%					
22	. Хакамада Ирина Муцуовна	166	24	15	12	0	1	7	5	0	0	0	0	3	3	4	6	11	7	15	0	17	4	9	0	0	0	0	4	0	0	3	0	0	8	4	4	0					
		0.36%	2.06%	0.88%	0.50%	0.00%	0.08%	0.76%	0.33%	0.00%	0.00%	0.00%	0.00%	0.28%	0.23%	0.40%	0.61%	0.69%	0.42%	0.86%	0.00%	1.12%	0.31%	0.46%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	1.48%	0.00%	0.00%	0.66%	0.38%	0.34%	0.00%					
23	. Харитонов Николай Михайлович	2809	45	4	101	44	89	50	52	213	162	173	150	78	74	39	26	82	137	86	60	43	41	51	175	141	97	145	114	13	40	10	18	11	48	65	89	43					
		6.07%	3.87%	0.23%	4.17%	6.58%	7.55%	5.43%	3.47%	9.72%	9.94%	8.85%	9.49%	7.31%	5.79%	3.92%	2.66%	5.15%	8.16%	4.91%	7.91%	2.83%	3.17%	2.59%	8.32%	7.62%	5.76%	7.64%	7.40%	3.12%	8.53%	4.93%	9.89%	6.88%	3.96%	6.20%	7.55%	8.74%					
																																											
24	Против всех	148	30	9	17	1	2	4	0	0	0	0	0	2	2	0	8	2	0	9	0	11	4	14	0	0	0	5	6	0	1	2	0	0	13	2	4	0					
		0.32%	2.58%	0.53%	0.70%	0.15%	0.17%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.16%	0.00%	0.82%	0.13%	0.00%	0.51%	0.00%	0.72%	0.31%	0.71%	0.00%	0.00%	0.00%	0.26%	0.39%	0.00%	0.21%	0.99%	0.00%	0.00%	1.07%	0.19%	0.34%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
