Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Караидельская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604					
1	"Число избирателей, внесенных в список"	18901	301	213	279	352	224	1081	796	182	153	446	292	140	2081	981	461	167	484	420	384	103	97	379	189	260	187	143	1082	133	550	269	362	216	502	368	145	111	393	138	190	432	390	276	348	439	165	196	86	74	93	260	140	332	416					
2	Число полученных избирательных бюллетеней	19580	300	220	284	370	230	1150	800	185	154	460	300	144	2260	1030	470	171	495	430	390	105	105	390	195	265	190	146	1117	135	570	272	364	225	530	372	150	120	400	138	185	443	400	284	370	465	170	200	93	76	92	270	140	330	430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17571	288	213	269	302	216	989	594	178	151	446	278	134	1914	974	411	160	470	415	380	102	97	311	171	256	187	143	1004	130	526	222	331	203	456	355	135	99	314	102	182	423	384	273	330	377	142	196	86	74	92	242	140	322	382					
5	"Число избирательных бюллетеней, выданных вне помещения"	935	5	0	0	50	8	34	143	0	0	0	12	5	137	7	24	7	0	0	0	0	0	46	18	0	0	0	39	3	13	40	30	9	40	10	9	7	72	32	3	0	0	0	11	53	13	0	0	0	0	18	0	8	29					
6	Число погашенных избирательных бюллетеней	1074	7	7	15	18	6	127	63	7	3	14	10	5	209	49	35	4	25	15	10	3	8	33	6	9	3	3	74	2	31	10	3	13	34	7	6	14	14	4	0	20	16	11	29	35	15	4	7	2	0	10	0	0	19					
7	Число избирательных бюллетеней в переносных ящиках	935	5	0	0	50	8	34	143	0	0	0	12	5	137	7	24	7	0	0	0	0	0	46	18	0	0	0	39	3	13	40	30	9	40	10	9	7	72	32	3	0	0	0	11	53	13	0	0	0	0	18	0	8	29					
8	Число бюллетеней в стационарных ящиках для голосования	17571	288	213	269	302	216	989	594	178	151	446	278	134	1914	974	411	160	470	415	380	102	97	311	171	256	187	143	1004	130	526	222	331	203	456	355	135	99	314	102	182	423	384	273	330	377	142	196	86	74	92	242	140	322	382					
9	Число недействительных избирательных бюллетеней	57	0	0	2	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	6	0	1	0	17	0	0	7	0	0	1	0	1	1	0	6	2	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	18449	293	213	267	352	224	1019	737	178	151	446	290	139	2048	981	435	167	470	415	379	102	92	357	189	256	187	143	1043	127	539	261	361	195	496	365	137	106	386	133	185	422	383	273	335	428	155	196	86	74	92	260	140	330	411					
